renner,general,points,mountain,youth,winner
Pogačar Tadej,0,20,14,,1
Evenepoel Remco,32,17,4,,
Seixas Paul,34,15,6,0,
Lipowitz Florian,34,13,2,,
Ayuso Juan,38,11,1,4,
Skjelmose Mattias,38,10,,,
Vingegaard Jonas,44,9,8,,
Pidcock Tom,91,7,,,
del Toro Isaac,119,8,4,57,
Martinez Lenny,123,6,,89,
Carapaz Richard,129,5,18,,
Piganzoli Davide,162,4,,128,
van Wilder Ilan,168,3,,,
Debruyne Ramses,168,2,1,134,
Bernal Egan,173,1,,,
Voisard Yannis,185,,,,
Yates Adam,225,,,,
Johannessen Tobias Halland,290,,,,
Castrillo Pablo,323,,,371,
Quinn Sean,405,,,,
Benoot Tiesj,410,,,,
Verona Carlos,410,,,,
Jegat Jordan,410,,,,
Riccitello Matthew,410,,,376,
Prodhomme Nicolas,412,,8,,
Rubio Einer,412,5,,,
Kuss Sepp,429,,,,
Hindley Jai,429,,,,
Mcnulty Brandon,429,,,,
Gee-west Derek,766,,,,
Foss Tobias,766,,,,
Arensman Thymen,766,,,,
Jorgenson Matteo,766,,,,
Hermans Quinten,766,7,,,
Breuillard Nicolas,921,,,,
Paret-peintre Aurélien,1133,,,,
Baudin Alex,1283,,3,1249,
Paret-peintre Valentin,1283,,6,1249,
Simmons Quinn,1283,,,1249,
Großschartner Felix,1283,,,,
Hirschi Marc,1283,,,,
Healy Ben,1312,,,,
Romo Javier,1364,,9,,
Wellens Tim,1406,4,,,
Russo Clément,1406,,,,
Armirail Bruno,1406,,,,
Pacher Quentin,1406,,,,
Caruso Damiano,1406,,,,
Grégoire Romain,1406,,,1249,
Vauquelin Kévin,1406,3,,1249,
Germani Lorenzo,1406,,,1249,
Schmid Mauro,1406,,,,
Balderstone Abel,1406,,,,
Braz Afonso Clément,1406,,,,
Delbove Joris,1406,,,,
Parra José Félix,1406,,,,
Charmig Anthon,1406,,,,
van Gils Maxim,1406,,,,
Cattaneo Mattia,1406,,,,
Vervaeke Louis,1406,,1,,
Tejada Harold,1406,9,,,
Higuita Sergio,1406,,,,
Skaarseth Anders,1406,,,,
O'connor Ben,1406,,,,
Johannessen Anders Halland,1406,,,,
García Pierna Raúl,1406,,,1249,
Plapp Luke,1406,,,,
Skujiņš Toms,1406,,,,
Meurisse Xandro,1406,,,,
Zimmermann Georg,1406,,,,
Cepeda Jefferson Alveiro,1406,,,,
Howson Damien,1406,,,,
Tratnik Jan,1406,,,,
Craps Lars,1406,,,1249,
van Eetvelt Lennert,1406,,,1249,
Costiou Ewen,1406,,,1249,
Valgren Michael,1406,,,,
Stuyven Jasper,1406,,,,
Le Berre Mathis,1406,,,1249,
Walker Max,1406,,,1249,
Pluimers Rick,1406,,,,
Tiberi Antonio,1406,8,,1249,
Harper Chris,1406,,,,
Barguil Warren,1406,,,,
van Moer Brent,1406,,,,
Turgis Anthony,1406,,,,
Vercher Mattéo,1406,,,1249,
Abrahamsen Jonas,1406,,,,
Vinokurov Nicolas,1406,,,1249,
van Mechelen Vlad,1406,,,1249,
Engelhardt Felix,1406,,,,
Matthews Michael,1406,12,,,
Slock Liam,1406,6,,,
Politt Nils,1406,,,,
Teunissen Mike,1406,,,,
Azparren Xabier Mikel,1406,,,,
Guernalec Thibault,1406,,,,
Godon Dorian,1406,,,,
Page Hugo,1406,1,,1249,
Hessmann Michel,1406,,,1249,
Oldani Stefano,1406,,,,
Izagirre Ion,1406,,,,
Kirsch Alex,1406,,,,
Gate Aaron,1406,,,,
Aranburu Alex,1406,,,,
Asgreen Kasper,1406,,,,
Wright Fred,1406,,,,
Frigo Marco,1406,,,,
Martin Guillaume,1406,,,,
van der Poel Mathieu,1406,10,,,
Pedersen Mads,1406,25,,,
Vacek Mathias,1406,,,1249,
Hagenes Per Strand,1406,2,,1249,
Vermeersch Florian,1406,,,,
van Dijke Tim,1406,,,,
Verstrynge Emiel,1406,,,1249,
Denz Nico,1406,,,,
Durbridge Luke,1406,,,,
Ganna Filippo,1406,,,,
Affini Edoardo,1406,,,,
Velasco Simone,1406,,,,
Delettre Alexandre,1406,,,,
Haller Marco,1406,,,,
Nicolau Joel,1406,,,,
Otruba Jakub,1406,,,,
Cort Magnus,1406,,,,
van den Broek Frank,1406,,,,
Stannard Robert,1406,,,,
Thomas Benjamin,1406,,,,
Bennett George,1406,,,,
Mohorič Matej,1406,,,,
Kwiatkowski Michał,1406,,,,
Tarling Joshua,1406,,,1249,
Alaphilippe Julian,1406,,,,
Oliveira Nelson,1406,,,,
Campenaerts Victor,1406,,,,
Berckmoes Jenno,1406,,,1249,
Storer Michael,1406,,,,
Rickaert Jonas,1406,,,,
Artz Huub,1406,,,1249,
Bittner Pavel,1406,,,1249,
Märkl Niklas,1406,,,,
Ackermann Pascal,1406,,,,
Degenkolb John,1406,,,,
Biesterbos Frits,1406,,,1249,
Neilands Krists,1406,,,,
Steinhauser Georg,1406,,,1249,
Louvel Matis,1406,,,,
van Asbroeck Tom,1406,,,,
Gradek Kamil,1406,,,,
Kanter Max,1406,20,,,
Dillier Silvan,1406,,,,
Allegaert Piet,1406,,,,
Planckaert Edward,1406,,,,
van den Berg Julius,1406,,,,
Kooij Olav,1406,,,1249,
Hoole Daan,1406,,,,
Stewart Jake,1406,,,,
Marsman Tim,1406,,,,
Philipsen Jasper,1406,14,,,
Fretin Milan,1406,,,1249,
Biermans Jenthe,1406,,,,
Bol Cees,1406,,,,
Ballerini Davide,1406,,,,
Girmay Biniam,1406,16,,,
Askey Lewis,1406,,,1249,
Dhondt Robbe,1406,,,1249,
van Baarle Dylan,1406,,,,
Eenkhoorn Pascal,1406,,,,
Merlier Tim,1406,,,,
Gaviria Fernando,1406,,,,
Berwick Sebastian,1406,,,,
Veistroffer Baptiste,1406,,,,
Bauhaus Phil,1406,,,,
Wærenskjold Søren,1406,,,,
