"renner","general","points","mountain","youth","winner","withdrawn"
"LE GAC Olivier","2109","","","","",""
"MACKELLAR Alastair","2141","","","2141","",""
"CHAMBERLAIN Oscar","2141","","","2141","",""
"RAFFERTY Darren","2141","","","2141","",""
"WENZEL Mats","2187","","","2187","",""
"NOVAK Domen","2236","","","","",""
"MONIQUET Sylvain","2236","","","","",""
"OLIVEIRA Ivo","2236","","","","",""
"HAMILTON Lucas","2236","","","","",""
"VERMEERSCH Gianni","2236","","","","",""
"GOVEKAR Matevž","2236","","","","",""
"FISHER-BLACK Finn","2236","","","2236","",""
"ROMELE Alessandro","2236","","","2236","",""
"COQUARD Bryan","2346","","","","",""
"GOGL Michael","2356","","","","",""
"SIVAKOV Pavel","2403","","2","","",""
"THORNLEY Callum","2428","","","2428","",""
"BRENNAN Matthew","2428","","","2428","",""
"WANDAHL Frederik","2428","","","2428","",""
"PEACE Oliver","2428","","","2428","",""
"ROOSEN Timo","2428","","","","",""
"DAINESE Alberto","2428","","","","",""
"MACÍAS César","2428","","","2428","",""
"RENARD Alexis","2428","","","","",""
"AZPARREN Xabier Mikel","2428","","","","",""
"VAN DEN BOSSCHE Fabio","2428","","","","",""
"LAPORTE Christophe","2428","","","","",""
"AULAR Orluis","2428","","","","",""
"CANAL Carlos","2428","","","2428","",""
"ARCAS Jorge","2428","","","","",""
"NYS Thibau","2428","","","2428","",""
"BRAET Vito","2428","","","","",""
"DE SCHUYTENEER Steffen","2428","","","2428","",""
"STEINHAUSER Georg","2428","","","2428","",""
"DOUBLE Paul","2428","","","","",""
"HAYTER Ethan","2434","","","","",""
"ROULAND Louis","2434","","","2434","",""
"CAMPRUBÍ Marcel","2434","","","2434","",""
"BUSATTO Francesco","2480","","","2480","",""
"MEEUS Jordi","2681","","","","",""
"SENTJENS Sente","2681","","","2681","",""
"SUNEKÆR NORSGAARD Mathias","2806","","","","",""
"MCKENZIE Hamish","","","","","","DNF"
"KLUCKERS Arthur","","","","","","DNF"
"VINE Jay","","","","","","DNF"
"GONZÁLEZ David","","","","","","DNS"
"DE VYLDER Lindsay","","","","","","DNS"
"TULETT Ben","","","","","","DNS"
