"renner","general","points","mountain","youth","winner","withdrawn"
"OMRZEL Jakob","0","20","10","0","1",""
"BERRADE Urko","116","17","6","","",""
"BUITRAGO Santiago","133","15","21","","",""
"LUTSENKO Alexey","169","13","8","","",""
"VANSEVENANT Mauri","173","11","1","","",""
"GALL Felix","176","9","","","",""
"MAS Enric","203","9","","","",""
"ROGLIČ Primož","203","6","","","",""
"CARAPAZ Richard","203","7","","","",""
"MÜHLBERGER Gregor","230","6","","","",""
"DÍAZ José Manuel","305","5","","","",""
"ONLEY Oscar","305","4","","305","",""
"BISIAUX Léo","313","","1","313","",""
"VERMAERKE Kevin","367","17","","","",""
"TUCKWELL Luke","378","1","4","378","",""
"SKJELMOSE Mattias","403","","","","",""
"RODRÍGUEZ Cristián","403","","","","",""
"BERTHET Clément","405","","","","",""
"RICCITELLO Matthew","405","","","405","",""
"KUSS Sepp","405","","","","",""
"TEJADA Harold","410","","1","","",""
"GARCÍA PIERNA Raúl","467","","","467","",""
"HAIG Jack","467","","2","","",""
"PICKERING Finlay","498","","","498","",""
"RODRIGUEZ Juan Felipe","718","","","718","",""
"BILBAO Pello","814","","2","","",""
"WIDAR Jarno","823","","","823","",""
"HIRT Jan","823","","","","",""
"ROCHAS Rémy","849","10","","","",""
"LEEMREIZE Gijs","852","","","","",""
"APARICIO Mario","856","","","","",""
"MARTIN Guillaume","856","","","","",""
"BUCHMANN Emanuel","856","","","","",""
"BOUWMAN Koen","865","","","","",""
"SCOTSON Callum","989","","","","",""
"ALBANESE Vincenzo","1141","","","","",""
"NORDHAGEN Jørgen","1187","","","1187","",""
"JOHANNESSEN Tobias Halland","1187","","","","",""
"MULUBRHAN Henok","1187","","","","",""
"MADOUAS Valentin","1187","","","","",""
"BRENNER Marco","1187","","","1187","",""
"KONRAD Patrick","1344","","","","",""
"BERNARD Julien","1344","","","","",""
"SVESTAD-BÅRDSENG Embret","1390","","","1390","",""
"RODRÍGUEZ Carlos","1390","","","1390","",""
"DE LA CRUZ David","1390","","","","",""
"LANDA Mikel","1390","","","","",""
"ALMEIDA João","1390","17","","","",""
"HAMILTON Chris","1390","","","","",""
"THOMPSON Reuben","1390","","","1390","",""
"VALTER Attila","1411","","","","",""
"ZANA Filippo","1554","","","","",""
"FORTUNATO Lorenzo","1636","","","","",""
"ROMEO Iván","1638","","","1638","",""
"CASTRILLO Pablo","1638","","","1638","",""
"DE PESTEL Sander","1638","","","","",""
"OURSELIN Paul","1638","","","","",""
"LAURANCE Axel","1638","","","1638","",""
"PARET-PEINTRE Valentin","1638","","","1638","",""
"FAURA José Luis","1757","","","","",""
"MOSCA Jacopo","1757","","","","",""
"KRON Andreas","1757","13","","","",""
"HELLEMOSE Asbjørn","1757","","","","",""
"KÄMNA Lennard","1757","","","","",""
"HERRADA Jesús","1757","","","","",""
"DUNBAR Eddie","1757","","","","",""
"HOULE Hugo","1757","","","","",""
"VAN AERT Wout","1757","20","11","","",""
"KRUIJSWIJK Steven","1757","","","","",""
"HOFSTETTER Hugo","1757","","","","",""
"DEBRUYNE Ramses","1757","","","1757","",""
"CRAPS Lars","1757","","","1757","",""
"DALBY Simon","1757","","","1757","",""
"SOSA Iván Ramiro","1884","","","","",""
"LEKNESSUND Andreas","2013","","","","",""
"TJØTTA Martin","2109","","","2109","",""
"WEISS Fabian","2109","","","2109","",""
"THALMANN Roland","2109","","","","",""
"DVERSNES LAVIK Fredrik","2109","","","","",""
"ELOSEGUI Iñigo","2109","","","","",""
"WILKSCH Hannes","2109","","","2109","",""
"MARTINEZ Juan Guillermo","2109","","","2109","",""
"GLIVAR Gal","2109","","","2109","",""
"PORTER Rudy","2109","","","","",""
"VAN BEKKUM Darren","2109","","","2109","",""
"MOSCON Gianni","2109","","","","",""
"ALLENO Clément","2109","","","","",""
"SÜTTERLIN Jasha","2109","","","","",""
"COVI Alessandro","2109","","","","",""
"TILLER Rasmus","2109","","","","",""
"GAROFOLI Gianmarco","2109","","","2109","",""
"KÜNG Stefan","2109","","","","",""
"PAASSCHENS Mathijs","2109","","","","",""
"VADER Milan","2109","","","","",""
"KRETSCHY Moritz","2109","","","2109","",""
"ARMIRAIL Bruno","2109","","","","",""
"WARBASSE Larry","2109","","","","",""
"MOLARD Rudy","2109","","","","",""
"FEDOROV Yevgeniy","2109","","","","",""
"FERNÁNDEZ Sinuhé","2109","","","","",""
"SAMITIER Sergio","2109","","","","",""
"ERMAKOV Roman","2109","","","2109","",""
"COBO Iván","2109","","","","",""
"CORT Magnus","2109","","","","",""
"SCHULTZ Nick","2109","","","","",""
"GLOAG Thomas","2109","","","2109","",""
"PALENI Enzo","2109","","","2109","",""
"LABROSSE Jordan","2109","","","2109","",""
"MIQUEL Pau","2109","","","","",""
"BARTA Will","2109","","","","",""
"CALZONI Walter","2109","","","2109","",""
"ROTA Lorenzo","2109","","","","",""
"TRONCHON Bastien","2109","","","2109","",""
"DE JONG Timo","2109","","","","",""
"BRUSTENGA Marc","2109","","","","",""
"SHAW James","2109","","","","",""
"RUIZ Ibon","2109","","","","",""
"MARTÍ Pau","2109","","","2109","",""
