renner,general,points,mountain,youth,winner,dnf
Philipsen Jasper,0,59,,,1,
Schmid Mauro,0,30,,,,
Kooij Olav,0,20,,0,,
Askey Lewis,0,18,,0,,
Pluimers Rick,0,16,,,,
Artz Huub,0,12,,0,,
Russo Clément,0,14,,,,
Pedersen Mads,0,35,,,,
Matthews Michael,0,9,,,,
Gate Aaron,0,7,,,,
van der Poel Mathieu,0,6,2,,,
Page Hugo,0,5,,0,,
Mohorič Matej,0,4,,,,
Jegat Jordan,0,3,,,,
Delbove Joris,0,,,,,
Balderstone Abel,0,2,,,,
García Pierna Raúl,0,,,0,,
Zimmermann Georg,0,,,,,
Martin Guillaume,0,,,,,
Hermans Quinten,0,,,,,
Simmons Quinn,0,8,,0,,
Hindley Jai,0,,,,,
Denz Nico,0,,,,,
Hagenes Per Strand,0,,,0,,
Baudin Alex,0,,,0,,
Tarling Joshua,0,,,0,,
Benoot Tiesj,16,6,1,,,
Valgren Michael,20,,,,,
Gee-west Derek,27,7,,,,
Castrillo Pablo,35,3,,27,,
Dhondt Robbe,45,,,45,,
Rubio Einer,45,,,,,
Politt Nils,50,,,,,
Stuyven Jasper,112,12,,,,
Healy Ben,121,16,,,,
Tejada Harold,177,5,,,,
Bernal Egan,177,,1,,,
Jorgenson Matteo,177,,,,,
van Mechelen Vlad,183,,,183,,
Le Berre Mathis,188,4,,188,,
Braz Afonso Clément,195,,,,,
Kwiatkowski Michał,202,14,,,,
Engelhardt Felix,202,10,,,,
O'connor Ben,249,,,,,
Planckaert Edward,286,20,,,,
Verstrynge Emiel,286,,,286,,
Campenaerts Victor,295,2,,,,
Vermeersch Florian,526,,,,,
Großschartner Felix,526,,,,,
Pogačar Tadej,526,,,,,
Mcnulty Brandon,526,,,,,
del Toro Isaac,526,,,526,,
van Dijke Tim,526,,,,,
Tratnik Jan,526,,,,,
van Gils Maxim,526,,,,,
Cattaneo Mattia,526,,,,,
Evenepoel Remco,526,,,,,
Prodhomme Nicolas,526,,,,,
Seixas Paul,526,,,526,,
Paret-peintre Aurélien,526,,,,,
Riccitello Matthew,526,,,526,,
Skjelmose Mattias,526,,,,,
Skujiņš Toms,526,,,,,
Ayuso Juan,526,,,526,,
Vacek Mathias,526,,,526,,
Verona Carlos,526,,,,,
Gradek Kamil,526,,,,,
Martinez Lenny,526,,,526,,
Tiberi Antonio,526,,,526,,
Caruso Damiano,526,,,,,
Wright Fred,526,,,,,
Stannard Robert,526,,,,,
Pidcock Tom,526,,,,,
van Moer Brent,526,,,,,
Howson Damien,526,,,,,
Meurisse Xandro,526,,,,,
Affini Edoardo,526,,,,,
Dillier Silvan,526,,,,,
Haller Marco,526,,,,,
Voisard Yannis,526,,,,,
Hirschi Marc,526,,,,,
Alaphilippe Julian,526,,,,,
Eenkhoorn Pascal,526,,,,,
van Wilder Ilan,526,,,,,
Skaarseth Anders,526,,,,,
Johannessen Tobias Halland,526,,,,,
Asgreen Kasper,526,,,,,
Carapaz Richard,526,,1,,,
Degenkolb John,526,,,,,
Märkl Niklas,526,,,,,
Girmay Biniam,526,,,,,
Louvel Matis,526,,,,,
Neilands Krists,526,,,,,
Oliveira Nelson,526,,,,,
Fretin Milan,526,,,526,,
Teunissen Mike,526,,,,,
Biermans Jenthe,526,,,,,
Frigo Marco,526,,,,,
Kuss Sepp,526,,,,,
Walker Max,526,,,526,,
Quinn Sean,526,,,,,
Turgis Anthony,526,,,,,
Piganzoli Davide,526,,,526,,
Armirail Bruno,526,,,,,
Romo Javier,526,,,,,
Arensman Thymen,526,,,,,
Oldani Stefano,526,,,,,
Hessmann Michel,526,,,526,,
Aranburu Alex,526,,,,,
Guernalec Thibault,526,,,,,
Rickaert Jonas,526,,,,,
Delettre Alexandre,526,,,,,
Vercher Mattéo,526,,,526,,
Allegaert Piet,526,,,,,
Marsman Tim,526,,,,,
Vervaeke Louis,526,,,,,
Ganna Filippo,526,,,,,
Godon Dorian,526,,,,,
Vauquelin Kévin,526,,,526,,
Pacher Quentin,526,,,,,
Grégoire Romain,526,,,526,,
Azparren Xabier Mikel,526,,,,,
Plapp Luke,526,,,,,
Germani Lorenzo,526,,,526,,
Velasco Simone,526,,,,,
Bennett George,526,,,,,
Durbridge Luke,526,,,,,
Parra José Félix,526,,,,,
Bittner Pavel,526,,,526,,
Otruba Jakub,526,,,,,
Berwick Sebastian,526,,,,,
Ackermann Pascal,526,,,,,
Abrahamsen Jonas,526,,,,,
van Baarle Dylan,526,,,,,
van Eetvelt Lennert,526,,,526,,
Slock Liam,526,,,,,
Barguil Warren,526,,,,,
Izagirre Ion,526,,,,,
Higuita Sergio,526,,,,,
Vinokurov Nicolas,526,,,526,,
Veistroffer Baptiste,526,,,,,
Kirsch Alex,526,,,,,
Costiou Ewen,553,,,553,,
Foss Tobias,553,,,,,
Thomas Benjamin,558,,,,,
Steinhauser Georg,558,,,558,,
Storer Michael,558,,,,,
Paret-peintre Valentin,567,,1,567,,
van den Broek Frank,607,,,,,
Breuillard Nicolas,624,,,,,
Bauhaus Phil,652,,,,,
van den Berg Julius,657,,,,,
Hoole Daan,657,,,,,
Kanter Max,657,,,,,
Stewart Jake,657,,,,,
Bol Cees,657,,,,,
Ballerini Davide,657,,,,,
Nicolau Joel,667,,,,,
Cort Magnus,667,,,,,
Wærenskjold Søren,692,,,,,
Wellens Tim,95760,,,,,
Yates Adam,95760,,,,,
Johannessen Anders Halland,95760,,,,,
Cepeda Jefferson Alveiro,102540,,,,,
Craps Lars,,,,,,1
