renner,general,points,mountain,youth,winner
Pedersen Mads,0,66,,,1
Simmons Quinn,0,42,,0,
García Pierna Raúl,0,20,1,0,
Frigo Marco,0,18,5,,
Debruyne Ramses,0,16,2,0,
Quinn Sean,0,12,,,
Vauquelin Kévin,0,16,,0,
Træen Torstein,0,10,1,,
Castrillo Pablo,0,18,3,0,
Vacek Mathias,0,16,3,0,
Matthews Michael,147,14,,,
Delettre Alexandre,147,5,,,
van Mechelen Vlad,147,4,,147,
Stuyven Jasper,147,3,,,
van den Broek Frank,147,,,,
Molenaar Alex,147,2,5,,
Zimmermann Georg,147,,,,
Hermans Quinten,147,,,,
Nicolau Joel,147,4,,,
Izagirre Ion,147,,,,
Denz Nico,147,7,,,
Grégoire Romain,147,1,,147,
Eenkhoorn Pascal,474,,,,
Kirsch Alex,474,6,,,
van Moer Brent,478,,,,
Tratnik Jan,478,3,5,,
Valgren Michael,478,,,,
Planckaert Edward,478,14,,,
Yates Adam,478,,,,
Costiou Ewen,779,5,,478,
Großschartner Felix,779,,,,
Mcnulty Brandon,779,,,,
Pogačar Tadej,779,,,,
del Toro Isaac,779,,,779,
Skujiņš Toms,779,,,,
Gee-west Derek,779,,,,
Verona Carlos,779,,,,
Ayuso Juan,779,,,779,
Skjelmose Mattias,779,,,,
Hagenes Per Strand,779,,,779,
Affini Edoardo,779,,,,
Jorgenson Matteo,779,,,,
Vingegaard Jonas,779,,,,
Piganzoli Davide,779,,,779,
Campenaerts Victor,779,,,,
Kuss Sepp,779,,,,
Armirail Bruno,779,,,,
Wellens Tim,779,,,,
Hoole Daan,779,,,,
Seixas Paul,779,,,779,
Paret-peintre Aurélien,779,,,,
Benoot Tiesj,779,,,,
Riccitello Matthew,779,,,779,
Prodhomme Nicolas,779,,,,
Hindley Jai,779,,,,
van Dijke Tim,779,,,,
Evenepoel Remco,779,,,,
van Gils Maxim,779,,,,
Cattaneo Mattia,779,,,,
Lipowitz Florian,779,,,,
Healy Ben,779,,,,
Carapaz Richard,779,,,,
Baudin Alex,779,,,779,
Walker Max,779,,,779,
Asgreen Kasper,779,,,,
Mohorič Matej,779,,,,
Caruso Damiano,779,,,,
Tiberi Antonio,779,,,779,
Martinez Lenny,779,,,779,
Johannessen Tobias Halland,779,,,,
Skaarseth Anders,779,,,,
Abrahamsen Jonas,779,,,,
Charmig Anthon,779,,,,
Cort Magnus,779,,,,
Johannessen Anders Halland,779,,,,
Azparren Xabier Mikel,779,,,,
Meurisse Xandro,779,,,,
Wright Fred,779,,,,
Pidcock Tom,779,,,,
Le Berre Mathis,779,,,779,
Harper Chris,779,,,,
Alaphilippe Julian,779,,,,
Voisard Yannis,779,,,,
Oliveira Nelson,779,,,,
Pluimers Rick,779,,,,
Uijtdebroeks Cian,779,,,779,
Cepeda Jefferson Alveiro,779,,,,
Arensman Thymen,779,,,,
Kwiatkowski Michał,779,,,,
Bernal Egan,779,,,,
Jegat Jordan,779,,,,
van Wilder Ilan,779,,,,
Foss Tobias,779,,,,
Vervaeke Louis,779,,,,
O'connor Ben,779,,,,
Paret-peintre Valentin,779,,,779,
Russo Clément,779,,,,
Gate Aaron,779,,,,
Germani Lorenzo,779,,,779,
Martin Guillaume,779,,,,
Higuita Sergio,779,,,,
Tejada Harold,779,,,,
Otruba Jakub,779,,,,
Biermans Jenthe,779,,,,
Page Hugo,779,,,779,
Berwick Sebastian,779,,,,
van Asbroeck Tom,779,,,,
Parra José Félix,779,,,,
Berckmoes Jenno,779,,,779,
Craps Lars,779,,,779,
van Eetvelt Lennert,779,,,779,
Guernalec Thibault,779,,,,
Märkl Niklas,779,,,,
Biesterbos Frits,779,,,779,
Stannard Robert,779,,,,
Romo Javier,779,,,,
Rubio Einer,779,,,,
Hessmann Michel,779,,,779,
Barguil Warren,779,,,,
Pacher Quentin,779,,,,
Braz Afonso Clément,779,,,,
Rickaert Jonas,779,,,,
Dillier Silvan,779,,,,
Marsman Tim,779,,,,
Dhondt Robbe,779,,,779,
Balderstone Abel,779,,,,
Engelhardt Felix,779,,,,
Verstrynge Emiel,779,,,779,
Politt Nils,779,,,,
Hirschi Marc,779,,,,
Schmid Mauro,779,,,,
Breuillard Nicolas,779,,,,
Delbove Joris,779,,,,
van der Poel Mathieu,779,,,,
Neilands Krists,779,,,,
Turgis Anthony,779,,,,
Veistroffer Baptiste,779,,,,
Bennett George,779,,,,
Durbridge Luke,779,,,,
Vercher Mattéo,779,,,779,
Plapp Luke,779,,,,
Howson Damien,779,,,,
Velasco Simone,779,,,,
Storer Michael,779,,,,
Thomas Benjamin,779,,,,
Steinhauser Georg,857,,1,857,
Aranburu Alex,864,,,,
Vinokurov Nicolas,890,,,890,
Bittner Pavel,1328,6,,1328,
van den Berg Julius,1328,,,,
Degenkolb John,1328,,,,
Godon Dorian,1328,,,,
Kanter Max,1328,,,,
Teunissen Mike,1328,,,,
Oldani Stefano,1328,,,,
Fretin Milan,1328,,,1328,
Vermeersch Florian,1328,,,,
Askey Lewis,1328,,,1328,
Bauhaus Phil,1328,2,,,
Allegaert Piet,1328,,,,
Bol Cees,1328,,,,
Wærenskjold Søren,1328,,,,
Kooij Olav,1328,,,1328,
Gradek Kamil,1328,,,,
Ballerini Davide,1328,,,,
Gaviria Fernando,1328,4,,,
