renner,general,points,mountain,youth,winner,withdrawn
"TRONCHON Bastien",0,29,,0,1,
"CORT Magnus",0,23,,,,
"NYS Thibau",0,22,,0,,
"VAN AERT Wout",0,19,,,,
"ROMELE Alessandro",0,17,,0,,
"AZPARREN Xabier Mikel",0,15,,,,
"FISHER-BLACK Finn",0,13,,0,,
"AULAR Orluis",0,11,,,,
"LABROSSE Jordan",0,9,,0,,
"HOFSTETTER Hugo",0,8,,,,
"ALBANESE Vincenzo",0,6,,,,
"FEDOROV Yevgeniy",0,5,,,,
"COQUARD Bryan",0,4,,,,
"BILBAO Pello",0,3,,,,
"MULUBRHAN Henok",0,2,,,,
"LAURANCE Axel",0,,,0,,
"CAMPRUBÍ Marcel",0,,,0,,
"GLIVAR Gal",0,,,0,,
"CARAPAZ Richard",0,,,,,
"ZANA Filippo",0,,,,,
"LEEMREIZE Gijs",0,,,,,
"MARTIN Guillaume",0,,,,,
"KÜNG Stefan",0,,,,,
"GONZÁLEZ David",0,,,,,
"ROCHAS Rémy",0,,,,,
"ONLEY Oscar",0,,,0,,
"PORTER Rudy",0,,,,,
"BERNARD Julien",0,,,,,
"BERRADE Urko",0,,,,,
"WARBASSE Larry",0,,,,,
"BISIAUX Léo",0,,,0,,
"JOHANNESSEN Tobias Halland",0,,,,,
"RUIZ Ibon",0,,,,,
"VANSEVENANT Mauri",0,,,,,
"ROGLIČ Primož",0,2,,,,
"MAS Enric",0,1,,,,
"SKJELMOSE Mattias",0,,,,,
"DE JONG Timo",0,,,,,
"GALL Felix",0,,,,,
"MÜHLBERGER Gregor",0,,,,,
"TEJADA Harold",0,,,,,
"OMRZEL Jakob",0,,,0,,
"BERTHET Clément",0,,,,,
"APARICIO Mario",0,,,,,
"HERRADA Jesús",0,,,,,
"MADOUAS Valentin",0,,,,,
"KUSS Sepp",0,,,,,
"RICCITELLO Matthew",0,,,0,,
"KONRAD Patrick",0,,,,,
"GLOAG Thomas",0,,,0,,
"MOLARD Rudy",0,,,,,
"RODRÍGUEZ Cristián",0,,,,,
"BUITRAGO Santiago",0,,,,,
"BOUWMAN Koen",0,,,,,
"RODRIGUEZ Juan Felipe",0,,,0,,
"WIDAR Jarno",0,,,0,,
"FAURA José Luis",0,,,,,
"PICKERING Finlay",0,,,0,,
"DALBY Simon",0,,,0,,
"VALTER Attila",0,,,,,
"HIRT Jan",0,,,,,
"MIQUEL Pau",0,,,,,
"LANDA Mikel",0,,,,,
"LEKNESSUND Andreas",0,,,,,
"BRENNER Marco",0,,,0,,
"DUNBAR Eddie",0,,,,,
"SOSA Iván Ramiro",0,,,,,
"VAN DEN BOSSCHE Fabio",0,,,,,
"MOSCA Jacopo",19,,,,,
"SIVAKOV Pavel",19,,,,,
"KÄMNA Lennard",19,,,,,
"RENARD Alexis",19,,,,,
"SVESTAD-BÅRDSENG Embret",25,,,25,,
"WILKSCH Hannes",35,,,35,,
"DE VYLDER Lindsay",35,,,,,
"HAIG Jack",35,,,,,
"OLIVEIRA Ivo",35,,,,,
"KRON Andreas",35,,,,,
"MARTÍ Pau",35,,,35,,
"WANDAHL Frederik",35,,,35,,
"VAN BEKKUM Darren",54,,,54,,
"TJØTTA Martin",54,,,54,,
"ROTA Lorenzo",54,,,,,
"DAINESE Alberto",54,,,,,
"RODRÍGUEZ Carlos",54,,,54,,
"SCHULTZ Nick",61,,,,,
"HAMILTON Chris",67,,,,,
"SHAW James",67,,,,,
"GAROFOLI Gianmarco",74,,,74,,
"BRENNAN Matthew",80,,,80,,
"OURSELIN Paul",91,,,,,
"TILLER Rasmus",91,,,,,
"DE PESTEL Sander",91,,,,,
"MACÍAS César",98,,,98,,
"BUCHMANN Emanuel",98,,,,,
"LE GAC Olivier",104,,,,,
"THOMPSON Reuben",111,,,111,,
"CANAL Carlos",120,,,120,,
"ROMEO Iván",120,,,120,,
"SCOTSON Callum",120,,,,,
"VADER Milan",126,,,,,
"VERMAERKE Kevin",126,,,,,
"ERMAKOV Roman",126,,,126,,
"CALZONI Walter",148,,,148,,
"GARCÍA PIERNA Raúl",162,,,162,,
"DVERSNES LAVIK Fredrik",174,,3,,,
"ELOSEGUI Iñigo",209,,,,,
"FORTUNATO Lorenzo",209,,,,,
"THALMANN Roland",309,,,,,
"HAMILTON Lucas",309,,,,,
"MEEUS Jordi",319,,,,,
"WEISS Fabian",386,20,5,386,,
"GOGL Michael",386,15,2,,,
"PALENI Enzo",386,10,3,386,,
"HOULE Hugo",386,,,,,
"RAFFERTY Darren",386,,,386,,
"THORNLEY Callum",386,,,386,,
"DOUBLE Paul",386,,,,,
"DEBRUYNE Ramses",386,,,386,,
"CRAPS Lars",386,,,386,,
"BARTA Will",386,,,,,
"NORDHAGEN Jørgen",386,,,386,,
"ARCAS Jorge",386,,,,,
"DE LA CRUZ David",386,,,,,
"PARET-PEINTRE Valentin",403,,,403,,
"COBO Iván",449,13,1,,,
"LAPORTE Christophe",449,,,,,
"LUTSENKO Alexey",485,,,,,
"ALMEIDA João",509,,,,,
"PAASSCHENS Mathijs",573,,,,,
"TUCKWELL Luke",582,,,582,,
"PEACE Oliver",612,,,612,,
"DÍAZ José Manuel",612,,5,,,
"ARMIRAIL Bruno",632,,,,,
"KRUIJSWIJK Steven",632,,,,,
"DE SCHUYTENEER Steffen",632,,,632,,
"ROOSEN Timo",632,,,,,
"VERMEERSCH Gianni",632,,,,,
"VINE Jay",632,,,,,
"MARTINEZ Juan Guillermo",632,,,632,,
"MONIQUET Sylvain",632,,,,,
"STEINHAUSER Georg",632,,,632,,
"MCKENZIE Hamish",632,,,632,,
"CHAMBERLAIN Oscar",632,,,632,,
"MACKELLAR Alastair",632,,,632,,
"SÜTTERLIN Jasha",632,17,2,,,
"CASTRILLO Pablo",632,,,632,,
"KLUCKERS Arthur",632,,,,,
"MOSCON Gianni",632,,,,,
"COVI Alessandro",632,,,,,
"FERNÁNDEZ Sinuhé",632,,2,,,
"BUSATTO Francesco",656,,,656,,
"KRETSCHY Moritz",656,,,656,,
"BRAET Vito",656,,,,,
"NOVAK Domen",656,,,,,
"GOVEKAR Matevž",656,,,,,
"ALLENO Clément",689,,,,,
"WENZEL Mats",738,,,738,,
"BRUSTENGA Marc",738,,,,,
"HAYTER Ethan",738,,,,,
"HELLEMOSE Asbjørn",738,,,,,
"SUNEKÆR NORSGAARD Mathias",738,,,,,
