renner,general,points,mountain,youth,winner,withdrawn
"BRENNAN Matthew",0,30,,0,1,
"MEEUS Jordi",0,25,,,,
"ALBANESE Vincenzo",0,22,,,,
"ROMELE Alessandro",0,19,,0,,
"LAURANCE Axel",0,17,,0,,
"LAPORTE Christophe",0,28,,,,
"DAINESE Alberto",0,13,,,,
"BRAET Vito",0,11,,,,
"GONZÁLEZ David",0,9,,,,
"VAN AERT Wout",0,24,,,,
"MIQUEL Pau",0,6,,,,
"TRONCHON Bastien",0,5,,0,,
"HOFSTETTER Hugo",0,4,,,,
"TILLER Rasmus",0,3,,,,
"MULUBRHAN Henok",0,2,,,,
"COQUARD Bryan",0,,,,,
"CAMPRUBÍ Marcel",0,,,0,,
"COVI Alessandro",0,,,,,
"ALLENO Clément",0,,,,,
"RENARD-HAQUIN Henri-François",0,,,0,,
"NYS Thibau",0,,,0,,
"CANAL Carlos",0,,,0,,
"COBO Iván",0,,,,,
"WEISS Fabian",0,,,0,,
"VAN BOVEN Luca",0,,,,,
"BILBAO Pello",0,,,,,
"TULETT Ben",0,,,0,,
"RUIZ Ibon",0,,,,,
"PALENI Enzo",0,,,0,,
"MÜHLBERGER Gregor",0,,,,,
"TEJADA Harold",0,,2,,,
"BERNARD Julien",0,,,,,
"LEEMREIZE Gijs",0,,,,,
"ROTA Lorenzo",0,,,,,
"LANGELLOTTI Victor",0,,,,,
"MARTIN Guillaume",0,,,,,
"VADER Milan",0,,,,,
"PICKERING Finlay",0,,,0,,
"JOHANNESSEN Tobias Halland",0,,,,,
"MOLARD Rudy",0,,,,,
"DEBRUYNE Ramses",0,,,0,,
"MADOUAS Valentin",0,,,,,
"BERTHET Clément",0,,,,,
"SCOTSON Callum",0,,,,,
"LEKNESSUND Andreas",0,,,,,
"VALTER Attila",0,,,,,
"BOUWMAN Koen",0,,,,,
"GAROFOLI Gianmarco",0,,,0,,
"POGAČAR Tadej",0,,,,,
"ONLEY Oscar",0,,,0,,
"MAS Enric",0,,,,,
"ROGLIČ Primož",0,,,,,
"GALL Felix",0,,,,,
"CARAPAZ Richard",0,,,,,
"OMRZEL Jakob",0,,,0,,
"VINE Jay",0,,1,,,
"TORRES Pablo",0,,,0,,
"TUCKWELL Luke",0,,,0,,
"SVESTAD-BÅRDSENG Embret",0,,,0,,
"PORTER Rudy",0,,,,,
"KUSS Sepp",0,,,,,
"SKJELMOSE Mattias",0,,,,,
"WARBASSE Larry",0,,,,,
"BARTA Will",0,,,,,
"KONRAD Patrick",0,,,,,
"WIDAR Jarno",0,,,0,,
"HIRT Jan",0,,,,,
"BRENNER Marco",0,,,0,,
"RODRÍGUEZ Cristián",0,,,,,
"BISIAUX Léo",0,,,0,,
"ZANA Filippo",0,,,,,
"RODRIGUEZ Juan Felipe",0,,,0,,
"RICCITELLO Matthew",0,,,0,,
"LANDA Mikel",0,,,,,
"BERRADE Urko",0,,,,,
"FISHER-BLACK Finn",0,,,0,,
"AZPARREN Xabier Mikel",0,,,,,
"KÜNG Stefan",0,,,,,
"RODRÍGUEZ Carlos",0,,,0,,
"GLOAG Thomas",0,,,0,,
"BUITRAGO Santiago",0,,,,,
"NORDHAGEN Jørgen",0,,,0,,
"SIVAKOV Pavel",0,,3,,,
"SCHULTZ Nick",0,,,,,
"DVERSNES LAVIK Fredrik",0,,,,,
"DUNBAR Eddie",0,,,,,
"MARTÍ Pau",0,,,0,,
"VAN DEN BOSSCHE Fabio",0,,,,,
"AULAR Orluis",0,,,,,
"BUCHMANN Emanuel",29,,,,,
"GAFFURI Mattia",29,,,,,
