renner,general,points,mountain,youth,winner
Kooij Olav,0,70,,0,1
Kanter Max,0,70,,,
Merlier Tim,0,47,,,
Artz Huub,0,35,,0,
Philipsen Jasper,0,42,,,
Pedersen Mads,0,40,,,
Girmay Biniam,0,40,,,
Fretin Milan,0,22,,0,
Turgis Anthony,0,30,,,
Wærenskjold Søren,0,18,,,
Berckmoes Jenno,0,16,,0,
Ackermann Pascal,0,14,,,
Russo Clément,0,12,,,
Pluimers Rick,0,10,,,
Bittner Pavel,0,6,,0,
Godon Dorian,0,8,,,
Gaviria Fernando,0,13,,,
Bauhaus Phil,0,2,,,
Teunissen Mike,0,6,,,
Gate Aaron,7,4,,,
Pogačar Tadej,14,,,,
Evenepoel Remco,14,,,,
Seixas Paul,14,,,14,
Pidcock Tom,14,,,,
Carapaz Richard,14,,,,
van Wilder Ilan,14,,,,
van Gils Maxim,14,,,,
Arensman Thymen,14,,,,
van Asbroeck Tom,14,,,,
Quinn Sean,14,,,,
Vacek Mathias,14,,,14,
del Toro Isaac,14,,,14,
Jorgenson Matteo,14,,,,
Skjelmose Mattias,14,,,,
Ayuso Juan,14,,,14,
Debruyne Ramses,14,,,14,
Jegat Jordan,14,,,,
Mcnulty Brandon,14,,,,
Johannessen Tobias Halland,14,,,,
Voisard Yannis,14,,,,
Tiberi Antonio,14,,,14,
Higuita Sergio,14,,,,
Vauquelin Kévin,14,,,14,
Bernal Egan,14,,,,
Tejada Harold,14,,,,
Rickaert Jonas,14,,,,
Lipowitz Florian,14,,,,
Martin Guillaume,14,,,,
Skujiņš Toms,14,,,,
Bol Cees,14,,,,
Page Hugo,14,,,14,
Piganzoli Davide,14,,,14,
Vingegaard Jonas,14,,,,
Træen Torstein,14,,,,
Delbove Joris,14,,,,
García Pierna Raúl,14,,,14,
Ballerini Davide,14,,,,
van den Berg Julius,14,,,,
Cepeda Jefferson Alveiro,14,,,,
Biesterbos Frits,14,,,14,
Allegaert Piet,14,,,,
Großschartner Felix,14,,,,
Yates Adam,14,,,,
Martinez Lenny,14,,,14,
Zimmermann Georg,14,,,,
Askey Lewis,14,,,14,
Germani Lorenzo,14,,,14,
Izagirre Ion,14,,,,
Armirail Bruno,14,,,,
Rubio Einer,14,,,,
Parra José Félix,14,,,,
Uijtdebroeks Cian,14,,,14,
Hoole Daan,14,,,,
Foss Tobias,14,,,,
Le Berre Mathis,14,2,,14,
Politt Nils,14,,,,
Cattaneo Mattia,14,,,,
O'connor Ben,14,,,,
Marsman Tim,14,5,,,
Planckaert Edward,40,,,,
Stewart Jake,47,8,,,
Abrahamsen Jonas,47,,,,
Azparren Xabier Mikel,47,,,,
Neilands Krists,47,,,,
Simmons Quinn,47,3,,47,
Meurisse Xandro,47,,,,
Denz Nico,47,,,,
Kuss Sepp,47,,,,
Gee-west Derek,47,,,,
Vinokurov Nicolas,47,,,47,
Wellens Tim,47,,,,
van Dijke Tim,47,,,,
Craps Lars,47,,,47,
van Moer Brent,47,,,,
van Eetvelt Lennert,47,,,47,
Hermans Quinten,47,,,,
Verona Carlos,47,,,,
Prodhomme Nicolas,47,,,,
Oliveira Nelson,47,,,,
Cort Magnus,47,,,,
Degenkolb John,47,,,,
Bennett George,47,,,,
Skaarseth Anders,47,,,,
Alaphilippe Julian,47,,,,
Stannard Robert,64,,,,
Kwiatkowski Michał,64,,,,
Romo Javier,71,,,,
Mohorič Matej,79,,,,
Ganna Filippo,79,,,,
Vermeersch Florian,79,,,,
Affini Edoardo,79,,,,
Veistroffer Baptiste,79,25,2,,
Castrillo Pablo,96,,,96,
Engelhardt Felix,96,,,,
Delettre Alexandre,96,,,,
Märkl Niklas,105,,,,
Grégoire Romain,105,,,105,
Braz Afonso Clément,105,,,,
Schmid Mauro,121,,,,
Hindley Jai,121,,,,
Hagenes Per Strand,125,,,125,
Haller Marco,125,,,,
Trentin Matteo,125,,,,
Guernalec Thibault,131,,,,
Slock Liam,131,,,,
Barguil Warren,131,,,,
Pacher Quentin,131,,,,
van der Poel Mathieu,131,,,,
Balderstone Abel,131,,,,
Asgreen Kasper,131,,,,
van den Broek Frank,131,,,,
Dhondt Robbe,131,,,131,
Kirsch Alex,131,,,,
Healy Ben,131,,,,
van Mechelen Vlad,143,,,143,
Riccitello Matthew,155,,,155,
Benoot Tiesj,155,,,,
Vercher Mattéo,155,,,155,
Johannessen Anders Halland,155,,,,
Charmig Anthon,155,,,,
Baudin Alex,155,,1,155,
Paret-peintre Valentin,155,,,155,
Biermans Jenthe,155,,,,
Aranburu Alex,155,,,,
Thomas Benjamin,181,,,,
Dillier Silvan,200,,,,
Wright Fred,200,,,,
Gradek Kamil,200,,,,
Costiou Ewen,200,,,200,
Eenkhoorn Pascal,200,,,,
Valgren Michael,200,,,,
Durbridge Luke,200,,,,
Walker Max,200,,,200,
Howson Damien,200,,,,
Caruso Damiano,200,,,,
Frigo Marco,200,,,,
Hirschi Marc,200,,,,
Velasco Simone,200,,,,
Tratnik Jan,200,,,,
Plapp Luke,200,,,,
Harper Chris,200,,,,
Hessmann Michel,200,,,200,
Storer Michael,200,,,,
Verstrynge Emiel,200,,,200,
Breuillard Nicolas,200,,,,
Steinhauser Georg,200,,,200,
Tarling Joshua,209,,,209,
Berwick Sebastian,270,,,,
Nicolau Joel,270,,,,
Campenaerts Victor,290,,,,
Oldani Stefano,297,,,,
Otruba Jakub,297,,,,
Vervaeke Louis,330,,,,
Stuyven Jasper,330,,,,
van Baarle Dylan,330,1,,,
van Lerberghe Bert,330,,,,
