"renner","general","points","mountain","youth","winner","withdrawn"
"BRENNAN Matthew","0","50","0","0","1",""
"MEEUS Jordi","0","30","0","","",""
"CORT Magnus","0","20","0","","",""
"ROMELE Alessandro","0","18","0","0","",""
"DE SCHUYTENEER Steffen","0","16","0","0","",""
"LAURANCE Axel","0","14","0","0","",""
"MIQUEL Pau","0","12","0","","",""
"HOFSTETTER Hugo","0","8","0","","",""
"MACÍAS César","0","10","0","0","",""
"COQUARD Bryan","0","22","0","","",""
"DAINESE Alberto","0","6","0","","",""
"COVI Alessandro","0","5","0","","",""
"BRAET Vito","0","4","0","","",""
"TILLER Rasmus","0","3","0","","",""
"COBO Iván","0","0","0","","",""
"VADER Milan","0","2","0","","",""
"BRUSTENGA Marc","0","0","0","","",""
"TRONCHON Bastien","0","0","0","0","",""
"VAN AERT Wout","0","13","0","","",""
"FEDOROV Yevgeniy","0","0","0","","",""
"ELOSEGUI Iñigo","0","0","0","","",""
"GOGL Michael","0","0","0","","",""
"DE JONG Timo","0","0","0","","",""
"KÜNG Stefan","0","0","0","","",""
"SÜTTERLIN Jasha","0","0","0","","",""
"LE GAC Olivier","0","0","0","","",""
"WEISS Fabian","0","0","0","0","",""
"LEEMREIZE Gijs","0","0","0","","",""
"RENARD Alexis","0","10","0","","",""
"ALLENO Clément","0","0","0","","",""
"LEKNESSUND Andreas","0","0","0","","",""
"MOSCON Gianni","0","0","0","","",""
"SHAW James","0","0","0","","",""
"CARAPAZ Richard","0","0","0","","",""
"AULAR Orluis","0","0","0","","",""
"ROGLIČ Primož","0","0","0","","",""
"MAS Enric","0","0","0","","",""
"BERTHET Clément","0","0","0","","",""
"MULUBRHAN Henok","0","0","0","","",""
"OMRZEL Jakob","0","0","0","0","",""
"PICKERING Finlay","0","0","0","0","",""
"MADOUAS Valentin","0","0","0","","",""
"GOVEKAR Matevž","0","0","0","","",""
"SCOTSON Callum","0","0","0","","",""
"BUCHMANN Emanuel","0","0","0","","",""
"DE PESTEL Sander","0","0","0","","",""
"ARMIRAIL Bruno","0","0","0","","",""
"GLIVAR Gal","0","0","0","0","",""
"GALL Felix","0","0","0","","",""
