renner,general,points,mountain,youth,winner
Merlier Tim,0,79,,,1
Girmay Biniam,0,58,,,
Kooij Olav,1088,40,,0,
Philipsen Jasper,0,49,,,
Bittner Pavel,0,30,,0,
Pluimers Rick,0,26,,,
Ackermann Pascal,0,24,,,
Kanter Max,0,32,,,
Russo Clément,0,22,,,
Fretin Milan,0,18,,0,
Wærenskjold Søren,0,16,,,
Pedersen Mads,0,24,,,
Gaviria Fernando,0,17,,,
Godon Dorian,0,10,,,
Turgis Anthony,0,15,,,
van der Poel Mathieu,0,7,,,
Bauhaus Phil,0,4,,,
Berckmoes Jenno,0,2,,0,
Pacher Quentin,0,,,,
Wright Fred,0,,,,
Charmig Anthon,0,,,,
Schmid Mauro,0,,,,
Märkl Niklas,0,,,,
Paret-peintre Aurélien,0,,,,
Pidcock Tom,0,,,,
van den Broek Frank,0,,,,
Teunissen Mike,0,,,,
Skaarseth Anders,0,,,,
Johannessen Tobias Halland,0,,,,
Evenepoel Remco,0,,,,
Cort Magnus,0,,,,
van Gils Maxim,0,,,,
Seixas Paul,0,,,0,
Oliveira Nelson,0,,,,
Tejada Harold,0,,,,
van Asbroeck Tom,0,6,,,
van Dijke Tim,0,,,,
Martin Guillaume,0,,,,
Stannard Robert,0,,,,
Abrahamsen Jonas,0,,,,
Parra José Félix,0,,,,
Caruso Damiano,0,,,,
Vermeersch Florian,0,,,,
Politt Nils,0,,,,
Cattaneo Mattia,0,,,,
del Toro Isaac,0,,,0,
Ayuso Juan,0,,,0,
Mcnulty Brandon,0,,,,
Pogačar Tadej,0,,,,
Affini Edoardo,1007,,,,
Vingegaard Jonas,0,,,,
van Wilder Ilan,0,,,,
Lipowitz Florian,0,,,,
Skujiņš Toms,0,,,,
Hagenes Per Strand,0,,,0,
Ganna Filippo,0,,,,
Bernal Egan,0,,,,
Skjelmose Mattias,0,,,,
Quinn Sean,0,,,,
Jegat Jordan,0,,,,
Artz Huub,0,,,0,
Martinez Lenny,0,,,0,
Vacek Mathias,0,,,0,
Voisard Yannis,0,,,,
Kuss Sepp,0,,,,
Castrillo Pablo,0,,,0,
Yates Adam,0,,,,
Piganzoli Davide,0,,,0,
Delbove Joris,0,,,,
van Eetvelt Lennert,0,,,0,
Vauquelin Kévin,0,,,0,
Delettre Alexandre,0,,,,
Bol Cees,1088,,,,
Harper Chris,0,,,,
Tiberi Antonio,0,,,0,
Stuyven Jasper,0,,,,
Germani Lorenzo,0,,,0,
Askey Lewis,0,,,0,
Gee-west Derek,0,,,,
Kirsch Alex,0,,,,
Hessmann Michel,0,,,0,
van Mechelen Vlad,0,,,0,
Vervaeke Louis,0,,,,
Neilands Krists,0,,,,
Jorgenson Matteo,0,,,,
Campenaerts Victor,0,,,,
Mohorič Matej,0,,,,
Kwiatkowski Michał,0,,,,
Le Berre Mathis,0,,,0,
Grégoire Romain,35,,,35,
Rickaert Jonas,35,,,,
Planckaert Edward,35,,,,
Trentin Matteo,35,,,,
Hindley Jai,35,,,,
Arensman Thymen,35,,,,
Zimmermann Georg,35,,,,
Braz Afonso Clément,35,,,,
Romo Javier,35,,,,
Biesterbos Frits,35,,,35,
Hermans Quinten,35,,,,
Denz Nico,35,,,,
Verona Carlos,35,,,,
Allegaert Piet,48,,,,
Page Hugo,48,,,48,
Craps Lars,48,,,48,
Meurisse Xandro,56,,,,
Asgreen Kasper,63,,,,
Stewart Jake,63,,,,
van Moer Brent,63,,,,
Rubio Einer,63,,,,
Prodhomme Nicolas,71,,,,
Simmons Quinn,71,2,,71,
Benoot Tiesj,71,,,,
Slock Liam,993,20,2,,
Biermans Jenthe,80,,,,
Ballerini Davide,89,4,,,
Degenkolb John,89,,,,
Balderstone Abel,93,,,,
Engelhardt Felix,101,,,,
Gradek Kamil,101,,,,
Carapaz Richard,109,,,,
Matthews Michael,109,,,,
Durbridge Luke,109,,,,
Azparren Xabier Mikel,109,,,,
Barguil Warren,109,,,,
Armirail Bruno,109,,,,
Veistroffer Baptiste,1105,,,,
Gate Aaron,109,3,,,
Großschartner Felix,109,,,,
Wellens Tim,109,,,,
Howson Damien,109,,,,
García Pierna Raúl,109,,,109,
Johannessen Anders Halland,109,,,,
Cepeda Jefferson Alveiro,109,,,,
Riccitello Matthew,109,,,109,
Hoole Daan,109,,,,
Dhondt Robbe,109,,,109,
van den Berg Julius,109,,,,
Foss Tobias,109,,,,
Tarling Joshua,109,,,109,
Baudin Alex,109,,,109,
Vercher Mattéo,109,,,109,
Valgren Michael,109,,,,
Healy Ben,109,,,,
Walker Max,109,,,109,
Steinhauser Georg,109,,,109,
Tratnik Jan,109,,,,
O'connor Ben,109,,,,
Costiou Ewen,109,,,109,
Izagirre Ion,109,,,,
Higuita Sergio,109,,,,
Aranburu Alex,109,,,,
Hirschi Marc,109,,,,
Thomas Benjamin,109,,,,
Berwick Sebastian,109,,,,
Bennett George,109,,,,
Debruyne Ramses,109,,,109,
Marsman Tim,109,,,,
Velasco Simone,109,,,,
Otruba Jakub,109,25,,,
Breuillard Nicolas,140,,,,
Paret-peintre Valentin,161,,,161,
van Baarle Dylan,161,,,,
Haller Marco,181,,,,
Oldani Stefano,181,,,,
Vinokurov Nicolas,206,,,206,
Dillier Silvan,236,,,,
Plapp Luke,236,,,,
Guernalec Thibault,236,16,,,
Louvel Matis,236,,,,
Storer Michael,236,,,,
Alaphilippe Julian,236,,,,
Frigo Marco,236,,,,
Nicolau Joel,285,,,,
Eenkhoorn Pascal,344,,,,
Verstrynge Emiel,361,,,372,
O'Brien Kelland,1069,,,,
De Lie Arnaud,1105,,,,
