"renner","general","points","mountain","youth","winner","withdrawn"
"KÜNG Stefan","0","20","0","","1",""
"THORNLEY Callum","2,27","17","0","0","",""
"ALMEIDA João","8,78","15","0","","",""
"ROGLIČ Primož","18,55","13","0","","",""
"VAN AERT Wout","19,4","11","0","","",""
"FISHER-BLACK Finn","20,87","10","0","18,6","",""
"ARMIRAIL Bruno","25,25","9","0","","",""
"HAYTER Ethan","29,19","7","0","","",""
"OLIVEIRA Ivo","31,79","8","0","","",""
"AZPARREN Xabier Mikel","32,77","6","0","","",""
"STEINHAUSER Georg","47,51","5","0","45,239999999999995","",""
"MAS Enric","51,82","4","0","","",""
"CHAMBERLAIN Oscar","53,87","3","0","51,599999999999994","",""
"CASTRILLO Pablo","54,73","2","0","52,459999999999994","",""
"TEJADA Harold","60,69","0","0","","",""
"FEDOROV Yevgeniy","60,76","1","0","","",""
"ONLEY Oscar","70,92","0","0","68,65","",""
"WARBASSE Larry","78,81","0","0","","",""
"SÜTTERLIN Jasha","79,25","0","0","","",""
"BERTHET Clément","79,91","0","0","","",""
"OMRZEL Jakob","97,39","0","0","95,12","",""
"RODRÍGUEZ Cristián","101,78","0","0","","",""
"MACKELLAR Alastair","102,76","0","0","100,49000000000001","",""
"CARAPAZ Richard","104,46","0","0","","",""
"RAFFERTY Darren","105,1","0","0","102,83","",""
"GALL Felix","106,98","0","0","","",""
"PALENI Enzo","111,38","0","0","109,11","",""
"SKJELMOSE Mattias","113,73","0","0","","",""
"RICCITELLO Matthew","120,33","0","0","118,06","",""
"DE SCHUYTENEER Steffen","124,17","0","0","121,9","",""
"SHAW James","125,65","0","0","","",""
"SUNEKÆR NORSGAARD Mathias","127,56","0","0","","",""
"APARICIO Mario","135,94","0","0","","",""
"DE LA CRUZ David","141,16","0","0","","",""
"DE PESTEL Sander","141,73","0","0","","",""
"MADOUAS Valentin","146,18","0","0","","",""
"PICKERING Finlay","150,1","0","0","147,82999999999998","",""
"KUSS Sepp","151,16","0","0","","",""
"MARTIN Guillaume","155,62","0","0","","",""
"VERMAERKE Kevin","160,45","0","0","","",""
"DUNBAR Eddie","165,1","0","0","","",""
"ZANA Filippo","174,1","0","0","","",""
