"renner","general","points","mountain","youth","winner","withdrawn"
"MOSCA Jacopo","175,68","0","0","","",""
"BISIAUX Léo","182,36","0","0","180,09","",""
"BARTA Will","187,5","0","0","","",""
"BERRADE Urko","188,21","0","0","","",""
"MARTINEZ Juan Guillermo","188,27","0","0","186","",""
"BOUWMAN Koen","188,98","0","0","","",""
"MARTÍ Pau","190,97","0","0","188,7","",""
"KRUIJSWIJK Steven","196,49","0","0","","",""
"LEEMREIZE Gijs","197,09","0","0","","",""
"DAINESE Alberto","198,43","0","0","","",""
"RODRÍGUEZ Carlos","201,59","0","0","199,32","",""
"VERMEERSCH Gianni","205,81","0","0","","",""
"OURSELIN Paul","205,87","0","0","","",""
"HERRADA Jesús","206,84","0","0","","",""
"NOVAK Domen","215,13","0","0","","",""
"WILKSCH Hannes","218,2","0","0","215,92999999999998","",""
"LEKNESSUND Andreas","219,62","0","0","","",""
"RUIZ Ibon","220,42","0","0","","",""
"WEISS Fabian","220,51","0","0","218,23999999999998","",""
"COQUARD Bryan","222,68","0","0","","",""
"VALTER Attila","225,12","0","0","","",""
"GAROFOLI Gianmarco","225,31","0","0","223,04","",""
"ROULAND Louis","226,15","0","0","223,88","",""
"SVESTAD-BÅRDSENG Embret","226,99","0","0","224,72","",""
"GOGL Michael","228,41","0","0","","",""
"DVERSNES LAVIK Fredrik","229,6","0","0","","",""
"GLIVAR Gal","231,92","0","0","229,64999999999998","",""
"PORTER Rudy","235,13","0","0","","",""
"BUCHMANN Emanuel","236,58","0","0","","",""
"VADER Milan","237,61","0","0","","",""
"SCHULTZ Nick","241,22","0","0","","",""
"MOLARD Rudy","241,99","0","0","","",""
"BRENNAN Matthew","247,02","0","0","244,75","",""
"LANDA Mikel","248,93","0","0","","",""
"HIRT Jan","249,25","0","0","","",""
"SAMITIER Sergio","250,31","0","0","","",""
"MIQUEL Pau","250,73","0","0","","",""
"LAURANCE Axel","252,22","0","0","249,95","",""
"HAMILTON Chris","252,25","0","0","","",""
"HAIG Jack","255,31","0","0","","",""
"RODRIGUEZ Juan Felipe","256,81","0","0","254,54","",""
"VANSEVENANT Mauri","257,36","0","0","","",""
"CALZONI Walter","258,99","0","0","256,72","",""
"JOHANNESSEN Tobias Halland","261,08","0","0","","",""
"TJØTTA Martin","262,69","0","0","260,42","",""
"WANDAHL Frederik","263,22","0","0","260,95000000000005","",""
"WENZEL Mats","265,65","0","0","263,38","",""
"FERNÁNDEZ Sinuhé","268,14","0","0","","",""
"GOVEKAR Matevž","271,76","0","0","","",""
"NYS Thibau","271,88","0","0","269,61","",""
"HAMILTON Lucas","275,68","0","0","","",""
"ROTA Lorenzo","275,93","0","0","","",""
"BERNARD Julien","276","0","0","","",""
"BRAET Vito","277,92","0","0","","",""
"MEEUS Jordi","279,91","0","0","","",""
"ALLENO Clément","281,69","0","0","","",""
"CORT Magnus","281,88","0","0","","",""
"VAN DEN BOSSCHE Fabio","283,61","0","0","","",""
"MACÍAS César","285,69","0","0","283,42","",""
"MULUBRHAN Henok","287,33","0","0","","",""
"BRUSTENGA Marc","287,78","0","0","","",""
"ALBANESE Vincenzo","287,98","0","0","","",""
"DEBRUYNE Ramses","288,04","0","0","285,77000000000004","",""
"MONIQUET Sylvain","289,43","0","0","","",""
"BUITRAGO Santiago","290,63","0","0","","",""
"COVI Alessandro","291,61","0","0","","",""
"ARCAS Jorge","291,73","0","0","","",""
"THALMANN Roland","291,96","0","0","","",""
"DÍAZ José Manuel","292,12","0","0","","",""
"ROCHAS Rémy","293,85","0","0","","",""
"ROMELE Alessandro","295,2","0","0","292,93","",""
"GARCÍA PIERNA Raúl","296,38","0","0","294,11","",""
"LE GAC Olivier","298,53","0","0","","",""
"MOSCON Gianni","301,4","0","0","","",""
"TRONCHON Bastien","302,46","0","0","300,19","",""
"NORDHAGEN Jørgen","302,62","0","0","300,35","",""
"ERMAKOV Roman","307,9","0","0","305,63","",""
"SCOTSON Callum","308,16","0","0","","",""
"CANAL Carlos","309,39","0","0","307,12","",""
"KONRAD Patrick","310,96","0","0","","",""
"ROMEO Iván","312,4","0","0","310,13","",""
"KÄMNA Lennard","315,36","0","0","","",""
"AULAR Orluis","319,38","0","0","","",""
"HOFSTETTER Hugo","319,83","0","0","","",""
"TILLER Rasmus","321,62","0","0","","",""
"ELOSEGUI Iñigo","325,2","0","0","","",""
"COBO Iván","339,71","0","0","","",""
"KRON Andreas","340,89","0","0","","",""
"BILBAO Pello","341,19","0","0","","",""
"PAASSCHENS Mathijs","344,3","0","0","","",""
"CAMPRUBÍ Marcel","344,81","0","0","342,54","",""
"HELLEMOSE Asbjørn","347,42","0","0","","",""
"DE JONG Timo","348,8","0","0","","",""
"PARET-PEINTRE Valentin","360,74","0","0","358,47","",""
"DOUBLE Paul","360,89","0","0","","",""
"VAN BEKKUM Darren","362,77","0","0","360,5","",""
"FAURA José Luis","370,46","0","0","","",""
"CRAPS Lars","373,17","0","0","370,90000000000003","",""
"GLOAG Thomas","377,08","0","0","374,81","",""
"BRENNER Marco","378,29","0","0","376,02000000000004","",""
"FORTUNATO Lorenzo","406,78","0","0","","",""
"THOMPSON Reuben","408,12","0","0","405,85","",""
"WIDAR Jarno","419,16","0","0","416,89000000000004","",""
"DALBY Simon","422,34","0","0","420,07","",""
"TUCKWELL Luke","443,53","0","0","441,26","",""
"SOSA Iván Ramiro","469,01","0","0","","",""
"RENARD Alexis","","0","0","","","DNS"
