renner,general,points,mountain,youth,winner,dnf
Evenepoel Remco,0,20,5,,1,
Pogačar Tadej,28,17,3,,,
Skjelmose Mattias,64,15,2,,,
Seixas Paul,76,13,,0,,
del Toro Isaac,81,11,,5,,
Arensman Thymen,101,9,,,,
Cattaneo Mattia,106,10,,,,
Armirail Bruno,115,8,,,,
Castrillo Pablo,119,7,,44,,
Tarling Joshua,122,6,,46,,
Ganna Filippo,126,5,,,,
Pidcock Tom,127,4,,,,
Großschartner Felix,127,3,,,,
Jorgenson Matteo,137,2,,,,
Artz Huub,142,,,74,,
Ayuso Juan,149,1,,66,,
Hoole Daan,161,,,,,
Guernalec Thibault,166,,,,,
Costiou Ewen,169,,,93,,
Martinez Lenny,169,,,94,,
Paret-peintre Aurélien,177,,,,,
Mcnulty Brandon,181,,,,,
Voisard Yannis,182,,,,,
Schmid Mauro,186,,,,,
Piganzoli Davide,194,,,118,,
van Wilder Ilan,201,,,,,
Gee-west Derek,205,,,,,
Otruba Jakub,209,,,,,
Riccitello Matthew,211,,,135,,
Oliveira Nelson,211,,,,,
Balderstone Abel,215,,,,,
Azparren Xabier Mikel,216,,,,,
Thomas Benjamin,219,,,,,
van Gils Maxim,223,,,,,
Braz Afonso Clément,228,,,,,
Jegat Jordan,232,,,,,
García Pierna Raúl,234,,,159,,
Grégoire Romain,237,,,161,,
Quinn Sean,239,,,,,
Engelhardt Felix,242,,,,,
Carapaz Richard,245,,,,,
Foss Tobias,246,,,,,
Caruso Damiano,246,,,,,
Howson Damien,250,,,,,
Russo Clément,256,,,,,
Kwiatkowski Michał,258,,,,,
Simmons Quinn,262,,,187,,
Velasco Simone,268,,,,,
Delettre Alexandre,268,,,,,
Bernal Egan,270,,,,,
Pacher Quentin,271,,,,,
Meurisse Xandro,272,,,,,
van Baarle Dylan,273,,,,,
Wellens Tim,274,,,,,
Prodhomme Nicolas,280,,,,,
Martin Guillaume,280,,,,,
Le Berre Mathis,280,,,204,,
O'connor Ben,286,,,,,
Valgren Michael,286,,,,,
Politt Nils,287,,,,,
Nicolau Joel,292,,,,,
Tiberi Antonio,293,,,217,,
Breuillard Nicolas,296,,,,,
Paret-peintre Valentin,304,,,228,,
Neilands Krists,305,,,,,
Vauquelin Kévin,307,,,231,,
Abrahamsen Jonas,309,,,,,
Vacek Mathias,310,,,235,,
Pedersen Mads,311,,,,,
Hindley Jai,312,,,,,
Matthews Michael,313,,,,,
Alaphilippe Julian,313,,,,,
Pluimers Rick,313,,,,,
Baudin Alex,314,,,238,,
Hermans Quinten,317,,,,,
Parra José Félix,318,,,,,
Frigo Marco,320,,,,,
Stuyven Jasper,321,,,,,
Fretin Milan,321,,,245,,
Zimmermann Georg,321,,,,,
Vinokurov Nicolas,325,,,249,,
Vercher Mattéo,325,,,249,,
Higuita Sergio,326,,,,,
Rubio Einer,329,,,,,
Yates Adam,330,,,,,
Plapp Luke,331,,,,,
Godon Dorian,332,,,,,
Benoot Tiesj,333,,,,,
Page Hugo,335,,,260,,
Asgreen Kasper,335,,,,,
Kirsch Alex,342,,,,,
Delbove Joris,343,,,,,
Planckaert Edward,343,,,,,
Rickaert Jonas,345,,,,,
Berwick Sebastian,345,,,,,
van der Poel Mathieu,346,,,,,
van Moer Brent,347,,,,,
Johannessen Tobias Halland,347,,,,,
Izagirre Ion,347,,,,,
Affini Edoardo,347,,,,,
Walker Max,348,,,272,,
Denz Nico,350,,,,,
Oldani Stefano,351,,,,,
Storer Michael,353,,,,,
Aranburu Alex,354,,,,,
Ackermann Pascal,354,,,,,
Wright Fred,355,,,,,
Steinhauser Georg,356,,,280,,
Stannard Robert,358,,,,,
Gate Aaron,360,,,,,
Johannessen Anders Halland,360,,,,,
Slock Liam,361,,,,,
Skaarseth Anders,363,,,,,
Durbridge Luke,363,,,,,
Marsman Tim,363,,,,,
van den Berg Julius,365,,,,,
Tratnik Jan,365,,,,,
Healy Ben,368,,,,,
Skujiņš Toms,369,,,,,
Hirschi Marc,372,,,,,
Vermeersch Florian,372,,,,,
Barguil Warren,374,,,,,
van Mechelen Vlad,376,,,300,,
Verona Carlos,378,,,,,
Kuss Sepp,379,,,,,
Hessmann Michel,379,,,304,,
Biermans Jenthe,379,,,,,
Veistroffer Baptiste,380,,,,,
Germani Lorenzo,383,,,307,,
Haller Marco,382,,,,,
Turgis Anthony,382,,,,,
Verstrynge Emiel,387,,,311,,
Stewart Jake,389,,,,,
Ballerini Davide,391,,,,,
Askey Lewis,391,,,315,,
Bol Cees,392,,,,,
Bauhaus Phil,393,,,,,
Dhondt Robbe,393,,,317,,
Kooij Olav,394,,,318,,
Cort Magnus,394,,,,,
Campenaerts Victor,397,,,,,
Gradek Kamil,398,,,,,
Romo Javier,398,,,,,
Teunissen Mike,399,,,,,
Vervaeke Louis,400,,,,,
Mohorič Matej,400,,,,,
Degenkolb John,405,,,,,
Kanter Max,405,,,,,
Louvel Matis,405,,,,,
van Eetvelt Lennert,407,,,331,,
Hagenes Per Strand,409,,,333,,
van den Broek Frank,411,,,,,
Philipsen Jasper,414,,,,,
Bennett George,415,,,,,
Dillier Silvan,417,,,,,
Wærenskjold Søren,416,,,,,
van Dijke Tim,417,,,,,
Märkl Niklas,417,,,,,
Tejada Harold,422,,,,,
Bittner Pavel,424,,,348,,
Cepeda Jefferson Alveiro,437,,,,,
Girmay Biniam,446,,,,,
Allegaert Piet,452,,,,,
Eenkhoorn Pascal,459,,,,,
Lipowitz Florian,,,1,,,1
Craps Lars,,,,,,1
