renner,general,points,mountain,youth,winner,withdrawn
"LAPORTE Christophe",1731,,,,,
"ROULAND Louis",1731,,,1685,,
"DE SCHUYTENEER Steffen",1731,,,1685,,
"PAASSCHENS Mathijs",1818,,,,,
"GONZÁLEZ David",1822,,,,,
"STEINHAUSER Georg",1822,,,1776,,
"FAURA José Luis",1822,,,,,
"AULAR Orluis",1822,,,,,
"MACÍAS César",1822,,,1776,,
"DAINESE Alberto",1822,,,,,
"PORTER Rudy",1822,,,,,
"ROCHAS Rémy",1822,,,,,
"TJØTTA Martin",1822,,,1776,,
"TILLER Rasmus",1822,,,,,
"DE VYLDER Lindsay",1822,,,,,
"VAN BOVEN Luca",1822,,,,,
"BERNARD Julien",1822,,,,,
"SOSA Iván Ramiro",1822,,,,,
"HAMILTON Chris",1822,,,,,
"MCKENZIE Hamish",1822,,,1776,,
"CHAMBERLAIN Oscar",1822,,,1776,,
"MACKELLAR Alastair",1822,,,1776,,
"GROVES Kaden",1822,,,,,
"BRAET Vito",1822,,,,,
"VAN DEN BOSSCHE Fabio",1822,,,,,
"GOVEKAR Matevž",1822,,,,,
"GLIVAR Gal",1822,,,1776,,
"HELLEMOSE Asbjørn",1822,,,,,
"BRUSTENGA Marc",1822,,,,,
"ELOSEGUI Iñigo",1822,,,,,
"LE GAC Olivier",1822,,,,,
"FERNÁNDEZ Sinuhé",1822,,,,,
"COBO Iván",1822,,,,,
"MOSCON Gianni",1822,,,,,
"COVI Alessandro",1822,,,,,
"ROOSEN Timo",1822,,,,,
"DE JONG Timo",1822,,,,,
"RENARD Alexis",1822,,,,,
"RENARD-HAQUIN Henri-François",1822,,,1776,,
"ERMAKOV Roman",1822,,,1776,,
"MARTINEZ Juan Guillermo",1822,,,1776,,
"URIARTE Diego",1822,,,1776,,
"HAYTER Ethan",1822,,,,,
"PEACE Oliver",1822,,,1776,,
"VAN TRICHT Floris",1822,,,1776,,
"SENTJENS Sente",1822,,,1776,,
"NYS Thibau",1822,,,1776,,
"OLIVEIRA Ivo",1822,,,,,
"SUNEKÆR NORSGAARD Mathias",1822,,,,,
"MEEUS Jordi",1822,,,,,
"ROMELE Alessandro",1822,,,1776,,
"NOVAK Domen",1822,,,,,
"TARLING Joshua",,,,,,DNF
"BELOKI Markel",,,,,,DNF
