renner,general,points,mountain,youth,winner,withdrawn
"POGAČAR Tadej",0,20,6,,1,
"MAS Enric",0,17,10,,,
"DEBRUYNE Ramses",46,15,1,0,,
"CARAPAZ Richard",46,13,,,,
"TEJADA Harold",46,11,,,,
"ROGLIČ Primož",46,9,2,,,
"GALL Felix",46,10,4,,,
"RODRÍGUEZ Cristián",98,8,,,,
"BERTHET Clément",98,7,,,,
"SKJELMOSE Mattias",98,6,,,,
"KUSS Sepp",98,5,,,,
"ONLEY Oscar",98,4,,52,,
"KRON Andreas",226,3,,,,
"CAMPRUBÍ Marcel",226,2,,180,,
"DÍAZ José Manuel",226,15,5,,,
"KONRAD Patrick",226,18,,,,
"GAROFOLI Gianmarco",226,,,180,,
"OMRZEL Jakob",228,,,182,,
"BUITRAGO Santiago",228,,3,,,
"GAFFURI Mattia",228,,,,,
"SVESTAD-BÅRDSENG Embret",228,,,182,,
"MARTIN Guillaume",228,,,,,
"RICCITELLO Matthew",228,,,182,,
"WIDAR Jarno",228,,,182,,
"MÜHLBERGER Gregor",228,,,,,
"LEEMREIZE Gijs",332,,,,,
"APARICIO Mario",332,,,,,
"WILKSCH Hannes",332,,,286,,
"BISIAUX Léo",345,,,299,,
"PICKERING Finlay",345,,,299,,
"CANAL Carlos",345,,,299,,
"CRAPS Lars",388,,,342,,
"RUIZ Ibon",439,,,,,
"GLOAG Thomas",439,13,1,393,,
"RODRIGUEZ Juan Felipe",439,,,393,,
"JOHANNESSEN Tobias Halland",439,,,,,
"ZANA Filippo",439,,,,,
"ALLENO Clément",524,,,,,
"VALTER Attila",524,,,,,
"TORRES Pablo",524,,,478,,
"ARMIRAIL Bruno",524,,,,,
"MOLARD Rudy",524,,,,,
"MADOUAS Valentin",524,,,,,
"BARTA Will",524,,,,,
"HIRT Jan",524,,,,,
"BOUWMAN Koen",524,,,,,
"BENNETT George",524,,,,,
"VANSEVENANT Mauri",524,,,,,
"RODRÍGUEZ Carlos",524,,,478,,
"BERRADE Urko",524,,,,,
"NORDHAGEN Jørgen",620,,,574,,
"SIVAKOV Pavel",620,,,,,
"VADER Milan",620,,,,,
"VINE Jay",620,,,,,
"SCOTSON Callum",620,,,,,
"HAIG Jack",620,,,,,
"SAMITIER Sergio",681,,,,,
"KÄMNA Lennard",681,,,,,
"BUCHMANN Emanuel",681,,,,,
"HOFSTETTER Hugo",681,,,,,
"MOSCA Jacopo",796,,,,,
"LANGELLOTTI Victor",796,,,,,
"PALENI Enzo",796,,,750,,
"WANDAHL Frederik",796,,,750,,
"OURSELIN Paul",796,,,,,
"VAN BEKKUM Darren",796,,,750,,
"GARCÍA PIERNA Raúl",796,,,750,,
"ROMEO Iván",796,,,750,,
"PARET-PEINTRE Valentin",796,,,750,,
"MIQUEL Pau",796,,,,,
"WARBASSE Larry",796,,,,,
"LABROSSE Jordan",796,,,750,,
"LANDA Mikel",796,,,,,
"BILBAO Pello",796,10,,,,
"ALBANESE Vincenzo",796,,,,,
"TUCKWELL Luke",796,,,750,,
"DE PESTEL Sander",796,,,,,
"DALBY Simon",796,,,750,,
"MARTÍ Pau",796,,,750,,
"SHAW James",796,,,,,
"SCHULTZ Nick",796,,,,,
"WEISS Fabian",964,,,918,,
"VAN AERT Wout",974,20,,,,
"VERMEERSCH Gianni",974,,,,,
"GOGL Michael",974,,,,,
"THOMPSON Reuben",974,,,928,,
"MULUBRHAN Henok",974,,,,,
"ARCAS Jorge",974,,,,,
"HOULE Hugo",974,,,,,
"THORNLEY Callum",974,,,928,,
"AZPARREN Xabier Mikel",974,,,,,
"WENZEL Mats",974,,,928,,
"ROTA Lorenzo",974,,,,,
"LAURANCE Axel",1172,,,1126,,
"MONIQUET Sylvain",1172,,,,,
"HAMILTON Lucas",1172,,,,,
"DE LA CRUZ David",1172,,,,,
"TURNER Ben",1189,,,,,
"KÜNG Stefan",1239,,,,,
"KRUIJSWIJK Steven",1239,,,,,
"KRETSCHY Moritz",1239,,,1193,,
"TRONCHON Bastien",1239,,,1193,,
"BRENNER Marco",1239,,,1193,,
"THALMANN Roland",1239,,,,,
"TULETT Ben",1239,,,1193,,
"LEKNESSUND Andreas",1239,,,,,
"CORT Magnus",1239,,,,,
"BUSATTO Francesco",1239,,,1193,,
"VERMAERKE Kevin",1239,,,,,
"ALMEIDA João",1239,,,,,
"FEDOROV Yevgeniy",1473,,,,,
"LUTSENKO Alexey",1473,,,,,
"FISHER-BLACK Finn",1473,,,1427,,
"SÜTTERLIN Jasha",1606,,,,,
"DOUBLE Paul",1606,,,,,
"PEDERSEN Mads",1606,,,,,
"COQUARD Bryan",1606,,,,,
"DUNBAR Eddie",1606,,,,,
"FORTUNATO Lorenzo",1606,,,,,
"RAFFERTY Darren",1606,,,1560,,
"CASTRILLO Pablo",1731,,,1685,,
"BRENNAN Matthew",1731,,,1685,,
"KLUCKERS Arthur",1731,,,,,
"CALZONI Walter",1731,,,1685,,
"DVERSNES LAVIK Fredrik",1731,,,,,
"HERRADA Jesús",1731,,,,,
