"renner","general","points","mountain","youth","winner","withdrawn"
"BRENNAN Matthew","0","30","0","0","1",""
"COQUARD Bryan","0","25","0","","",""
"BRAET Vito","0","22","0","","",""
"MEEUS Jordi","0","19","0","","",""
"CORT Magnus","0","17","0","","",""
"HOFSTETTER Hugo","0","13","0","","",""
"VAN AERT Wout","0","15","0","","",""
"ALBANESE Vincenzo","0","11","0","","",""
"DAINESE Alberto","0","9","0","","",""
"MACÍAS César","0","7","0","0","",""
"CAMPRUBÍ Marcel","0","6","0","0","",""
"BRUSTENGA Marc","0","5","0","","",""
"MIQUEL Pau","0","4","0","","",""
"DE JONG Timo","0","3","0","","",""
"VADER Milan","0","0","0","","",""
"RENARD Alexis","0","2","0","","",""
"FEDOROV Yevgeniy","0","0","0","","",""
"GOVEKAR Matevž","0","0","0","","",""
"ROMELE Alessandro","0","0","0","0","",""
"DVERSNES LAVIK Fredrik","0","0","0","","",""
"DE SCHUYTENEER Steffen","0","0","0","0","",""
"ELOSEGUI Iñigo","0","0","0","","",""
"BOUWMAN Koen","0","0","0","","",""
"LE GAC Olivier","0","0","0","","",""
"SÜTTERLIN Jasha","0","17","0","","",""
"MULUBRHAN Henok","0","0","0","","",""
"OLIVEIRA Ivo","0","0","0","","",""
"GLIVAR Gal","0","0","0","0","",""
"PALENI Enzo","0","0","0","0","",""
"TRONCHON Bastien","0","0","0","0","",""
"AULAR Orluis","0","0","0","","",""
"ALLENO Clément","0","0","0","","",""
"ROTA Lorenzo","0","0","0","","",""
"GOGL Michael","0","0","0","","",""
"MAS Enric","0","0","0","","",""
"BILBAO Pello","0","0","0","","",""
"CARAPAZ Richard","0","0","0","","",""
"TEJADA Harold","0","0","0","","",""
"CRAPS Lars","0","0","0","0","",""
"RODRIGUEZ Juan Felipe","0","0","0","0","",""
"SHAW James","0","0","0","","",""
"VALTER Attila","0","0","0","","",""
"ONLEY Oscar","0","0","0","0","",""
"WARBASSE Larry","0","0","0","","",""
"PICKERING Finlay","0","0","0","0","",""
"BERRADE Urko","0","0","0","","",""
"HAMILTON Lucas","0","0","0","","",""
"HAMILTON Chris","0","0","0","","",""
"SVESTAD-BÅRDSENG Embret","0","0","0","0","",""
"BERTHET Clément","0","0","0","","",""
"MARTÍ Pau","0","0","0","0","",""
"WENZEL Mats","0","0","0","0","",""
"PORTER Rudy","0","0","0","","",""
"KÜNG Stefan","0","0","0","","",""
"PAASSCHENS Mathijs","0","0","0","","",""
"BERNARD Julien","0","0","0","","",""
"ERMAKOV Roman","0","0","0","0","",""
"KÄMNA Lennard","0","0","0","","",""
"MARTIN Guillaume","0","0","0","","",""
"FISHER-BLACK Finn","0","0","0","0","",""
"GAROFOLI Gianmarco","0","0","0","0","",""
"LEEMREIZE Gijs","0","0","0","","",""
"MOSCON Gianni","0","0","0","","",""
"TUCKWELL Luke","0","0","0","0","",""
"ROGLIČ Primož","0","0","0","","",""
"CHAMBERLAIN Oscar","0","0","0","0","",""
"OMRZEL Jakob","0","0","0","0","",""
"DE PESTEL Sander","0","0","0","","",""
"HAIG Jack","0","0","0","","",""
"GALL Felix","0","0","0","","",""
"SKJELMOSE Mattias","0","0","0","","",""
"MOSCA Jacopo","0","0","0","","",""
"RODRÍGUEZ Cristián","0","0","0","","",""
"FAURA José Luis","0","0","0","","",""
"BISIAUX Léo","0","0","0","0","",""
"OURSELIN Paul","0","0","0","","",""
"ZANA Filippo","0","0","0","","",""
"RICCITELLO Matthew","0","0","0","0","",""
"MOLARD Rudy","0","0","0","","",""
"SCOTSON Callum","0","0","0","","",""
"KONRAD Patrick","0","0","0","","",""
"SUNEKÆR NORSGAARD Mathias","0","0","0","","",""
"HIRT Jan","0","0","0","","",""
"APARICIO Mario","0","0","0","","",""
"VAN DEN BOSSCHE Fabio","0","0","0","","",""
"THOMPSON Reuben","0","0","0","0","",""
"WEISS Fabian","0","0","0","0","",""
"FORTUNATO Lorenzo","0","0","0","","",""
"RODRÍGUEZ Carlos","0","0","0","0","",""
"ROCHAS Rémy","0","0","0","","",""
"ARMIRAIL Bruno","0","0","0","","",""
"DÍAZ José Manuel","0","0","0","","",""
"THALMANN Roland","0","15","0","","",""
"CANAL Carlos","0","0","0","0","",""
"RUIZ Ibon","0","0","0","","",""
"BUCHMANN Emanuel","0","0","0","","",""
"LAURANCE Axel","0","0","0","0","",""
"KUSS Sepp","0","0","0","","",""
"LANDA Mikel","0","0","0","","",""
"DUNBAR Eddie","0","0","0","","",""
"BUITRAGO Santiago","0","0","0","","",""
"PARET-PEINTRE Valentin","0","0","0","0","",""
"TILLER Rasmus","32","0","0","","",""
"AZPARREN Xabier Mikel","32","0","0","","",""
"MADOUAS Valentin","32","13","0","","",""
"WILKSCH Hannes","32","0","0","0","",""
"VERMAERKE Kevin","32","20","0","","",""
"KRUIJSWIJK Steven","32","0","0","","",""
"COBO Iván","32","0","0","","",""
"BARTA Will","32","0","0","","",""
"JOHANNESSEN Tobias Halland","32","0","0","","",""
"SOSA Iván Ramiro","32","0","0","","",""
"HERRADA Jesús","32","0","0","","",""
"FERNÁNDEZ Sinuhé","32","0","0","","",""
"DALBY Simon","32","10","0","0","",""
"SCHULTZ Nick","32","0","0","","",""
"GARCÍA PIERNA Raúl","32","0","0","0","",""
"CALZONI Walter","32","0","0","0","",""
"TJØTTA Martin","32","0","0","0","",""
"VANSEVENANT Mauri","32","0","0","","",""
"HAYTER Ethan","32","0","0","","",""
"STEINHAUSER Georg","61","0","0","29","",""
"RAFFERTY Darren","61","0","0","29","",""
"KRON Andreas","65","0","0","","",""
"DEBRUYNE Ramses","65","0","0","33","",""
"ROULAND Louis","65","0","0","33","",""
"VERMEERSCH Gianni","65","0","0","","",""
"SAMITIER Sergio","85","0","0","","",""
"MACKELLAR Alastair","88","0","0","56","",""
"WANDAHL Frederik","94","0","0","62","",""
"THORNLEY Callum","150","0","0","118","",""
"ARCAS Jorge","150","0","0","","",""
"VAN BEKKUM Darren","296","0","0","264","",""
"MARTINEZ Juan Guillermo","341","0","0","309","",""
"GLOAG Thomas","341","0","0","309","",""
"NORDHAGEN Jørgen","341","0","0","309","",""
"WIDAR Jarno","341","0","0","309","",""
"BRENNER Marco","341","0","0","309","",""
"LEKNESSUND Andreas","341","0","0","","",""
"COVI Alessandro","372","0","0","","",""
"HELLEMOSE Asbjørn","372","0","0","","",""
"MONIQUET Sylvain","385","0","0","","",""
"ALMEIDA João","392","0","0","","",""
"NOVAK Domen","392","0","0","","",""
"DE LA CRUZ David","392","0","0","","",""
"ROMEO Iván","671","0","0","639","",""
"CASTRILLO Pablo","671","0","0","639","",""
"NYS Thibau","1896","0","0","1864","",""
"DOUBLE Paul","1896","0","0","","",""
"ROOSEN Timo","","0","0","","","DNF"
