renner,general,points,mountain,youth,winner,dnf
Campenaerts Victor,1429,2,,,,
Asgreen Kasper,1429,,,,,
Baudin Alex,1429,,,6301,,
Walker Max,1429,,,10514,,
Izagirre Ion,1429,,,,,
van Baarle Dylan,1429,,,,,
Plapp Luke,1429,,,,,
Vinokurov Nicolas,1429,,,11022,,
Skujiņš Toms,1429,,,,,
Wright Fred,1429,,,,,
Vacek Mathias,1429,6,,5600,,
Alaphilippe Julian,1429,,,,,
Pedersen Mads,1429,20,,,,
van Dijke Tim,1429,,,,,
Haller Marco,1429,,,,,
Affini Edoardo,1429,,,,,
Marsman Tim,1429,7,,,,
Bittner Pavel,1429,,,12647,,
Germani Lorenzo,1429,,,8947,,
Hessmann Michel,1429,,,10768,,
Zimmermann Georg,1429,,,,,
Le Berre Mathis,1429,,,9793,,
Pluimers Rick,1429,,,,,
Hagenes Per Strand,1429,,,10616,,
Breuillard Nicolas,1429,,,,,
Gate Aaron,1429,,,,,
Dhondt Robbe,1429,,,11849,,
Parra José Félix,1429,,,,,
van der Poel Mathieu,1429,,,,,
Märkl Niklas,1429,,,,,
van den Broek Frank,1429,,,,,
Castrillo Pablo,1429,,,3653,,
Cepeda Jefferson Alveiro,1429,,,,,
Vermeersch Florian,1429,,,,,
Durbridge Luke,1429,,,,,
Rickaert Jonas,1429,,,,,
Barguil Warren,1429,,,,,
Tarling Joshua,1429,,,12801,,
Veistroffer Baptiste,1429,,,,,
Ackermann Pascal,1429,,,,,
Kanter Max,1429,16,,,,
Ballerini Davide,1429,,,,,
Tejada Harold,1429,,,,,
Nicolau Joel,1429,,,,,
Oldani Stefano,1429,,,,,
Godon Dorian,1429,,,,,
Artz Huub,1429,,,12323,,
Bauhaus Phil,1429,,,,,
van den Berg Julius,1429,,,,,
Degenkolb John,1429,,,,,
Cort Magnus,1429,,,,,
Teunissen Mike,1429,8,,,,
Eenkhoorn Pascal,1429,,,,,
Philipsen Jasper,1429,25,,,,
Neilands Krists,1429,,,,,
Dillier Silvan,1429,,,,,
Louvel Matis,1429,,,,,
Stewart Jake,1429,12,,,,
Turgis Anthony,1429,,,,,
Wærenskjold Søren,1429,,,,,
Kirsch Alex,1429,,,,,
Gradek Kamil,1429,,,,,
Kooij Olav,1429,,,13703,,
Hoole Daan,1429,,,,,
Merlier Tim,1429,,,,,
Biermans Jenthe,1429,,,,,
Fretin Milan,1429,,,13403,,
Allegaert Piet,1429,,,,,
Planckaert Edward,1429,10,,,,
Girmay Biniam,1429,14,,,,
Otruba Jakub,1429,,,,,
Page Hugo,1429,,,11715,,
Askey Lewis,1429,5,,13714,,
Thomas Benjamin,1429,,,,,
van Asbroeck Tom,1429,,,,,
Bennett George,1429,,,,,
Delbove Joris,1429,,,,,
Costiou Ewen,1429,,,9517,,
Bol Cees,1429,,,,,
Vercher Mattéo,1429,,,8861,,
Charmig Anthon,,,,,,1
Debruyne Ramses,,,,,,1
