renner,general,points,mountain,youth,winner,dnf
Pogačar Tadej,0,20,10,,1,
del Toro Isaac,38,17,4,31,,
Seixas Paul,38,15,6,0,,
Vingegaard Jonas,44,13,8,,,
Evenepoel Remco,48,11,2,,,
Lipowitz Florian,50,9,,,,
Ayuso Juan,50,10,1,3,,
Carapaz Richard,78,8,19,,,
Johannessen Tobias Halland,100,7,12,,,
Skjelmose Mattias,100,6,,,,
Martinez Lenny,101,5,,186,,
van Wilder Ilan,210,4,,,,
Voisard Yannis,210,3,,,,
Bernal Egan,210,2,,,,
Yates Adam,210,,,,,
Gee-west Derek,210,1,,,,
Kuss Sepp,210,,,,,
Pidcock Tom,214,,,,,
Jegat Jordan,327,,,,,
Piganzoli Davide,327,,,836,,
Rubio Einer,327,,5,,,
Prodhomme Nicolas,591,,,,,
Hindley Jai,615,,,,,
Simmons Quinn,707,9,,4806,,
Paret-peintre Valentin,721,,25,5594,,
O'connor Ben,785,,,,,
Riccitello Matthew,785,,,6454,,
Schmid Mauro,785,,,,,
van Gils Maxim,785,,,,,
Benoot Tiesj,1025,,,,,
Mcnulty Brandon,1027,,,,,
Cattaneo Mattia,1054,,,,,
Verona Carlos,1054,,,,,
Jorgenson Matteo,1054,,,,,
Foss Tobias,1054,,,,,
Meurisse Xandro,1133,,,,,
Großschartner Felix,1186,,,,,
Johannessen Anders Halland,1206,3,3,,,
Healy Ben,1273,,8,,,
Arensman Thymen,1273,,,,,
van Eetvelt Lennert,1401,,,4005,,
Armirail Bruno,1401,4,,,,
Paret-peintre Aurélien,1401,,,,,
Vervaeke Louis,1401,,,,,
Wellens Tim,1429,,,,,
Delettre Alexandre,1429,,,,,
Tiberi Antonio,1429,,,6279,,
Caruso Damiano,1429,,,,,
Tratnik Jan,1429,,,,,
Storer Michael,1429,,,,,
Hirschi Marc,1429,,,,,
Valgren Michael,1429,,,,,
Quinn Sean,1429,,,,,
Skaarseth Anders,1429,,,,,
Higuita Sergio,1429,,,,,
Vauquelin Kévin,1429,,1,4549,,
Hermans Quinten,1429,,,,,
Abrahamsen Jonas,1429,,,,,
Pacher Quentin,1429,,,,,
Engelhardt Felix,1429,,,,,
Steinhauser Georg,1429,,,11612,,
García Pierna Raúl,1429,,,5853,,
Romo Javier,1429,,,,,
Martin Guillaume,1429,,,,,
Verstrynge Emiel,1429,,,10247,,
Grégoire Romain,1429,,,7182,,
Braz Afonso Clément,1429,,,,,
Craps Lars,1429,,,7250,,
van Mechelen Vlad,1429,,,9018,,
Matthews Michael,1429,,,,,
Russo Clément,1429,,,,,
Politt Nils,1429,,,,,
van Moer Brent,1429,,,,,
Stuyven Jasper,1429,,,,,
Slock Liam,1429,,,,,
Berwick Sebastian,1429,,,,,
Mohorič Matej,1429,,,,,
Velasco Simone,1429,,,,,
Azparren Xabier Mikel,1429,,,,,
Howson Damien,1429,,,,,
Balderstone Abel,1429,,,,,
Frigo Marco,1429,,,,,
Guernalec Thibault,1429,,,,,
Stannard Robert,1429,,,,,
Denz Nico,1429,1,,,,
Kwiatkowski Michał,1429,,,,,
Aranburu Alex,1429,,,,,
Ganna Filippo,1429,,,,,
Oliveira Nelson,1429,,,,,
