"renner","general","points","mountain","youth","winner","withdrawn"
"VAN AERT Wout","0","30","10","","1",""
"PARET-PEINTRE Valentin","0","25","","0","",""
"BRENNAN Matthew","24","42","","24","",""
"WIDAR Jarno","24","19","","24","",""
"ALBANESE Vincenzo","24","17","5","","",""
"FISHER-BLACK Finn","24","15","","24","",""
"VERMAERKE Kevin","24","13","5","","",""
"BISIAUX Léo","28","11","1","28","",""
"ZANA Filippo","32","7","","","",""
"DALBY Simon","45","9","","45","",""
"HERRADA Jesús","45","6","","","",""
"KRON Andreas","45","5","4","","",""
"SAMITIER Sergio","45","4","","","",""
"LEEMREIZE Gijs","45","3","","","",""
"COBO Iván","45","2","","","",""
"MONIQUET Sylvain","45","","","","",""
"RODRÍGUEZ Cristián","45","17","1","","",""
"WARBASSE Larry","45","","","","",""
"BERTHET Clément","45","","","","",""
"CRAPS Lars","45","10","","45","",""
"DUNBAR Eddie","45","","","","",""
"MARTIN Guillaume","50","13","3","","",""
"THOMPSON Reuben","50","","","50","",""
"SKJELMOSE Mattias","50","","","","",""
"APARICIO Mario","50","","","","",""
"RICCITELLO Matthew","50","","","50","",""
"BUITRAGO Santiago","50","","6","","",""
"HIRT Jan","50","","","","",""
"LEKNESSUND Andreas","50","15","","","",""
"BERRADE Urko","50","","","","",""
"FORTUNATO Lorenzo","78","","4","","",""
"MOLARD Rudy","87","","","","",""
"BILBAO Pello","113","","","","",""
"GARCÍA PIERNA Raúl","180","","","180","",""
"HAIG Jack","180","","","","",""
"ONLEY Oscar","180","","","180","",""
"SVESTAD-BÅRDSENG Embret","180","","","180","",""
"MAS Enric","180","","","","",""
"MOSCON Gianni","180","","","","",""
"ROGLIČ Primož","180","","","","",""
"GALL Felix","180","","","","",""
"SCOTSON Callum","180","","","","",""
"CARAPAZ Richard","180","","","","",""
"OMRZEL Jakob","180","","","180","",""
"VALTER Attila","180","","","","",""
"TEJADA Harold","180","","","","",""
"KUSS Sepp","180","","","","",""
"RODRIGUEZ Juan Felipe","180","","","180","",""
"BUCHMANN Emanuel","209","","","","",""
"WEISS Fabian","209","","","209","",""
"KRUIJSWIJK Steven","209","","","","",""
"WILKSCH Hannes","209","","","209","",""
"MULUBRHAN Henok","209","","","","",""
"PAASSCHENS Mathijs","209","","","","",""
"HOFSTETTER Hugo","209","","","","",""
"ALLENO Clément","209","","","","",""
"TRONCHON Bastien","209","","","209","",""
"MOSCA Jacopo","209","","","","",""
"OURSELIN Paul","209","","","","",""
"BRENNER Marco","209","","","209","",""
"MADOUAS Valentin","209","","","","",""
"RUIZ Ibon","209","","","","",""
"PALENI Enzo","209","","","209","",""
"PICKERING Finlay","209","","","209","",""
"FAURA José Luis","209","","","","",""
"PORTER Rudy","209","","","","",""
"LANDA Mikel","209","","","","",""
"BOUWMAN Koen","209","","","","",""
"TJØTTA Martin","209","","","209","",""
"ARMIRAIL Bruno","209","","","","",""
"KONRAD Patrick","209","","","","",""
"ERMAKOV Roman","209","","","209","",""
"DE PESTEL Sander","209","","","","",""
"VANSEVENANT Mauri","209","","","","",""
"BERNARD Julien","209","","","","",""
"GOGL Michael","209","","","","",""
"MIQUEL Pau","228","","","","",""
"ALMEIDA João","248","","","","",""
"LABROSSE Jordan","273","","","273","",""
"TUCKWELL Luke","273","","","273","",""
"LAURANCE Axel","273","","","273","",""
"JOHANNESSEN Tobias Halland","276","","","","",""
"KÜNG Stefan","276","","","","",""
"CALZONI Walter","282","","","282","",""
"ROMELE Alessandro","282","","","282","",""
"ROMEO Iván","300","","","300","",""
"NORDHAGEN Jørgen","311","","","311","",""
"DÍAZ José Manuel","315","","","","",""
"SHAW James","405","","","","",""
"HAMILTON Lucas","481","","","","",""
"CHAMBERLAIN Oscar","481","","","481","",""
"CORT Magnus","580","","","","",""
"RODRÍGUEZ Carlos","625","","","625","",""
"SÜTTERLIN Jasha","922","","","","",""
"THALMANN Roland","922","","","","",""
"DE SCHUYTENEER Steffen","922","","","922","",""
"GAROFOLI Gianmarco","922","","","922","",""
"ROTA Lorenzo","922","","","","",""
"GLIVAR Gal","922","","","922","",""
"NOVAK Domen","922","","","","",""
"VERMEERSCH Gianni","922","","","","",""
"VAN BEKKUM Darren","922","","","922","",""
"HELLEMOSE Asbjørn","922","","","","",""
"WANDAHL Frederik","922","","","922","",""
"DVERSNES LAVIK Fredrik","922","","","","",""
"COVI Alessandro","922","","","","",""
"KÄMNA Lennard","922","","","","",""
"FERNÁNDEZ Sinuhé","922","","","","",""
"VADER Milan","922","","","","",""
"ELOSEGUI Iñigo","922","","","","",""
"THORNLEY Callum","922","","","922","",""
"TILLER Rasmus","922","","","","",""
"VAN DEN BOSSCHE Fabio","922","","","","",""
"NYS Thibau","922","","","922","",""
"DEBRUYNE Ramses","922","","","922","",""
"DAINESE Alberto","922","","","","",""
"WENZEL Mats","922","","","922","",""
"MACÍAS César","922","","","922","",""
"ROCHAS Rémy","922","","","","",""
"LE GAC Olivier","922","","","","",""
"HAMILTON Chris","922","","","","",""
"BRUSTENGA Marc","922","","","","",""
"SOSA Iván Ramiro","922","","","","",""
"BARTA Will","922","","","","",""
"COQUARD Bryan","922","","","","",""
"CANAL Carlos","922","","","922","",""
"FEDOROV Yevgeniy","922","","","","",""
"CASTRILLO Pablo","922","","","922","",""
"ARCAS Jorge","922","","","","",""
"CAMPRUBÍ Marcel","922","","","922","",""
"ROULAND Louis","922","","","922","",""
"DE LA CRUZ David","922","","2","","",""
"GLOAG Thomas","922","","","922","",""
"DE JONG Timo","922","","","","",""
"AZPARREN Xabier Mikel","922","","","","",""
"RAFFERTY Darren","922","","","922","",""
"DOUBLE Paul","922","","","","",""
"HOULE Hugo","922","","","","",""
"BRAET Vito","922","","","","",""
"SCHULTZ Nick","922","","","","",""
"MACKELLAR Alastair","922","","","922","",""
"MARTÍ Pau","922","","","922","",""
"RENARD Alexis","922","","","","",""
"OLIVEIRA Ivo","922","","","","",""
"MARTINEZ Juan Guillermo","922","","","922","",""
"GOVEKAR Matevž","1589","","","","",""
"STEINHAUSER Georg","1721","","","1721","",""
"AULAR Orluis","1721","","","","",""
"HAYTER Ethan","2205","","","","",""
"PEACE Oliver","2205","","","2205","",""
"ROOSEN Timo","2205","","","","",""
"LAPORTE Christophe","2205","","","","",""
"SUNEKÆR NORSGAARD Mathias","2205","","","","",""
"MEEUS Jordi","2205","","","","",""
"KRETSCHY Moritz","2205","","","2205","",""
"MÜHLBERGER Gregor","","","","","","DNF"
"BUSATTO Francesco","","","","","","DNF"
"SENTJENS Sente","","","","","","DNF"
"SIVAKOV Pavel","","","","","","DNF"
"LUTSENKO Alexey","","","","","","DNS"
