renner,general,points,mountain,youth,winner
Merlier Tim,0,79,,,1
Wærenskjold Søren,906,50,,,
Girmay Biniam,0,54,,,
Kanter Max,0,47,,,
Philipsen Jasper,0,40,,,
Bauhaus Phil,0,26,,,
Artz Huub,929,24,,0,
Pedersen Mads,0,36,,,
Godon Dorian,0,22,,,
van Asbroeck Tom,0,25,,,
Bittner Pavel,0,16,,0,
Ackermann Pascal,169,14,,,
Fretin Milan,0,12,,0,
Gaviria Fernando,0,10,,,
Russo Clément,0,6,,,
Turgis Anthony,0,16,,,
Berckmoes Jenno,0,4,,0,
Pluimers Rick,0,2,,,
Wright Fred,860,,,,
Gate Aaron,0,3,,,
Abrahamsen Jonas,0,,,,
Teunissen Mike,0,4,,,
Kooij Olav,1088,,,0,
Stannard Robert,0,,,,
van der Poel Mathieu,0,2,,,
Pidcock Tom,0,,,,
Tejada Harold,0,,,,
Vinokurov Nicolas,0,,,0,
van Moer Brent,0,,,,
Charmig Anthon,0,,,,
Biermans Jenthe,0,,,,
Skujiņš Toms,0,,,,
van den Berg Julius,0,,,,
Benoot Tiesj,0,,,,
Vacek Mathias,0,,,0,
Asgreen Kasper,0,,,,
Prodhomme Nicolas,0,,,,
Oliveira Nelson,0,,,,
Mohorič Matej,0,,,,
Stuyven Jasper,0,,,,
Seixas Paul,0,,,0,
van Gils Maxim,0,,,,
Skaarseth Anders,0,,,,
van Dijke Tim,0,,,,
Voisard Yannis,0,,,,
Ballerini Davide,944,,,,
Tiberi Antonio,0,,,0,
Lipowitz Florian,0,,,,
Politt Nils,0,,,,
Mcnulty Brandon,0,,,,
Yates Adam,0,,,,
Evenepoel Remco,0,,,,
Zimmermann Georg,0,,,,
Craps Lars,0,,,0,
Delbove Joris,0,,,,
Pogačar Tadej,0,,,,
del Toro Isaac,0,,,0,
Affini Edoardo,1007,,,,
Vingegaard Jonas,0,,,,
Jegat Jordan,0,,,,
Hagenes Per Strand,902,,,0,
Ayuso Juan,0,,,0,
Skjelmose Mattias,0,,,,
Vermeersch Florian,0,,,,
Meurisse Xandro,0,,,,
Bernal Egan,0,,,,
van Wilder Ilan,0,,,,
Vauquelin Kévin,0,,,0,
Castrillo Pablo,0,,,0,
Martin Guillaume,0,,,,
Hindley Jai,0,,,,
Großschartner Felix,0,,,,
Wellens Tim,0,,,,
Stewart Jake,0,5,,,
Jorgenson Matteo,0,,,,
Piganzoli Davide,0,,,0,
Campenaerts Victor,0,,,,
Märkl Niklas,0,,,,
Germani Lorenzo,0,,,0,
Pacher Quentin,0,,,,
Hermans Quinten,0,,,,
Kuss Sepp,0,,,,
van Eetvelt Lennert,0,,,0,
Johannessen Tobias Halland,0,,,,
Debruyne Ramses,0,,,0,
Cort Magnus,0,,,,
Gee-west Derek,0,,,,
Romo Javier,0,,,,
Cattaneo Mattia,0,,,,
Martinez Lenny,0,,,0,
Quinn Sean,0,,,,
García Pierna Raúl,0,,,0,
Vercher Mattéo,0,,,0,
Parra José Félix,0,,,,
Denz Nico,0,,,,
Bol Cees,1088,,,,
Le Berre Mathis,0,,,0,
Planckaert Edward,0,,,,
Kwiatkowski Michał,0,,,,
Rickaert Jonas,0,,,,
Trentin Matteo,929,,,,
Howson Damien,29,,,,
Oldani Stefano,29,,,,
Biesterbos Frits,37,,,37,
Braz Afonso Clément,46,,,,
Delettre Alexandre,46,,,,
Vervaeke Louis,46,,,,
Verona Carlos,63,,,,
van den Broek Frank,169,,,,
Costiou Ewen,73,,,73,
Kirsch Alex,73,,,,
Marsman Tim,73,,,,
Allegaert Piet,169,,,,
Alaphilippe Julian,73,,,,
Engelhardt Felix,83,,,,
O'connor Ben,83,,,,
Barguil Warren,83,,,,
Guernalec Thibault,83,,,,
Degenkolb John,83,,,,
Caruso Damiano,83,,,,
Slock Liam,993,,,,
Foss Tobias,97,,,,
Page Hugo,104,,,104,
Armirail Bruno,118,,,,
Arensman Thymen,118,,,,
Veistroffer Baptiste,1105,25,1,,
Balderstone Abel,125,,,,
Grégoire Romain,125,,,125,
Velasco Simone,169,,,,
Johannessen Anders Halland,125,,,,
Steinhauser Georg,125,,,125,
Schmid Mauro,125,1,,,
Rubio Einer,125,,,,
Riccitello Matthew,125,,,125,
Higuita Sergio,125,,,,
Bennett George,125,,,,
Hoole Daan,125,,,,
Matthews Michael,138,6,,,
Tarling Joshua,138,,,138,
Simmons Quinn,138,,,138,
Baudin Alex,159,,,159,
Neilands Krists,159,,,,
Valgren Michael,159,,,,
Haller Marco,968,,,,
van Baarle Dylan,163,,,,
Eenkhoorn Pascal,163,,,,
Hirschi Marc,163,,,,
Walker Max,163,,,163,
Paret-peintre Aurélien,163,,,,
Dillier Silvan,163,,,,
van Mechelen Vlad,860,,,169,
Plapp Luke,169,,,,
Durbridge Luke,169,,,,
Tratnik Jan,169,,,,
Berwick Sebastian,169,,,,
Carapaz Richard,169,,,,
Cepeda Jefferson Alveiro,169,,,,
Breuillard Nicolas,169,,,,
Paret-peintre Valentin,169,,,169,
Gradek Kamil,169,,,,
Molenaar Alex,169,,,,
Ganna Filippo,883,,,,
van Lerberghe Bert,891,,,,
O'Brien Kelland,1069,,,,
De Lie Arnaud,1105,,,,
Otruba Jakub,,20,,,
Dhondt Robbe,,,,169,
Hessmann Michel,,,,200,
Verstrynge Emiel,,,,200,
Askey Lewis,,,,210,
