renner,general,points,mountain,youth,winner,withdrawn
"BRENNAN Matthew",0,30,,0,1,
"MIQUEL Pau",0,25,,,,
"POGAČAR Tadej",0,22,,,,
"PEDERSEN Mads",0,17,,,,
"HOFSTETTER Hugo",0,19,,,,
"JOHANNESSEN Tobias Halland",0,15,,,,
"FISHER-BLACK Finn",0,13,,0,,
"ONLEY Oscar",0,9,,0,,
"LAURANCE Axel",0,11,,0,,
"AULAR Orluis",0,7,,,,
"TULETT Ben",0,6,,0,,
"BISIAUX Léo",0,5,,0,,
"BRAET Vito",0,4,,,,
"GONZÁLEZ David",0,3,,,,
"COQUARD Bryan",0,17,,,,
"VADER Milan",0,,,,,
"VAN DEN BOSSCHE Fabio",0,,,,,
"DEBRUYNE Ramses",0,,,0,,
"BRENNER Marco",0,,,0,,
"TEJADA Harold",0,,,,,
"CANAL Carlos",0,,,0,,
"VAN AERT Wout",0,17,,,,
"TORRES Pablo",0,,,0,,
"TRONCHON Bastien",0,,,0,,
"CARAPAZ Richard",0,,,,,
"MAS Enric",0,,,,,
"COVI Alessandro",0,,,,,
"BUITRAGO Santiago",0,,,,,
"KÜNG Stefan",0,,,,,
"ROGLIČ Primož",0,,,,,
"KRON Andreas",0,,,,,
"LEEMREIZE Gijs",0,,,,,
"SKJELMOSE Mattias",0,,,,,
"LABROSSE Jordan",0,,,0,,
"KUSS Sepp",0,,,,,
"BERTHET Clément",0,,,,,
"VINE Jay",0,,,,,
"ALLENO Clément",0,,,,,
"MARTIN Guillaume",0,,,,,
"BARTA Will",0,,,,,
"RODRÍGUEZ Carlos",0,,,0,,
"VAN BOVEN Luca",18,,,,,
"RENARD-HAQUIN Henri-François",18,,,18,,
"LANGELLOTTI Victor",18,,,,,
"RICCITELLO Matthew",18,,,18,,
"TUCKWELL Luke",18,,,18,,
"NORDHAGEN Jørgen",18,,,18,,
"DE LA CRUZ David",18,,,,,
"GLOAG Thomas",18,,,18,,
"PALENI Enzo",18,,,18,,
"GAROFOLI Gianmarco",18,,,18,,
"ZANA Filippo",18,,,,,
"ROCHAS Rémy",18,,,,,
"DVERSNES LAVIK Fredrik",18,,,,,
"CALZONI Walter",18,,,18,,
"CRAPS Lars",18,,,18,,
"LAPORTE Christophe",18,13,,,,
"APARICIO Mario",18,,,,,
"ALMEIDA João",18,,,,,
"PORTER Rudy",18,,,,,
