renner,general,points,mountain,youth,winner,withdrawn
"RODRIGUEZ Juan Felipe",18,,,18,,
"RODRÍGUEZ Cristián",18,,,,,
"MÜHLBERGER Gregor",18,,,,,
"MACÍAS César",18,,,18,,
"BERRADE Urko",18,,,,,
"GALL Felix",18,,,,,
"OMRZEL Jakob",18,,,18,,
"WIDAR Jarno",18,,,18,,
"BUSATTO Francesco",18,,,18,,
"HAIG Jack",18,,,,,
"BENNETT George",18,,,,,
"VANSEVENANT Mauri",18,,,,,
"MOLARD Rudy",18,,,,,
"DOUBLE Paul",18,,,,,
"ROMEO Iván",18,,,18,,
"DALBY Simon",18,,,18,,
"UIJTDEBROEKS Cian",18,,,18,,
"SIVAKOV Pavel",18,,,,,
"DAINESE Alberto",31,,,,,
"HAYTER Ethan",31,20,1,,,
"FORTUNATO Lorenzo",31,,,,,
"BUCHMANN Emanuel",31,,,,,
"MONIQUET Sylvain",31,,,,,
"DUNBAR Eddie",31,,,,,
"MADOUAS Valentin",31,,,,,
"SOSA Iván Ramiro",31,,,,,
"PICKERING Finlay",31,,,31,,
"RUIZ Ibon",31,,,,,
"WENZEL Mats",41,,,41,,
"TILLER Rasmus",41,,,,,
"MULUBRHAN Henok",47,,,,,
"NYS Thibau",56,,,56,,
"ROMELE Alessandro",56,,,56,,
"FAURA José Luis",56,,,,,
"WARBASSE Larry",56,,,,,
"ROTA Lorenzo",56,,,,,
"BERNARD Julien",56,,,,,
"LEKNESSUND Andreas",56,,,,,
"RENARD Alexis",76,,,,,
"ALBANESE Vincenzo",76,,,,,
"GOVEKAR Matevž",93,,,,,
"VERMEERSCH Gianni",93,,,,,
"CAMPRUBÍ Marcel",93,,,93,,
"SVESTAD-BÅRDSENG Embret",101,,,101,,
"VERMAERKE Kevin",101,,,,,
"VAN TRICHT Floris",101,,,101,,
"GLIVAR Gal",101,,,101,,
"WEISS Fabian",101,,,101,,
"ERMAKOV Roman",101,,,101,,
"BILBAO Pello",101,,,,,
"WILKSCH Hannes",101,,,101,,
"SÜTTERLIN Jasha",101,,,,,
"TURNER Ben",101,,,,,
"DE PESTEL Sander",101,,,,,
"LE GAC Olivier",101,,,,,
"OLIVEIRA Ivo",101,,,,,
"SAMITIER Sergio",101,,,,,
"OURSELIN Paul",101,,,,,
"CASTRILLO Pablo",101,,,101,,
"MARTINEZ Juan Guillermo",101,,,101,,
"CHAMBERLAIN Oscar",101,,,101,,
"GROVES Kaden",101,,,,,
"DE VYLDER Lindsay",101,,,,,
"GAFFURI Mattia",101,,,,,
"TARLING Joshua",101,10,,101,,
"FEDOROV Yevgeniy",101,,,,,
"SHAW James",101,,,,,
"BRUSTENGA Marc",101,,,,,
"MEEUS Jordi",101,,,,,
"HIRT Jan",101,,,,,
"BELOKI Markel",101,,,101,,
"SCOTSON Callum",101,,,,,
"LANDA Mikel",101,,,,,
"GOGL Michael",101,,,,,
"THALMANN Roland",101,,,,,
"ROOSEN Timo",110,,,,,
"VALTER Attila",131,,,,,
"DE JONG Timo",131,,,,,
"DE SCHUYTENEER Steffen",150,,,150,,
"HERRADA Jesús",150,,,,,
"MOSCA Jacopo",150,,,,,
"ARCAS Jorge",150,,,,,
"KRETSCHY Moritz",150,,,150,,
"SCHULTZ Nick",150,,,,,
"THOMPSON Reuben",150,,,150,,
"KÄMNA Lennard",150,,,,,
"WANDAHL Frederik",150,,,150,,
"AZPARREN Xabier Mikel",150,,,,,
"GARCÍA PIERNA Raúl",150,,,150,,
"MARTÍ Pau",150,,,150,,
"ELOSEGUI Iñigo",150,,,,,
"ROULAND Louis",150,,,150,,
"SUNEKÆR NORSGAARD Mathias",150,,,,,
"ARMIRAIL Bruno",182,,,,,
"TJØTTA Martin",182,,,182,,
"HAMILTON Lucas",192,,,,,
"STEINHAUSER Georg",197,,,197,,
"VAN SINTMAARTENSDIJK Roel",207,,,207,,
"KRUIJSWIJK Steven",207,,,,,
"BOUWMAN Koen",207,,6,,,
"KONRAD Patrick",207,,,,,
"HELLEMOSE Asbjørn",207,,,,,
"RAFFERTY Darren",207,,,207,,
"PAASSCHENS Mathijs",207,,,,,
"MOSCON Gianni",207,,,,,
"FERNÁNDEZ Sinuhé",207,,1,,,
"THORNLEY Callum",207,,,207,,
"HOULE Hugo",236,,,,,
"MACKELLAR Alastair",251,,,251,,
"PARET-PEINTRE Valentin",271,,,271,,
"CORT Magnus",300,,,,,
"URIARTE Diego",300,,4,300,,
"KLUCKERS Arthur",300,,,,,
"NOVAK Domen",367,,,,,
"MCKENZIE Hamish",614,,,614,,
"HAMILTON Chris",614,,,,,
"PEACE Oliver",614,,,614,,
"DÍAZ José Manuel",614,,,,,
"VAN BEKKUM Darren",614,,,614,,
"LUTSENKO Alexey",614,,,,,
"COBO Iván",732,,,,,
"KIRSCH Alex",975,,,,,
"SENTJENS Sente",975,,,975,,
"CHUMIL Sergio Geovani",,,,,,1
