"renner","general","points","mountain","youth","winner","withdrawn"
"BRENNER Marco","0","20","10","0","1",""
"BUITRAGO Santiago","1","17","11","","",""
"RODRÍGUEZ Cristián","11","15","7","","",""
"SOSA Iván Ramiro","14","13","2","","",""
"PARET-PEINTRE Valentin","22","11","1","22","",""
"BERTHET Clément","27","10","1","","",""
"NORDHAGEN Jørgen","39","9","","39","",""
"ZANA Filippo","43","8","","","",""
"CALZONI Walter","66","7","","66","",""
"ALMEIDA João","69","6","","","",""
"MARTIN Guillaume","103","5","","","",""
"BOUWMAN Koen","109","4","","","",""
"FORTUNATO Lorenzo","110","3","3","","",""
"APARICIO Mario","124","2","","","",""
"DÍAZ José Manuel","155","1","","","",""
"MARTÍ Pau","165","","","165","",""
"VADER Milan","199","","","","",""
"OLIVEIRA Ivo","218","","","","",""
"VERMAERKE Kevin","218","20","6","","",""
"THOMPSON Reuben","222","","","222","",""
"GALL Felix","252","","","","",""
"MAS Enric","252","","","","",""
"GARCÍA PIERNA Raúl","260","","","260","",""
"ROGLIČ Primož","277","","","","",""
"CARAPAZ Richard","283","","","","",""
"RAFFERTY Darren","296","","","296","",""
"KUSS Sepp","309","","","","",""
"SVESTAD-BÅRDSENG Embret","327","","","327","",""
"ONLEY Oscar","327","","","327","",""
"OMRZEL Jakob","327","","","327","",""
"TEJADA Harold","327","","","","",""
"BARTA Will","329","10","","","",""
"SKJELMOSE Mattias","329","","","","",""
"STEINHAUSER Georg","352","","","352","",""
"RICCITELLO Matthew","364","","","364","",""
"PICKERING Finlay","372","","","372","",""
"KONRAD Patrick","372","","","","",""
"OURSELIN Paul","415","","","","",""
"BISIAUX Léo","421","","","421","",""
"RODRIGUEZ Juan Felipe","482","","","482","",""
"HIRT Jan","482","","","","",""
"FERNÁNDEZ Sinuhé","510","","","","",""
"LEEMREIZE Gijs","576","","","","",""
"BUCHMANN Emanuel","636","","","","",""
"MULUBRHAN Henok","636","","","","",""
"DUNBAR Eddie","636","","","","",""
"ALLENO Clément","692","","","","",""
"HAIG Jack","723","","","","",""
"KRUIJSWIJK Steven","760","","","","",""
"CASTRILLO Pablo","844","","","844","",""
"WARBASSE Larry","863","","","","",""
"SCOTSON Callum","972","","","","",""
"BILBAO Pello","985","","","","",""
"BERNARD Julien","985","","","","",""
"WILKSCH Hannes","993","","","993","",""
"THALMANN Roland","993","","","","",""
"LANDA Mikel","1000","","","","",""
"SÜTTERLIN Jasha","1046","","","","",""
"SHAW James","1066","","","","",""
"WEISS Fabian","1129","","","1129","",""
"GAROFOLI Gianmarco","1129","","","1129","",""
"PALENI Enzo","1135","","","1135","",""
"RODRÍGUEZ Carlos","1194","","","1194","",""
"KÄMNA Lennard","1209","","","","",""
"MARTINEZ Juan Guillermo","1216","","","1216","",""
"FISHER-BLACK Finn","1223","","","1223","",""
"ARMIRAIL Bruno","1263","","","","",""
"ROMEO Iván","1285","","","1285","",""
"VERMEERSCH Gianni","1292","","","","",""
"HAMILTON Lucas","1351","","","","",""
"ROMELE Alessandro","1393","17","","1393","",""
"CRAPS Lars","1407","","","1407","",""
"WIDAR Jarno","1407","","","1407","",""
"NYS Thibau","1411","","","1411","",""
"MOLARD Rudy","1413","","","","",""
"PAASSCHENS Mathijs","1413","","","","",""
