"renner","general","points","mountain","youth","winner","withdrawn"
"VANSEVENANT Mauri","1413","","","","",""
"MADOUAS Valentin","1413","","","","",""
"KÜNG Stefan","1413","","","","",""
"BERRADE Urko","1413","","","","",""
"HERRADA Jesús","1423","","","","",""
"ALBANESE Vincenzo","1425","","","","",""
"MACKELLAR Alastair","1456","","","1456","",""
"CHAMBERLAIN Oscar","1456","","","1456","",""
"PORTER Rudy","1494","","","","",""
"HAMILTON Chris","1546","","","","",""
"ARCAS Jorge","1577","","","","",""
"DAINESE Alberto","1594","13","","","",""
"HOFSTETTER Hugo","1594","","","","",""
"FAURA José Luis","1594","","","","",""
"HELLEMOSE Asbjørn","1710","15","","","",""
"JOHANNESSEN Tobias Halland","1737","","","","",""
"WANDAHL Frederik","1737","","","1737","",""
"MOSCA Jacopo","1737","","","","",""
"MOSCON Gianni","1737","","","","",""
"DE PESTEL Sander","1807","","","","",""
"ROCHAS Rémy","1807","","","","",""
"GLIVAR Gal","1808","","","1808","",""
"TRONCHON Bastien","1808","","","1808","",""
"SAMITIER Sergio","1830","","","","",""
"CANAL Carlos","1845","","","1845","",""
"ROTA Lorenzo","1854","","","","",""
"LE GAC Olivier","1861","","","","",""
"RUIZ Ibon","1863","","","","",""
"LAURANCE Axel","1868","","","1868","",""
"WENZEL Mats","1868","","","1868","",""
"ERMAKOV Roman","1875","","","1875","",""
"DVERSNES LAVIK Fredrik","1905","","","","",""
"GLOAG Thomas","1940","","","1940","",""
"BRENNAN Matthew","1940","","","1940","",""
"MACÍAS César","1940","","","1940","",""
"DE SCHUYTENEER Steffen","1944","","","1944","",""
"KRON Andreas","1944","","","","",""
"CAMPRUBÍ Marcel","1944","","","1944","",""
"SCHULTZ Nick","1944","","","","",""
"ELOSEGUI Iñigo","1944","","","","",""
"TILLER Rasmus","1944","","","","",""
"CORT Magnus","1944","","","","",""
"TJØTTA Martin","1944","","","1944","",""
"MONIQUET Sylvain","1944","","","","",""
"COVI Alessandro","1944","","","","",""
"DALBY Simon","1944","","","1944","",""
"FEDOROV Yevgeniy","1944","","","","",""
"COBO Iván","1944","","","","",""
"MIQUEL Pau","1944","","","","",""
"BRAET Vito","1944","","","","",""
"VAN BEKKUM Darren","1944","","","1944","",""
"VALTER Attila","1944","","","","",""
"AULAR Orluis","1944","","","","",""
"DE JONG Timo","1944","","","","",""
"BRUSTENGA Marc","1944","","","","",""
"AZPARREN Xabier Mikel","1944","","","","",""
"DE LA CRUZ David","1944","","","","",""
"DOUBLE Paul","1953","","","","",""
"TUCKWELL Luke","1957","","","1957","",""
"VAN AERT Wout","1957","","","","",""
"GOGL Michael","1957","","","","",""
"DEBRUYNE Ramses","1957","","","1957","",""
"LEKNESSUND Andreas","1957","","","","",""
"RENARD Alexis","1957","","","","",""
"ROULAND Louis","1957","","","1957","",""
"GOVEKAR Matevž","1957","","","","",""
"MEEUS Jordi","1991","","","","",""
"COQUARD Bryan","2016","","","","",""
"HAYTER Ethan","2022","","","","",""
"THORNLEY Callum","2022","","","2022","",""
"VAN DEN BOSSCHE Fabio","2022","","","","",""
"NOVAK Domen","2022","","","","",""
"ROOSEN Timo","2124","","","","",""
"SUNEKÆR NORSGAARD Mathias","2446","","","","",""
"LABROSSE Jordan","","","","","","DNF"
"HOULE Hugo","","","","","","DNF"
"LAPORTE Christophe","","","","","","DNF"
"PEACE Oliver","","","","","","DNF"
"KRETSCHY Moritz","","","","","","DNS"
