renner,general,points,mountain,youth,winner
Schmid Mauro,0,50,8,,1
Tejada Harold,0,30,,,
Pidcock Tom,2,28,11,,
van Gils Maxim,2,18,6,,
Mcnulty Brandon,2,16,,,
Jegat Jordan,2,12,1,,
Vauquelin Kévin,2,14,2,0,
Braz Afonso Clément,2,10,,,
Wellens Tim,2,8,,,
Plapp Luke,11,13,4,,
García Pierna Raúl,57,6,,55,
Valgren Michael,59,5,,,
Matthews Michael,61,4,,,
Breuillard Nicolas,61,3,,,
Bennett George,61,,,,
Hirschi Marc,61,2,,,
Craps Lars,61,,,59,
Izagirre Ion,63,,,,
O'connor Ben,68,,,,
Cort Magnus,143,,,,
Aranburu Alex,143,,,,
Parra José Félix,143,,,,
Pluimers Rick,143,,,,
Verstrynge Emiel,145,,,143,
Dhondt Robbe,199,,,197,
Grégoire Romain,199,,,197,
Delbove Joris,199,,,,
Vinokurov Nicolas,354,,,352,
Vercher Mattéo,354,,,352,
Thomas Benjamin,354,,,,
Healy Ben,390,1,,,
Pacher Quentin,398,,,,
Simmons Quinn,452,,,450,
Evenepoel Remco,452,,,,
Hindley Jai,452,,,,
Lipowitz Florian,452,,,,
Yates Adam,452,,,,
Pogačar Tadej,452,,,,
del Toro Isaac,452,,,450,
Hagenes Per Strand,452,,,450,
Vingegaard Jonas,452,,,,
Campenaerts Victor,452,,,,
Piganzoli Davide,452,,,450,
Kuss Sepp,452,,,,
Gee-west Derek,452,,,,
Skjelmose Mattias,452,,,,
Ayuso Juan,452,,,450,
Verona Carlos,452,,,,
Benoot Tiesj,452,,,,
Prodhomme Nicolas,452,,,,
Seixas Paul,452,,,450,
Riccitello Matthew,452,,,450,
Foss Tobias,452,,,,
Arensman Thymen,452,,,,
Bernal Egan,452,,,,
Cattaneo Mattia,452,,,,
Johannessen Anders Halland,452,,,,
Johannessen Tobias Halland,452,,,,
Carapaz Richard,452,,,,
van Wilder Ilan,452,,,,
Quinn Sean,452,,,,
Mohorič Matej,452,,,,
Voisard Yannis,452,,,,
Martinez Lenny,452,,,450,
Meurisse Xandro,452,10,,,
Balderstone Abel,452,,,,
Debruyne Ramses,452,,,450,
Oliveira Nelson,452,7,,,
Martin Guillaume,452,,,,
van Mechelen Vlad,467,,,465,
van Dijke Tim,494,,,,
Asgreen Kasper,501,4,,,
Hermans Quinten,517,9,2,,
Oldani Stefano,548,5,,,
Paret-peintre Valentin,562,,,560,
Hessmann Michel,843,,,841,
Abrahamsen Jonas,843,,,,
Russo Clément,861,3,,,
Germani Lorenzo,861,,,859,
Planckaert Edward,938,14,,,
Girmay Biniam,1034,16,,,
Ballerini Davide,1034,2,,,
Higuita Sergio,1036,,,,
Caruso Damiano,1039,,,,
Steinhauser Georg,1039,,,1037,
Romo Javier,1039,,,,
Affini Edoardo,1039,,,,
Frigo Marco,1039,,,,
Tratnik Jan,1039,,,,
Howson Damien,1039,,,,
Wright Fred,1039,12,,,
Baudin Alex,1039,,,1037,
Jorgenson Matteo,1039,,,,
Tiberi Antonio,1039,,,1037,
Armirail Bruno,1039,,,,
Engelhardt Felix,1039,,,,
Delettre Alexandre,1039,,,,
Vervaeke Louis,1039,,,,
Otruba Jakub,1039,,,,
Bittner Pavel,1039,,,1037,
Walker Max,1039,,,1037,
Barguil Warren,1039,,,,
Märkl Niklas,1039,,,,
Politt Nils,1039,,,,
Ackermann Pascal,1039,,,,
Degenkolb John,1039,,,,
Eenkhoorn Pascal,1039,,,,
Costiou Ewen,1039,,,1037,
Paret-peintre Aurélien,1039,,,,
Hoole Daan,1039,,,,
Neilands Krists,1039,,,,
Slock Liam,1039,,,,
van Eetvelt Lennert,1039,,,1037,
Rubio Einer,1039,,,,
Guernalec Thibault,1039,,,,
Stuyven Jasper,1039,,,,
van Moer Brent,1039,,,,
Nicolau Joel,1039,,,,
van Asbroeck Tom,1039,,,,
Louvel Matis,1039,,,,
Velasco Simone,1039,,,,
Cepeda Jefferson Alveiro,1039,,,,
Zimmermann Georg,1039,,,,
Alaphilippe Julian,1039,,,,
Haller Marco,1039,,,,
Berwick Sebastian,1039,,,,
Azparren Xabier Mikel,1039,,,,
Castrillo Pablo,1039,,,1037,
Ganna Filippo,1039,,,,
Stewart Jake,1039,,,,
Durbridge Luke,1039,,,,
Rickaert Jonas,1039,,,,
Skujiņš Toms,1039,,,,
Dillier Silvan,1039,,,,
Großschartner Felix,1039,,,,
Vacek Mathias,1039,,,1037,
Denz Nico,1039,,,,
Pedersen Mads,1039,20,,,
Marsman Tim,1039,,,,
Philipsen Jasper,1039,25,,,
van der Poel Mathieu,1039,,,,
Storer Michael,1039,,,,
Allegaert Piet,1039,,,,
Page Hugo,1039,,,1037,
Skaarseth Anders,1039,,,,
Kwiatkowski Michał,1352,,,,
Vermeersch Florian,1352,,,,
Tarling Joshua,1352,,,1350,
Wærenskjold Søren,1352,,,,
van Baarle Dylan,1352,,,,
Gradek Kamil,1352,,,,
Stannard Robert,1352,,,,
Artz Huub,1352,,,1350,
Kanter Max,1352,,,,
Askey Lewis,1352,,,1350,
Charmig Anthon,1352,,,,
Teunissen Mike,1352,,,,
Gate Aaron,1352,,,,
Fretin Milan,1352,,,1350,
Bol Cees,1352,,,,
van den Berg Julius,1352,,,,
Le Berre Mathis,1352,,,1350,
Turgis Anthony,1352,,,,
Veistroffer Baptiste,1352,,,,
Kooij Olav,1352,,,1350,
van den Broek Frank,1352,,,,
Biermans Jenthe,1352,,,,
Merlier Tim,1352,,,,
Kirsch Alex,1352,,,,
Bauhaus Phil,1352,,,,
Godon Dorian,1352,,,,
