renner,general,points,mountain,youth,winner,withdrawn
"POGAČAR Tadej",0,40,23,,1,
"WIDAR Jarno",159,17,,0,,
"GALL Felix",159,15,5,,,
"ONLEY Oscar",159,13,4,0,,
"KUSS Sepp",159,11,6,,,
"MAS Enric",159,10,4,,,
"ROGLIČ Primož",159,9,,,,
"SKJELMOSE Mattias",177,7,,,,
"CARAPAZ Richard",197,8,6,,,
"MÜHLBERGER Gregor",197,21,,,,
"VINE Jay",217,5,,,,
"DEBRUYNE Ramses",237,21,,78,,
"TEJADA Harold",274,3,,,,
"TORRES Pablo",280,2,,121,,
"BERTHET Clément",314,,,,,
"BRENNER Marco",389,1,,230,,
"HIRT Jan",403,,,,,
"RUIZ Ibon",419,,,,,
"TULETT Ben",468,,1,309,,
"OMRZEL Jakob",479,,,320,,
"SVESTAD-BÅRDSENG Embret",483,13,4,324,,
"PICKERING Finlay",493,,,334,,
"MARTIN Guillaume",493,,,,,
"RODRÍGUEZ Cristián",493,,,,,
"NORDHAGEN Jørgen",493,,,334,,
"BISIAUX Léo",496,10,,337,,
"LANDA Mikel",496,,,,,
"RODRIGUEZ Juan Felipe",645,,,486,,
"RICCITELLO Matthew",645,,,486,,
"JOHANNESSEN Tobias Halland",775,,,,,
"BERRADE Urko",775,,,,,
"APARICIO Mario",822,,,,,
"DÍAZ José Manuel",822,,,,,
"BENNETT George",825,,,,,
"BUCHMANN Emanuel",825,,,,,
"THALMANN Roland",825,,,,,
"GLOAG Thomas",825,,,666,,
"BARTA Will",825,,,,,
"SIVAKOV Pavel",825,,,,,
"FORTUNATO Lorenzo",825,,10,,,
"ARMIRAIL Bruno",825,,,,,
"DUNBAR Eddie",825,,,,,
"GARCÍA PIERNA Raúl",825,,,666,,
"HAIG Jack",825,,,,,
"VALTER Attila",942,,,,,
"BILBAO Pello",943,,,,,
"ZANA Filippo",1027,,,,,
"SHAW James",1042,,,,,
"TUCKWELL Luke",1116,,,957,,
"SOSA Iván Ramiro",1184,,4,,,
"DALBY Simon",1290,,,1131,,
"VAN SINTMAARTENSDIJK Roel",1365,,,1206,,
"VAN BOVEN Luca",1365,,,,,
"WEISS Fabian",1365,,,1206,,
"AZPARREN Xabier Mikel",1365,,,,,
"ROCHAS Rémy",1365,,,,,
"MIQUEL Pau",1365,,,,,
"DVERSNES LAVIK Fredrik",1365,,,,,
"THOMPSON Reuben",1365,,,1206,,
"BRAET Vito",1365,,,,,
"MOSCA Jacopo",1365,,,,,
"VERMAERKE Kevin",1365,,,,,
"PORTER Rudy",1365,,,,,
"WILKSCH Hannes",1365,,,1206,,
"OURSELIN Paul",1365,,,,,
"ARCAS Jorge",1365,,,,,
"ELOSEGUI Iñigo",1365,,,,,
"BERNARD Julien",1365,,,,,
"MONIQUET Sylvain",1365,,,,,
"CANAL Carlos",1365,,,1206,,
"BUSATTO Francesco",1365,,,1206,,
"CRAPS Lars",1365,,,1206,,
"LABROSSE Jordan",1365,,,1206,,
"KRETSCHY Moritz",1365,,,1206,,
"VAN TRICHT Floris",1365,,,1206,,
"GLIVAR Gal",1365,,,1206,,
"BUITRAGO Santiago",1365,,,,,
"DAINESE Alberto",1365,,,,,
"VANSEVENANT Mauri",1365,,,,,
"MARTINEZ Juan Guillermo",1365,,,1206,,
"ALBANESE Vincenzo",1365,,,,,
"PALENI Enzo",1365,,,1206,,
"KRUIJSWIJK Steven",1365,,,,,
"TRONCHON Bastien",1365,,,1206,,
"KÜNG Stefan",1365,,,,,
"PAASSCHENS Mathijs",1365,,,,,
"MACKELLAR Alastair",1365,,,1206,,
"SAMITIER Sergio",1365,,,,,
"FAURA José Luis",1365,,,,,
"LUTSENKO Alexey",1365,,,,,
"FEDOROV Yevgeniy",1365,,,,,
"LEEMREIZE Gijs",1365,,,,,
"BOUWMAN Koen",1365,,,,,
"VADER Milan",1365,,,,,
"ALLENO Clément",1365,,,,,
"RAFFERTY Darren",1365,,,1206,,
"MARTÍ Pau",1365,,,1206,,
"SCHULTZ Nick",1365,,,,,
"HAMILTON Chris",1365,,,,,
"GOGL Michael",1365,,,,,
"KONRAD Patrick",1365,,,,,
"GAROFOLI Gianmarco",1365,,,1206,,
"WANDAHL Frederik",1365,,,1206,,
"PEACE Oliver",1365,,,1206,,
"HELLEMOSE Asbjørn",1365,,,,,
"FERNÁNDEZ Sinuhé",1365,,,,,
"VERMEERSCH Gianni",1365,,,,,
"VAN BEKKUM Darren",1365,,,1206,,
"RODRÍGUEZ Carlos",1365,,,1206,,
"ROMEO Iván",1365,,,1206,,
"AULAR Orluis",1365,,,,,
"COVI Alessandro",1365,,,,,
"MULUBRHAN Henok",1365,,,,,
"GAFFURI Mattia",1365,,,,,
"ALMEIDA João",1365,,,,,
"DE LA CRUZ David",1365,,,,,
"HERRADA Jesús",1365,,,,,
"MADOUAS Valentin",1365,,,,,
"BELOKI Markel",1365,,,1206,,
"CASTRILLO Pablo",1365,,2,1206,,
"LAURANCE Axel",1365,,,1206,,
"WARBASSE Larry",1365,,,,,
"KÄMNA Lennard",1365,,,,,
"DOUBLE Paul",1365,,6,,,
"HAMILTON Lucas",1365,,,,,
"ROTA Lorenzo",1365,,,,,
"CALZONI Walter",1365,,,1206,,
"LANGELLOTTI Victor",1365,,,,,
"GONZÁLEZ David",1365,,,,,
"HOFSTETTER Hugo",1365,,,,,
"DE JONG Timo",1380,,,,,
"SUNEKÆR NORSGAARD Mathias",1380,,,,,
"URIARTE Diego",1380,,,1221,,
"STEINHAUSER Georg",1380,,,1221,,
"HOULE Hugo",1380,,,,,
"MOLARD Rudy",1380,,,,,
"CAMPRUBÍ Marcel",1380,,,1221,,
"SCOTSON Callum",1380,,,,,
"NYS Thibau",1380,,,1221,,
"DE PESTEL Sander",1380,,,,,
