renner,general,points,mountain,youth,winner
Pogačar Tadej,0,20,25,,1
Vingegaard Jonas,158,17,18,,
del Toro Isaac,177,15,10,0,
Evenepoel Remco,177,13,5,,
Seixas Paul,177,11,12,0,
Ayuso Juan,177,9,,0,
Lipowitz Florian,177,10,10,,
Skjelmose Mattias,177,8,2,,
Martinez Lenny,182,7,16,5,
Kuss Sepp,186,6,,,
Bernal Egan,287,5,,,
Jegat Jordan,498,4,,,
Tejada Harold,498,3,,,
van Wilder Ilan,498,2,,,
Pidcock Tom,498,1,,,
Voisard Yannis,501,,,,
Yates Adam,501,,1,,
Johannessen Tobias Halland,501,,,,
van Eetvelt Lennert,501,,,324,
Mcnulty Brandon,501,,2,,
Piganzoli Davide,501,,,324,
Castrillo Pablo,503,,,326,
Carapaz Richard,531,,,,
Harper Chris,573,,,,
Vacek Mathias,663,,,486,
Debruyne Ramses,663,,,486,
Verona Carlos,946,,,,
Benoot Tiesj,1010,,,,
Arensman Thymen,1010,,,,
Prodhomme Nicolas,1010,,,,
Quinn Sean,1010,,,,
Hindley Jai,1118,,,,
Tiberi Antonio,1176,,,999,
Martin Guillaume,1257,,,,
Higuita Sergio,1259,,,,
Jorgenson Matteo,1259,,,,
O'connor Ben,1321,,2,,
Großschartner Felix,1321,,4,,
Hermans Quinten,1321,,,,
Foss Tobias,1321,,,,
Hirschi Marc,1321,,,,
Riccitello Matthew,1321,,,1383,
Parra José Félix,1321,,,,
Valgren Michael,1321,,,,
van Gils Maxim,1321,,,,
Caruso Damiano,1321,,,,
Cattaneo Mattia,1321,,,,
Izagirre Ion,1321,,,,
Wellens Tim,1321,2,6,,
Johannessen Anders Halland,1321,,,,
Træen Torstein,1321,,,,
Delbove Joris,1321,,,,
Paret-peintre Valentin,1321,,8,1383,
Cepeda Jefferson Alveiro,1321,,,,
Balderstone Abel,1321,,,,
Rubio Einer,1321,,,,
Politt Nils,1321,,,,
Berwick Sebastian,1321,,,,
Gee-west Derek,1321,,,,
Storer Michael,1321,,,,
Simmons Quinn,1321,8,,1383,
Meurisse Xandro,1321,,,,
Romo Javier,1321,,,,
Vauquelin Kévin,1321,,,1383,
