renner,general,points,mountain,youth,winner
García Pierna Raúl,1321,,,1383,
Skujiņš Toms,1321,,,,
Skaarseth Anders,1321,,,,
Baudin Alex,1321,,,1383,
Campenaerts Victor,1321,20,,,
Craps Lars,1321,,,1383,
Russo Clément,1321,,,,
Delettre Alexandre,1321,,,,
Le Berre Mathis,1321,,,1383,
Engelhardt Felix,1321,,,,
Howson Damien,1321,,,,
Asgreen Kasper,1321,,,,
Paret-peintre Aurélien,1321,,,,
Alaphilippe Julian,1321,5,,,
Kirsch Alex,1321,,,,
Vinokurov Nicolas,1321,,,1383,
Armirail Bruno,1321,,,,
Oliveira Nelson,1321,,,,
Vercher Mattéo,1321,,,1383,
van Baarle Dylan,1321,,,,
Vervaeke Louis,1321,,,,
van Moer Brent,1321,,,,
Stuyven Jasper,1321,,,,
Slock Liam,1321,,,,
Artz Huub,1321,,,1383,
Guernalec Thibault,1321,,,,
Barguil Warren,1321,,,,
Berckmoes Jenno,1321,,,1383,
Wright Fred,1321,,,,
Pacher Quentin,1321,,,,
Veistroffer Baptiste,1105,3,,,
Abrahamsen Jonas,1321,,,,
Godon Dorian,1321,,,,
Charmig Anthon,1321,,,,
van Mechelen Vlad,1321,,,1383,
Stannard Robert,1321,,,,
Trentin Matteo,1321,,,,
Mohorič Matej,1321,,,,
Denz Nico,1321,,,,
Germani Lorenzo,1321,,,1383,
van der Poel Mathieu,1321,,,,
Tratnik Jan,1321,,,,
Pluimers Rick,1321,,,,
van Dijke Tim,1321,,,,
Rickaert Jonas,1321,,,,
Wærenskjold Søren,1321,,,,
Hagenes Per Strand,1321,,,1383,
Bittner Pavel,1321,,,1383,
Vermeersch Florian,1321,,,,
Fretin Milan,1321,,,1383,
Frigo Marco,1321,,,,
Aranburu Alex,1321,,,,
van den Broek Frank,1321,,,,
Teunissen Mike,1321,,,,
Biermans Jenthe,1321,,,,
Velasco Simone,1321,,,,
van Asbroeck Tom,1321,,,,
Nicolau Joel,1321,,,,
Oldani Stefano,1321,,,,
Azparren Xabier Mikel,1321,,1,,
Matthews Michael,1321,4,,,
Bennett George,1321,,,,
Durbridge Luke,1321,,,,
Ganna Filippo,1321,,,,
Ackermann Pascal,1321,,,,
Neilands Krists,1321,,,,
Haller Marco,1321,,,,
Degenkolb John,1321,,,,
Biesterbos Frits,1321,,,1383,
Tarling Joshua,1321,,,1383,
Turgis Anthony,1321,9,,,
Stewart Jake,1321,10,,,
Breuillard Nicolas,1321,,,,
Cort Magnus,1321,1,,,
van den Berg Julius,1321,,,,
Verstrynge Emiel,1321,,,1383,
Affini Edoardo,1321,,,,
Steinhauser Georg,1321,,,1383,
Walker Max,1321,,,1383,
Healy Ben,1321,,,,
Gate Aaron,1321,6,,,
Kanter Max,1321,16,,,
Kwiatkowski Michał,1321,,,,
Schmid Mauro,1321,,,,
Plapp Luke,1321,,,,
Zimmermann Georg,1321,,,,
Gradek Kamil,1321,,,,
Dhondt Robbe,1321,,,1383,
Braz Afonso Clément,1321,,,,
Hessmann Michel,1321,,,1383,
Louvel Matis,1321,,,,
Page Hugo,1321,,,1383,
Grégoire Romain,1321,,,1383,
Costiou Ewen,1321,,,1383,
Ballerini Davide,1321,7,,,
Girmay Biniam,1321,12,,,
Planckaert Edward,1321,,,,
Thomas Benjamin,1321,,,,
Kooij Olav,1321,,,1383,
Bol Cees,1321,,,,
Hoole Daan,1321,,,,
Eenkhoorn Pascal,1321,,,,
Pedersen Mads,1321,25,1,,
Bauhaus Phil,1321,,,,
Märkl Niklas,1321,,,,
Otruba Jakub,1321,,,,
Gaviria Fernando,1321,,,,
Dillier Silvan,1321,,,,
Marsman Tim,1321,,,,
Allegaert Piet,1321,,,,
Philipsen Jasper,1321,14,,,
Merlier Tim,1321,,,,
Askey Lewis,1321,,,1383,
De Lie Arnaud,1105,,,,
