"renner","general","points","mountain","youth","winner","withdrawn"
"VAN AERT Wout","0","43","0","","1",""
"ROMELE Alessandro","0","40","0","0","",""
"NYS Thibau","0","22","0","0","",""
"DEBRUYNE Ramses","2","39","2","0","",""
"LEKNESSUND Andreas","2","34","4","","",""
"COVI Alessandro","58","15","0","","",""
"TRONCHON Bastien","58","13","0","56","",""
"MULUBRHAN Henok","58","11","0","","",""
"OLIVEIRA Ivo","58","7","0","","",""
"KÜNG Stefan","58","9","0","","",""
"FISHER-BLACK Finn","58","6","0","56","",""
"WENZEL Mats","58","5","0","56","",""
"DUNBAR Eddie","58","4","0","","",""
"COBO Iván","58","3","0","","",""
"JOHANNESSEN Tobias Halland","58","2","0","","",""
"BERRADE Urko","58","0","0","","",""
"LEEMREIZE Gijs","58","0","3","","",""
"VERMAERKE Kevin","63","0","0","","",""
"PALENI Enzo","65","0","0","63","",""
"CORT Magnus","107","0","0","","",""
"MIQUEL Pau","107","0","0","","",""
"VAN DEN BOSSCHE Fabio","107","0","0","","",""
"ROTA Lorenzo","107","0","0","","",""
"BRENNAN Matthew","107","0","0","105","",""
"BOUWMAN Koen","107","0","0","","",""
"KRON Andreas","125","0","0","","",""
"CANAL Carlos","164","0","0","162","",""
"GARCÍA PIERNA Raúl","164","0","0","162","",""
"MAS Enric","164","0","0","","",""
"ROMEO Iván","164","0","0","162","",""
"TUCKWELL Luke","164","0","0","162","",""
"ROGLIČ Primož","164","0","0","","",""
"BERNARD Julien","164","0","0","","",""
"VERMEERSCH Gianni","164","0","0","","",""
"SKJELMOSE Mattias","164","0","0","","",""
"KÄMNA Lennard","164","0","0","","",""
"SHAW James","164","0","0","","",""
"CARAPAZ Richard","164","0","0","","",""
"RODRIGUEZ Juan Felipe","164","0","0","162","",""
"GALL Felix","164","0","0","","",""
"BISIAUX Léo","164","0","0","162","",""
"ONLEY Oscar","164","0","0","162","",""
"WEISS Fabian","164","0","0","162","",""
"HAMILTON Lucas","164","0","0","","",""
"HAIG Jack","164","0","0","","",""
"SVESTAD-BÅRDSENG Embret","164","0","0","162","",""
"BERTHET Clément","164","0","0","","",""
"PORTER Rudy","164","0","2","","",""
"ARMIRAIL Bruno","164","10","1","","",""
"RODRÍGUEZ Carlos","164","0","0","162","",""
"DVERSNES LAVIK Fredrik","164","0","0","","",""
"KUSS Sepp","164","0","0","","",""
"NORDHAGEN Jørgen","164","0","0","162","",""
"RODRÍGUEZ Cristián","164","0","0","","",""
"OMRZEL Jakob","164","0","0","162","",""
"LANDA Mikel","164","0","0","","",""
"VADER Milan","164","0","0","","",""
"APARICIO Mario","164","0","0","","",""
"BILBAO Pello","164","0","0","","",""
"COQUARD Bryan","164","0","0","","",""
"TEJADA Harold","164","0","0","","",""
