renner,general,points,mountain,youth,winner
Wærenskjold Søren,0,70,,,1
Kooij Olav,0,50,,0,
Philipsen Jasper,0,50,,,
Fretin Milan,0,35,,0,
Artz Huub,0,30,,0,
Girmay Biniam,0,33,,,
Turgis Anthony,0,24,,,
Gaviria Fernando,0,20,,,
Russo Clément,0,22,,,
Ackermann Pascal,0,18,,,
Pedersen Mads,0,24,,,
Pluimers Rick,0,14,,,
Berckmoes Jenno,0,12,,0,
Oldani Stefano,0,10,,,
Merlier Tim,0,10,,,
Biermans Jenthe,0,6,,,
Wright Fred,0,4,,,
Kanter Max,0,11,,,
Asgreen Kasper,0,,,,
Cort Magnus,0,,,,
Godon Dorian,0,,,,
Slock Liam,0,12,,,
Bittner Pavel,0,,,0,
Bauhaus Phil,0,,,,
Gate Aaron,0,,,,
Ballerini Davide,0,,,,
Stewart Jake,0,,,,
Allegaert Piet,0,,,,
Bol Cees,0,,,,
Kwiatkowski Michał,0,,,,
Gradek Kamil,0,,,,
Teunissen Mike,0,4,,,
Meurisse Xandro,0,,,,
Delettre Alexandre,0,,,,
Pidcock Tom,0,,,,
Debruyne Ramses,0,,,0,
Vacek Mathias,0,5,,0,
Märkl Niklas,0,,,,
Tarling Joshua,0,,,0,
Politt Nils,0,,,,
Mcnulty Brandon,0,,,,
Vermeersch Florian,0,,,,
Johannessen Tobias Halland,0,,,,
Vervaeke Louis,0,,,,
Biesterbos Frits,0,,,0,
Evenepoel Remco,0,,,,
Stuyven Jasper,0,,,,
Pogačar Tadej,0,,,,
del Toro Isaac,0,,,0,
Bernal Egan,0,,,,
Schmid Mauro,0,,,,
Louvel Matis,0,,,,
Skujiņš Toms,0,,,,
Voisard Yannis,0,,,,
Stannard Robert,0,,,,
Page Hugo,0,,,0,
Prodhomme Nicolas,0,,,,
Costiou Ewen,0,,,0,
Ayuso Juan,0,,,0,
Affini Edoardo,0,,,,
Skjelmose Mattias,0,,,,
van den Berg Julius,0,,,,
Seixas Paul,0,,,0,
van Moer Brent,0,,,,
van Wilder Ilan,0,,,,
Vingegaard Jonas,0,,,,
Carapaz Richard,0,,,,
Armirail Bruno,0,,,,
Cattaneo Mattia,0,,,,
Marsman Tim,0,,,,
van der Poel Mathieu,0,,,,
Arensman Thymen,0,,,,
Grégoire Romain,0,,,0,
Haller Marco,0,,,,
Hagenes Per Strand,0,,,0,
Abrahamsen Jonas,0,,,,
Lipowitz Florian,0,,,,
Piganzoli Davide,0,,,0,
Denz Nico,0,,,,
Germani Lorenzo,0,,,0,
Benoot Tiesj,0,,,,
Neilands Krists,0,,,,
Hermans Quinten,0,,,,
Vercher Mattéo,0,,,0,
Braz Afonso Clément,0,,,,
Paret-peintre Aurélien,0,,,,
Simmons Quinn,0,6,,0,
Castrillo Pablo,0,,,0,
Pacher Quentin,0,,,,
Quinn Sean,0,,,,
García Pierna Raúl,0,,,0,
Vauquelin Kévin,0,,,0,
Kuss Sepp,0,,,,
Planckaert Edward,0,,,,
Rickaert Jonas,456,,,,
Yates Adam,0,,,,
Guernalec Thibault,0,,,,
Romo Javier,0,,,,
Jegat Jordan,0,,,,
Parra José Félix,0,,,,
Delbove Joris,0,,,,
Caruso Damiano,0,,,,
Verona Carlos,0,,,,
Rubio Einer,0,,,,
Martinez Lenny,0,,,0,
Skaarseth Anders,0,,,,
Tiberi Antonio,0,,,0,
Martin Guillaume,0,,,,
Großschartner Felix,0,,,,
Riccitello Matthew,0,,,0,
van Dijke Tim,0,,,,
Johannessen Anders Halland,0,,,,
Balderstone Abel,0,,,,
van Gils Maxim,0,,,,
Valgren Michael,0,,,,
Mohorič Matej,0,,,,
Veistroffer Baptiste,0,,,,
Gee-west Derek,0,,,,
Barguil Warren,0,,,,
Degenkolb John,29,,,,
van Eetvelt Lennert,33,,,33,
Wellens Tim,33,,,,
Hoole Daan,36,,,,
Engelhardt Felix,36,,,,
Matthews Michael,36,,,,
Campenaerts Victor,36,,,,
Hirschi Marc,36,,,,
Frigo Marco,36,,,,
Kirsch Alex,36,,,,
Ganna Filippo,36,,,,
Cepeda Jefferson Alveiro,36,,,,
Hessmann Michel,36,,,36,
Hindley Jai,36,,,,
Howson Damien,36,,,,
Otruba Jakub,36,,,,
Velasco Simone,36,,,,
van Asbroeck Tom,36,3,,,
Askey Lewis,36,,,36,
Foss Tobias,36,,,,
Durbridge Luke,36,,,,
Paret-peintre Valentin,36,,,36,
Dillier Silvan,36,,,,
Steinhauser Georg,36,,,36,
Baudin Alex,36,,,36,
Nicolau Joel,36,,,,
Plapp Luke,36,,,,
Charmig Anthon,36,14,2,,
Craps Lars,36,,,36,
Verstrynge Emiel,36,,,36,
Izagirre Ion,36,,,,
Oliveira Nelson,36,20,,,
Tratnik Jan,36,,,,
Thomas Benjamin,36,,,,
O'connor Ben,60,,,,
Dhondt Robbe,60,,,60,
Aranburu Alex,60,,,,
Azparren Xabier Mikel,60,,,,
Higuita Sergio,60,,,,
Walker Max,60,,,60,
Healy Ben,60,,,,
Le Berre Mathis,60,25,,60,
Breuillard Nicolas,105,,,,
van Mechelen Vlad,114,,,114,
Jorgenson Matteo,132,,,,
van den Broek Frank,132,,,,
Berwick Sebastian,132,,,,
Tejada Harold,156,1,,,
Storer Michael,156,,,,
Vinokurov Nicolas,196,,,196,
van Baarle Dylan,245,,,,
Bennett George,389,,,,
Eenkhoorn Pascal,389,,,,
Zimmermann Georg,456,,,,
Alaphilippe Julian,456,16,,,
