renner,general,points,mountain,youth,winner,withdrawn
"MAS Enric",0,20,10,,1,
"ONLEY Oscar",0,17,6,0,,
"ROGLIČ Primož",12,15,4,,,
"GALL Felix",18,13,2,,,
"RODRÍGUEZ Cristián",20,11,1,,,
"SKJELMOSE Mattias",20,10,,,,
"WIDAR Jarno",25,9,,25,,
"CARAPAZ Richard",33,7,,,,
"TEJADA Harold",54,8,,,,
"BUITRAGO Santiago",101,6,18,,,
"KUSS Sepp",104,5,,,,
"MÜHLBERGER Gregor",104,4,,,,
"DEBRUYNE Ramses",111,3,,111,,
"BERTHET Clément",111,2,,,,
"OMRZEL Jakob",111,1,,111,,
"RICCITELLO Matthew",132,,,132,,
"ZANA Filippo",195,,,,,
"RODRIGUEZ Juan Felipe",202,,,202,,
"SIVAKOV Pavel",202,,9,,,
"LEEMREIZE Gijs",216,,4,,,
"VADER Milan",232,,,,,
"MARTIN Guillaume",277,,,,,
"BISIAUX Léo",318,,,318,,
"GARCÍA PIERNA Raúl",380,,,380,,
"VERMAERKE Kevin",443,13,,,,
"APARICIO Mario",454,,,,,
"BUCHMANN Emanuel",454,,,,,
"CAMPRUBÍ Marcel",456,,1,456,,
"DÍAZ José Manuel",471,,,,,
"PARET-PEINTRE Valentin",502,15,,502,,
"KRON Andreas",587,,5,,,
"RODRÍGUEZ Carlos",621,,,621,,
"HAIG Jack",658,,,,,
"ARMIRAIL Bruno",693,,,,,
"HIRT Jan",693,,,,,
"LUTSENKO Alexey",736,,5,,,
"PICKERING Finlay",809,,,809,,
"SVESTAD-BÅRDSENG Embret",819,,,819,,
"BERRADE Urko",819,,,,,
"CASTRILLO Pablo",819,,,819,,
"SCOTSON Callum",827,,,,,
"LAURANCE Axel",869,,,869,,
"PALENI Enzo",870,,,870,,
"KÜNG Stefan",890,17,,,,
"MADOUAS Valentin",890,,,,,
"BOUWMAN Koen",890,,,,,
"SHAW James",920,,,,,
"KONRAD Patrick",942,,,,,
"HOFSTETTER Hugo",942,,,,,
"FAURA José Luis",1002,,,,,
"VERMEERSCH Gianni",1011,,,,,
"JOHANNESSEN Tobias Halland",1113,,,,,
"PORTER Rudy",1113,,,,,
"ROCHAS Rémy",1164,,,,,
"LABROSSE Jordan",1193,,,1193,,
"ELOSEGUI Iñigo",1196,,,,,
"SAMITIER Sergio",1196,,,,,
"FORTUNATO Lorenzo",1196,,,,,
"GAROFOLI Gianmarco",1196,,,1196,,
"MULUBRHAN Henok",1196,,,,,
"HAMILTON Chris",1196,,,,,
"WARBASSE Larry",1196,,,,,
"VAN BEKKUM Darren",1196,,,1196,,
"KRUIJSWIJK Steven",1196,,,,,
"ALMEIDA João",1196,,,,,
"LANDA Mikel",1196,,,,,
"MOSCA Jacopo",1196,,,,,
"THOMPSON Reuben",1196,,,1196,,
"TUCKWELL Luke",1233,,,1233,,
"KÄMNA Lennard",1263,,,,,
"ROMEO Iván",1318,,,1318,,
"MIQUEL Pau",1318,,,,,
"WILKSCH Hannes",1321,,,1321,,
"ARCAS Jorge",1321,,,,,
"GLOAG Thomas",1321,,,1321,,
"NYS Thibau",1321,,,1321,,
"BERNARD Julien",1321,,,,,
"DE PESTEL Sander",1321,,,,,
"BRENNER Marco",1321,,,1321,,
"OURSELIN Paul",1321,,,,,
"VAN AERT Wout",1321,,,,,
"GLIVAR Gal",1321,,,1321,,
"VALTER Attila",1321,,,,,
"HOULE Hugo",1321,,,,,
"BARTA Will",1321,,,,,
"DUNBAR Eddie",1321,,,,,
"MOLARD Rudy",1321,,,,,
"WANDAHL Frederik",1378,,,1378,,
"LAPORTE Christophe",1394,,,,,
"BILBAO Pello",1431,,,,,
"CANAL Carlos",1431,,,1431,,
"MACKELLAR Alastair",1432,,,1432,,
"RAFFERTY Darren",1432,,,1432,,
"DVERSNES LAVIK Fredrik",1432,,,,,
"BENNETT George",1432,,,,,
"HAMILTON Lucas",1432,,,,,
"MONIQUET Sylvain",1432,,,,,
"MOSCON Gianni",1432,,,,,
"ALBANESE Vincenzo",1432,,,,,
"RUIZ Ibon",1432,,,,,
"DALBY Simon",1432,,,1432,,
"MARTÍ Pau",1432,,,1432,,
"FISHER-BLACK Finn",1432,,,1432,,
"CALZONI Walter",1497,,5,1497,,
"ROMELE Alessandro",1497,20,9,1497,,
"KRETSCHY Moritz",1511,,,1511,,
"TRONCHON Bastien",1554,,,1554,,
"NOVAK Domen",1688,,,,,
"FEDOROV Yevgeniy",1692,,,,,
"AZPARREN Xabier Mikel",1717,,,,,
"THALMANN Roland",1753,,,,,
"PAASSCHENS Mathijs",1753,,,,,
"COBO Iván",1787,,,,,
"CORT Magnus",1802,10,,,,
"WEISS Fabian",1808,,,1808,,
"FERNÁNDEZ Sinuhé",1808,,,,,
"HERRADA Jesús",1808,,,,,
"STEINHAUSER Georg",1810,,,1810,,
"VINE Jay",2121,,,,,
"GOGL Michael",2121,,,,,
"PEDERSEN Mads",2121,,,,,
"DE VYLDER Lindsay",2121,,,,,
"ERMAKOV Roman",2121,,,2121,,
"TJØTTA Martin",2121,,,2121,,
"TURNER Ben",2121,,,,,
"LEKNESSUND Andreas",2121,,,,,
"NORDHAGEN Jørgen",2121,,,2121,,
"PEACE Oliver",2121,,,2121,,
"BRENNAN Matthew",2121,,,2121,,
"AULAR Orluis",2121,,,,,
"ROTA Lorenzo",2121,,,,,
"DE LA CRUZ David",2121,,,,,
"GONZÁLEZ David",2121,,,,,
"DE JONG Timo",2121,,,,,
"CHAMBERLAIN Oscar",2258,,,2258,,
"OLIVEIRA Ivo",2269,,,,,
"SÜTTERLIN Jasha",2433,,,,,
"MCKENZIE Hamish",2433,,,2433,,
"DE SCHUYTENEER Steffen",2433,,,2433,,
"SOSA Iván Ramiro",2433,,,,,
"DAINESE Alberto",2433,,,,,
"MEEUS Jordi",2433,,,,,
"SCHULTZ Nick",2433,,,,,
"GOVEKAR Matevž",2433,,,,,
"ROOSEN Timo",2433,,,,,
"BRAET Vito",2433,,,,,
"LE GAC Olivier",2433,,,,,
"MARTINEZ Juan Guillermo",2433,,,2433,,
"KLUCKERS Arthur",2433,,,,,
"CRAPS Lars",2433,,,2433,,
"TILLER Rasmus",2433,,,,,
"BRUSTENGA Marc",2433,,,,,
"VANSEVENANT Mauri",2433,,,,,
"RENARD Alexis",2433,,,,,
"VAN DEN BOSSCHE Fabio",2433,,,,,
"THORNLEY Callum",2433,,,2433,,
"HELLEMOSE Asbjørn",2433,,,,,
"TULETT Ben",2433,,,2433,,
"COVI Alessandro",2433,,,,,
"ALLENO Clément",2433,,,,,
"SENTJENS Sente",2433,,,2433,,
"BUSATTO Francesco",2433,,,2433,,
"WENZEL Mats",2433,,,2433,,
"HAYTER Ethan",2433,,,,,
"DOUBLE Paul",2433,,,,,
"MACÍAS César",2462,,,2462,,
"RENARD-HAQUIN Henri-François",2499,,,2499,,
"COQUARD Bryan",2499,,,,,
"ROULAND Louis",2499,,,2499,,
"SUNEKÆR NORSGAARD Mathias",2521,,,,,
"GROVES Kaden",,,,,,DNF
"TORRES Pablo",,,,,,DNF
"LANGELLOTTI Victor",,,,,,DNF
