"renner";"bc";"rank";"team";"bc_naam"
"Paret-peintre Valentin";"656,25";"31";"Soudal Quick-Step";"Valentin Paret-peintre"
"Stuyven Jasper";"656,25";"33";"Soudal Quick-Step";"Jasper Stuyven"
"van Baarle Dylan";"156,25";"164";"Soudal Quick-Step";"Dylan van Baarle"
"van Lerberghe Bert";"156,25";"169";"Soudal Quick-Step";"Bert van Lerberghe"
"van Wilder Ilan";"156,25";"172";"Soudal Quick-Step";"Ilan van Wilder"
"Vervaeke Louis";"156,25";"178";"Soudal Quick-Step";"Louis Vervaeke"
"van der Poel Mathieu";"1625";"14";"Alpecin - Premier Tech";"Mathieu van der Poel"
"Debruyne Ramses";"156,25";"89";"Alpecin - Premier Tech";"Ramses Debruyne"
"Dillier Silvan";"156,25";"95";"Alpecin - Premier Tech";"Silvan Dillier"
"Marsman Tim";"156,25";"122";"Alpecin - Premier Tech";"Tim Marsman"
"Philipsen Jasper";"3250";"4";"Alpecin - Premier Tech";"Jasper Philipsen"
"Planckaert Edward";"156,25";"137";"Alpecin - Premier Tech";"Edward Planckaert"
"Rickaert Jonas";"156,25";"141";"Alpecin - Premier Tech";"Jonas Rickaert"
"Verstrynge Emiel";"156,25";"177";"Alpecin - Premier Tech";"Emiel Verstrynge"
"O'connor Ben";"234,375";"57";"Team Jayco AlUla";"Ben O'connor"
"Ackermann Pascal";"312,5";"42";"Team Jayco AlUla";"Pascal Ackermann"
"Durbridge Luke";"156,25";"96";"Team Jayco AlUla";"Luke Durbridge"
"Engelhardt Felix";"156,25";"98";"Team Jayco AlUla";"Felix Engelhardt"
"Matthews Michael";"156,25";"124";"Team Jayco AlUla";"Michael Matthews"
"O'brien Kelland (OTL #4)";"156,25";"129";"Team Jayco AlUla";"Kelland O'brien"
"Plapp Luke";"156,25";"138";"Team Jayco AlUla";"Luke Plapp"
"Schmid Mauro";"734,375";"28";"Team Jayco AlUla";"Mauro Schmid"
"Johannessen Tobias Halland";"968,75";"18";"Uno-X Mobility";"Tobias Halland Johannessen"
"Abrahamsen Jonas";"656,25";"30";"Uno-X Mobility";"Jonas Abrahamsen"
"Charmig Anthon";"156,25";"84";"Uno-X Mobility";"Anthon Charmig"
"Cort Magnus";"156,25";"85";"Uno-X Mobility";"Magnus Cort"
"Johannessen Anders Halland";"156,25";"116";"Uno-X Mobility";"Anders Halland Johannessen"
"Skaarseth Anders";"156,25";"146";"Uno-X Mobility";"Anders Skaarseth"
"Træen Torstein";"156,25";"157";"Uno-X Mobility";"Torstein Træen"
"Wærenskjold Søren";"312,5";"48";"Uno-X Mobility";"Søren Wærenskjold"
"Girmay Biniam";"625";"35";"NSN Cycling Team";"Biniam Girmay"
"Askey Lewis";"156,25";"64";"NSN Cycling Team";"Lewis Askey"
"Bennett George";"156,25";"70";"NSN Cycling Team";"George Bennett"
"Frigo Marco";"156,25";"100";"NSN Cycling Team";"Marco Frigo"
"Louvel Matis";"156,25";"120";"NSN Cycling Team";"Matis Louvel"
"Neilands Krists";"156,25";"127";"NSN Cycling Team";"Krists Neilands"
"Stewart Jake";"156,25";"151";"NSN Cycling Team";"Jake Stewart"
"van Asbroeck Tom";"156,25";"163";"NSN Cycling Team";"Tom van Asbroeck"
"Uijtdebroeks Cian";"656,25";"34";"Movistar Team";"Cian Uijtdebroeks"
"Castrillo Pablo";"156,25";"81";"Movistar Team";"Pablo Castrillo"
"Cepeda Jefferson Alveiro";"156,25";"83";"Movistar Team";"Jefferson Alveiro Cepeda"
"García Pierna Raúl";"156,25";"101";"Movistar Team";"Pierna Raúl García"
"Hessmann Michel";"156,25";"110";"Movistar Team";"Michel Hessmann"
"Oliveira Nelson";"156,25";"131";"Movistar Team";"Nelson Oliveira"
"Romo Javier";"156,25";"142";"Movistar Team";"Javier Romo"
"Rubio Einer";"156,25";"143";"Movistar Team";"Einer Rubio"
"de Lie Arnaud (DNF #3)";"345";"41";"Lotto Intermarché";"Arnaud de Lie"
"Artz Huub";"156,25";"62";"Lotto Intermarché";"Huub Artz"
"Berckmoes Jenno";"156,25";"72";"Lotto Intermarché";"Jenno Berckmoes"
"Craps Lars";"156,25";"87";"Lotto Intermarché";"Lars Craps"
"Slock Liam";"156,25";"148";"Lotto Intermarché";"Liam Slock"
"van Eetvelt Lennert";"156,25";"168";"Lotto Intermarché";"Lennert van Eetvelt"
"Veistroffer Baptiste";"156,25";"173";"Lotto Intermarché";"Baptiste Veistroffer"
"Zimmermann Georg";"156,25";"183";"Lotto Intermarché";"Georg Zimmermann"
"Izagirre Ion";"156,25";"115";"Cofidis";"Ion Izagirre"
"Allegaert Piet";"156,25";"60";"Cofidis";"Piet Allegaert"
"Aranburu Alex";"156,25";"61";"Cofidis";"Alex Aranburu"
"Biermans Jenthe";"156,25";"75";"Cofidis";"Jenthe Biermans"
"Fretin Milan";"968,75";"17";"Cofidis";"Milan Fretin"
"Kirsch Alex";"156,25";"117";"Cofidis";"Alex Kirsch"
"Page Hugo";"156,25";"134";"Cofidis";"Hugo Page"
"Thomas Benjamin";"156,25";"156";"Cofidis";"Benjamin Thomas"
"Pidcock Tom";"625";"38";"Pinarello Q36.5 Pro Cycling Team";"Tom Pidcock"
"Azparren Xabier Mikel";"156,25";"65";"Pinarello Q36.5 Pro Cycling Team";"Xabier Mikel Azparren"
"Harper Chris";"156,25";"108";"Pinarello Q36.5 Pro Cycling Team";"Chris Harper"
"Hermans Quinten";"156,25";"109";"Pinarello Q36.5 Pro Cycling Team";"Quinten Hermans"
"Howson Damien";"156,25";"114";"Pinarello Q36.5 Pro Cycling Team";"Damien Howson"
"Meurisse Xandro";"156,25";"125";"Pinarello Q36.5 Pro Cycling Team";"Xandro Meurisse"
"van Moer Brent";"156,25";"171";"Pinarello Q36.5 Pro Cycling Team";"Brent van Moer"
"Wright Fred";"156,25";"182";"Pinarello Q36.5 Pro Cycling Team";"Fred Wright"
"Grégoire Romain";"734,375";"26";"Groupama - FDJ United";"Romain Grégoire"
"Berthet Clément (DNS #2)";"156,25";"73";"Groupama - FDJ United";"Clément Berthet"
"Braz Afonso Clément";"156,25";"78";"Groupama - FDJ United";"Afonso Clément Braz"
"Costiou Ewen";"156,25";"86";"Groupama - FDJ United";"Ewen Costiou"
"Germani Lorenzo";"156,25";"104";"Groupama - FDJ United";"Lorenzo Germani"
"Martin Guillaume";"156,25";"123";"Groupama - FDJ United";"Guillaume Martin"
