renner,general,points,mountain,youth,winner,withdrawn
"LEKNESSUND Andreas",0,30,19,,1,
"JOHANNESSEN Tobias Halland",34,30,9,,,
"VAN AERT Wout",47,35,13,,,
"OMRZEL Jakob",58,13,2,0,,
"RODRIGUEZ Juan Felipe",73,11,1,15,,
"LUTSENKO Alexey",76,26,8,,,
"SOSA Iván Ramiro",104,10,,,,
"DUNBAR Eddie",111,23,1,,,
"BISIAUX Léo",113,7,,55,,
"GARCÍA PIERNA Raúl",134,6,,76,,
"PARET-PEINTRE Valentin",163,5,,105,,
"ZANA Filippo",175,4,,,,
"WARBASSE Larry",175,3,,,,
"MARTIN Guillaume",177,2,,,,
"PICKERING Finlay",181,,,123,,
"SAMITIER Sergio",204,1,,,,
"BOUWMAN Koen",245,,,,,
"WENZEL Mats",245,,,187,,
"POGAČAR Tadej",263,,,,,
"GALL Felix",269,,,,,
"MAS Enric",279,,,,,
"KUSS Sepp",292,,,,,
"ROGLIČ Primož",292,,,,,
"ONLEY Oscar",292,,,234,,
"MÜHLBERGER Gregor",316,,,,,
"RICCITELLO Matthew",316,,,258,,
"TEJADA Harold",339,,,,,
"SKJELMOSE Mattias",342,,,,,
"CARAPAZ Richard",342,,,,,
"RODRÍGUEZ Cristián",345,,,,,
"TORRES Pablo",345,,,287,,
"BILBAO Pello",348,,,,,
"BERTHET Clément",380,,,,,
"HIRT Jan",380,,,,,
"APARICIO Mario",426,,,,,
"SVESTAD-BÅRDSENG Embret",426,,,368,,
"SCOTSON Callum",513,,,,,
"MOLARD Rudy",513,,,,,
"WIDAR Jarno",544,,,486,,
"HAIG Jack",544,,,,,
"TUCKWELL Luke",551,,,493,,
"MADOUAS Valentin",552,,,,,
"ROCHAS Rémy",552,,,,,
"SHAW James",552,,,,,
"SIVAKOV Pavel",552,,,,,
"CASTRILLO Pablo",598,,,540,,
"FAURA José Luis",605,,,,,
"TULETT Ben",608,,,550,,
"GAFFURI Mattia",632,,,,,
"RODRÍGUEZ Carlos",657,,,599,,
"THALMANN Roland",671,,,,,
"WILKSCH Hannes",671,,,613,,
"KÄMNA Lennard",693,,,,,
"FERNÁNDEZ Sinuhé",693,,,,,
"ALLENO Clément",693,,,,,
"VALTER Attila",706,,,,,
"STEINHAUSER Georg",731,,,673,,
"CRAPS Lars",761,,,703,,
"NYS Thibau",761,,,703,,
"WEISS Fabian",761,,,703,,
"KRUIJSWIJK Steven",761,,,,,
"BUCHMANN Emanuel",761,,,,,
"GLIVAR Gal",761,,,703,,
"WANDAHL Frederik",792,,,734,,
"KONRAD Patrick",792,,,,,
"FORTUNATO Lorenzo",798,,,,,
"HERRADA Jesús",805,,,,,
"LAURANCE Axel",831,,,773,,
"TRONCHON Bastien",831,,,773,,
"VANSEVENANT Mauri",831,,,,,
"MULUBRHAN Henok",831,,,,,
"HOULE Hugo",831,,,,,
"THOMPSON Reuben",831,,,773,,
"DEBRUYNE Ramses",847,,,789,,
"ARCAS Jorge",867,,,,,
"KÜNG Stefan",874,,,,,
"BERNARD Julien",874,,,,,
"PALENI Enzo",874,,,816,,
"HOFSTETTER Hugo",874,,,,,
"GAROFOLI Gianmarco",874,,,816,,
"VERMEERSCH Gianni",874,,,,,
"DE PESTEL Sander",934,,,,,
"OURSELIN Paul",945,,,,,
"HAMILTON Lucas",966,,,,,
"VINE Jay",966,,,,,
"VERMAERKE Kevin",1077,,,,,
"PEDERSEN Mads",1077,,,,,
"HAYTER Ethan",1077,,,,,
"PORTER Rudy",1148,,,,,
"ROMEO Iván",1171,,,1113,,
"MARTINEZ Juan Guillermo",1189,,,1131,,
"BUITRAGO Santiago",1189,,,,,
"RAFFERTY Darren",1189,,,1131,,
"VADER Milan",1199,,,,,
"KRETSCHY Moritz",1199,,,1141,,
"SÜTTERLIN Jasha",1199,,,,,
"LANDA Mikel",1199,,,,,
"HAMILTON Chris",1199,,,,,
"MONIQUET Sylvain",1199,,,,,
"DÍAZ José Manuel",1199,,,,,
"CANAL Carlos",1216,,,1158,,
"MIQUEL Pau",1216,,,,,
"ERMAKOV Roman",1216,,,1158,,
"NORDHAGEN Jørgen",1216,,,1158,,
"PAASSCHENS Mathijs",1216,,,,,
"CHAMBERLAIN Oscar",1220,,,1162,,
"MACKELLAR Alastair",1220,,,1162,,
"BRAET Vito",1220,,,,,
"AULAR Orluis",1220,,,,,
"COVI Alessandro",1220,,,,,
"ALMEIDA João",1220,,,,,
"LABROSSE Jordan",1264,,,1206,,
"DE LA CRUZ David",1274,,,,,
"ALBANESE Vincenzo",1288,,,,,
"BUSATTO Francesco",1288,,,1230,,
"MOSCA Jacopo",1344,,,,,
"DVERSNES LAVIK Fredrik",1366,,,,,
"TILLER Rasmus",1366,,,,,
"TJØTTA Martin",1366,,,1308,,
"KRON Andreas",1366,,,,,
"CORT Magnus",1366,,,,,
"DALBY Simon",1366,,,1308,,
"VAN BEKKUM Darren",1368,,,1310,,
"ROOSEN Timo",1368,,,,,
"DAINESE Alberto",1368,,,,,
"KLUCKERS Arthur",1368,,,,,
"ELOSEGUI Iñigo",1368,,,,,
"COBO Iván",1368,,,,,
"BRENNER Marco",1368,,,1310,,
"BERRADE Urko",1368,,,,,
"RUIZ Ibon",1368,,,,,
"CALZONI Walter",1368,,,1310,,
"SCHULTZ Nick",1368,,,,,
"ARMIRAIL Bruno",1368,,,,,
"COQUARD Bryan",1368,,,,,
"AZPARREN Xabier Mikel",1368,,,,,
"BENNETT George",1368,,,,,
"MACÍAS César",1371,,,1313,,
"RENARD Alexis",1371,,,,,
"RENARD-HAQUIN Henri-François",1371,,,1313,,
"FISHER-BLACK Finn",1378,,,1320,,
"URIARTE Diego",1391,,,1333,,
"TURNER Ben",1391,,,,,
"VAN DEN BOSSCHE Fabio",1391,,,,,
"DE VYLDER Lindsay",1391,,,,,
"GOVEKAR Matevž",1391,,,,,
"BARTA Will",1391,,,,,
"GONZÁLEZ David",1391,,,,,
"GLOAG Thomas",1391,,,1333,,
"BRENNAN Matthew",1391,,,1333,,
"PEACE Oliver",1391,,,1333,,
"LAPORTE Christophe",1391,,,,,
"DOUBLE Paul",1391,,,,,
"MOSCON Gianni",1391,,,,,
"CAMPRUBÍ Marcel",1391,,,1333,,
"MCKENZIE Hamish",1391,,,1333,,
"MARTÍ Pau",1391,,,1333,,
"ROTA Lorenzo",1391,,,,,
"LEEMREIZE Gijs",1391,,,,,
"DE JONG Timo",1391,,,,,
"MEEUS Jordi",1391,,,,,
"LE GAC Olivier",1391,,,,,
"THORNLEY Callum",1391,,,1333,,
"LANGELLOTTI Victor",1391,,,,,
"GOGL Michael",1477,,,,,
"BRUSTENGA Marc",1486,,,,,
"FEDOROV Yevgeniy",1591,,,,,
"ROMELE Alessandro",1591,,,1533,,
"NOVAK Domen",1786,,,,,
"OLIVEIRA Ivo",1786,,,,,
"DE SCHUYTENEER Steffen",1829,,,1771,,
"VAN TRICHT Floris",1829,,,1771,,
"SENTJENS Sente",1836,,,1778,,
"GROVES Kaden",1836,,,,,
"HELLEMOSE Asbjørn",1890,,,,,
"SUNEKÆR NORSGAARD Mathias",1890,,,,,
"ROULAND Louis",1890,,,1832,,
"VAN BOVEN Luca",1997,,,,,
