renner,general,points,mountain,youth,winner
Higuita Sergio,1044,,,,
Azparren Xabier Mikel,1044,,,,
Valgren Michael,1044,,,,
Bennett George,1044,,,,
Plapp Luke,1044,,,,
Vercher Mattéo,1044,,,1044,
Berwick Sebastian,1054,,,,
Kirsch Alex,1059,,,,
Thomas Benjamin,1059,,,,
Alaphilippe Julian,1059,,,,
Russo Clément,1059,,,,
Marsman Tim,1059,,,,
Biermans Jenthe,1059,,,,
Allegaert Piet,1059,,,,
Märkl Niklas,1059,,,,
Ackermann Pascal,1059,,,,
van Dijke Tim,1059,,,,
van Gils Maxim,1059,7,,,
Dillier Silvan,1059,,,,
Frigo Marco,1059,,,,
Vinokurov Nicolas,1059,,,1044,
Gate Aaron,1059,,,,
Oldani Stefano,1059,,,,
Skujiņš Toms,1059,,,,
Neilands Krists,1059,,,,
Turgis Anthony,1059,,,,
Affini Edoardo,1059,,,,
Bittner Pavel,1059,,,1044,
Cort Magnus,1059,,,,
Bol Cees,1059,,,,
Eenkhoorn Pascal,1059,,,,
Storer Michael,1059,,,,
Hoole Daan,1059,,,,
Gradek Kamil,1059,,,,
Fretin Milan,1059,,,1044,
Planckaert Edward,1059,,,,
Ballerini Davide,1059,,,,
Gaviria Fernando,1059,,,,
Merlier Tim,1059,,,,
Kooij Olav,1059,,,1044,
Kanter Max,1059,,,,
van den Berg Julius,1059,,,,
Philipsen Jasper,1059,16,,,
Degenkolb John,1059,,,,
Steinhauser Georg,1059,,,1044,
Bauhaus Phil,1059,,,,
Nicolau Joel,1059,,,,
Stewart Jake,1059,1,,,
Dhondt Robbe,1059,,,1044,
Girmay Biniam,1059,20,,,
Askey Lewis,1059,,,1044,
Louvel Matis,1059,,,,
van Asbroeck Tom,1059,,,,
Velasco Simone,1059,,,,
Rickaert Jonas,1059,,,,
