renner,general,points,mountain,youth,winner
van der Poel Mathieu,0,42,1,,1
Johannessen Tobias Halland,0,25,2,,
Pidcock Tom,0,32,7,,
Baudin Alex,0,19,,0,
Ganna Filippo,6,17,,,
Matthews Michael,6,13,,,
Pedersen Mads,6,40,,,
Breuillard Nicolas,6,11,,,
Jegat Jordan,6,9,,,
Quinn Sean,6,7,,,
Pogačar Tadej,6,12,,,
Evenepoel Remco,6,5,,,
del Toro Isaac,6,18,,6,
Aranburu Alex,6,3,,,
Benoot Tiesj,6,,,,
Seixas Paul,6,2,,6,
Debruyne Ramses,6,3,,6,
Voisard Yannis,6,,,,
Vingegaard Jonas,6,,,,
Lipowitz Florian,6,,,,
Skjelmose Mattias,6,,,,
van Wilder Ilan,6,,,,
Braz Afonso Clément,6,,,,
Piganzoli Davide,6,,,6,
Kuss Sepp,6,,,,
Carapaz Richard,6,,,,
Ayuso Juan,6,,,6,
Hirschi Marc,6,2,,,
Craps Lars,6,,,6,
Rubio Einer,6,,,,
Martinez Lenny,6,,,6,
Bernal Egan,6,,,,
Costiou Ewen,6,,,6,
Yates Adam,6,,,,
Paret-peintre Valentin,6,,2,6,
van Eetvelt Lennert,6,,2,6,
Castrillo Pablo,19,,,19,
Mcnulty Brandon,22,4,,,
Großschartner Felix,27,,,,
Wellens Tim,27,5,,,
Jorgenson Matteo,32,,1,,
Prodhomme Nicolas,42,,,,
Vauquelin Kévin,42,,,42,
Izagirre Ion,77,,,,
Verona Carlos,111,,,,
Gee-west Derek,196,,,,
Simmons Quinn,240,,3,240,
Foss Tobias,461,,,,
Artz Huub,594,,,594,
Delettre Alexandre,594,,,,
Delbove Joris,594,,,,
Godon Dorian,594,,,,
Pacher Quentin,594,,,,
Martin Guillaume,594,,,,
Harper Chris,594,,,,
van den Broek Frank,594,,,,
Hermans Quinten,594,,,,
Tejada Harold,594,,,,
Vacek Mathias,594,9,,594,
Stuyven Jasper,594,,,,
Vervaeke Louis,594,,,,
O'connor Ben,599,,,,
Hagenes Per Strand,599,,,599,
Wærenskjold Søren,1044,,,,
Slock Liam,1044,,,,
Le Berre Mathis,1044,,,1044,
Meurisse Xandro,1044,,,,
van Moer Brent,1044,,,,
Abrahamsen Jonas,1044,,,,
Guernalec Thibault,1044,,,,
Berckmoes Jenno,1044,,,1044,
Trentin Matteo,1044,,,,
Schmid Mauro,1044,,,,
Denz Nico,1044,,,,
Politt Nils,1044,,,,
Stannard Robert,1044,,,,
Engelhardt Felix,1044,,,,
Vermeersch Florian,1044,,,,
Campenaerts Victor,1044,,,,
Zimmermann Georg,1044,,,,
Veistroffer Baptiste,1044,,,,
Riccitello Matthew,1044,,,1044,
Wright Fred,1044,,,,
Verstrynge Emiel,1044,,,1044,
Teunissen Mike,1044,,,,
Pluimers Rick,1044,,,,
Hessmann Michel,1044,,,1044,
Tratnik Jan,1044,,,,
Hindley Jai,1044,,,,
Howson Damien,1044,,,,
Charmig Anthon,1044,,,,
Barguil Warren,1044,,,,
Mohorič Matej,1044,,,,
Durbridge Luke,1044,,,,
Grégoire Romain,1044,,,1044,
Otruba Jakub,1044,,,,
Germani Lorenzo,1044,,,1044,
van Mechelen Vlad,1044,,,1044,
Biesterbos Frits,1044,,,1044,
Kwiatkowski Michał,1044,,,,
Page Hugo,1044,,,1044,
Tarling Joshua,1044,,,1044,
Romo Javier,1044,,,,
Haller Marco,1044,,,,
Healy Ben,1044,8,,,
Armirail Bruno,1044,,,,
Paret-peintre Aurélien,1044,,,,
Walker Max,1044,,,1044,
Balderstone Abel,1044,,,,
García Pierna Raúl,1044,,,1044,
Parra José Félix,1044,,,,
Cepeda Jefferson Alveiro,1044,,,,
Arensman Thymen,1044,,,,
van Baarle Dylan,1044,,,,
Skaarseth Anders,1044,,,,
Johannessen Anders Halland,1044,,,,
Oliveira Nelson,1044,,,,
Tiberi Antonio,1044,,,1044,
Caruso Damiano,1044,,,,
Asgreen Kasper,1044,,,,
Cattaneo Mattia,1044,,,,
