renner,general,points,mountain,youth,winner
del Toro Isaac,0,30,,0,1
Pogačar Tadej,0,25,1,,
Evenepoel Remco,0,22,,,
Vingegaard Jonas,0,19,,,
Skjelmose Mattias,3,17,,,
Johannessen Tobias Halland,3,15,2,,
Grégoire Romain,3,13,,3,
Seixas Paul,3,9,,3,
Martinez Lenny,3,11,,3,
Pidcock Tom,3,7,,,
van Eetvelt Lennert,3,6,,3,
Ayuso Juan,3,5,,3,
van Wilder Ilan,3,4,,,
Carapaz Richard,7,3,1,,
Lipowitz Florian,10,,,,
Baudin Alex,10,2,,10,
Uijtdebroeks Cian,27,,,27,
Yates Adam,39,,,,
Higuita Sergio,43,,,,
Foss Tobias,43,,,,
Arensman Thymen,47,,,,
van der Poel Mathieu,47,,,,
Bernal Egan,47,,,,
Aranburu Alex,49,,,,
Tejada Harold,51,,,,
Parra José Félix,54,,,,
Voisard Yannis,70,,,,
Piganzoli Davide,70,,,70,
Jegat Jordan,70,,,,
Izagirre Ion,71,,,,
Romo Javier,78,,,,
Balderstone Abel,78,,,,
Delbove Joris,96,,,,
Quinn Sean,99,,,,
Træen Torstein,115,,,,
Hindley Jai,115,,,,
Benoot Tiesj,115,,,,
Vacek Mathias,302,,,302,
Mcnulty Brandon,302,,4,,
O'connor Ben,331,,,,
Riccitello Matthew,331,,,331,
Martin Guillaume,331,,,,
Bennett George,331,,,,
Plapp Luke,331,,,,
Gee-west Derek,331,,,,
Tiberi Antonio,344,,,344,
Hermans Quinten,357,,,,
Jorgenson Matteo,363,,1,,
Schmid Mauro,381,,,,
Armirail Bruno,412,,,,
Vauquelin Kévin,412,,,412,
Kuss Sepp,412,,,,
Johannessen Anders Halland,412,,,,
Braz Afonso Clément,435,,,,
Skaarseth Anders,520,,,,
Eenkhoorn Pascal,568,,,,
Steinhauser Georg,568,,,568,
Zimmermann Georg,568,,,,
Pluimers Rick,568,,,,
Dhondt Robbe,568,,,568,
Berwick Sebastian,568,,,,
Prodhomme Nicolas,568,,,,
Vervaeke Louis,568,,,,
Hirschi Marc,568,,,,
Craps Lars,568,,,568,
Verstrynge Emiel,568,,,568,
Harper Chris,568,,,,
Debruyne Ramses,580,,,580,
Pacher Quentin,624,,,,
Nicolau Joel,661,,,,
van Gils Maxim,666,,,,
Meurisse Xandro,666,,,,
Caruso Damiano,666,,,,
Guernalec Thibault,666,,,,
Frigo Marco,666,,,,
Stannard Robert,666,,,,
Oliveira Nelson,666,,,,
Germani Lorenzo,666,,,666,
Costiou Ewen,666,,,666,
Delettre Alexandre,666,,,,
Vercher Mattéo,666,,,666,
Breuillard Nicolas,666,,,,
Cattaneo Mattia,666,,,,
Thomas Benjamin,666,,,,
Tarling Joshua,666,,1,666,
Kwiatkowski Michał,666,,,,
Teunissen Mike,666,,,,
Durbridge Luke,666,,,,
van Baarle Dylan,666,,,,
García Pierna Raúl,666,,,666,
Alaphilippe Julian,666,,,,
Matthews Michael,717,6,,,
Paret-peintre Valentin,728,,,728,
Russo Clément,728,,,,
Märkl Niklas,728,,,,
Paret-peintre Aurélien,728,,,,
Gate Aaron,728,,,,
Campenaerts Victor,728,,,,
Wellens Tim,728,1,,,
Großschartner Felix,728,,,,
Le Berre Mathis,728,,,728,
Verona Carlos,728,,,,
Rickaert Jonas,728,,,,
Asgreen Kasper,728,,,,
Walker Max,736,,,736,
Valgren Michael,736,,,,
Healy Ben,736,,,,
Hessmann Michel,736,,,736,
Berckmoes Jenno,736,,,736,
Askey Lewis,750,,,750,
Planckaert Edward,767,,,,
Engelhardt Felix,813,20,3,,
Politt Nils,813,,,,
Abrahamsen Jonas,813,,,,
van Asbroeck Tom,813,,,,
Dillier Silvan,813,,,,
Vinokurov Nicolas,813,,,813,
Page Hugo,813,,,813,
Rubio Einer,813,,,,
Denz Nico,813,,,,
Godon Dorian,813,,,,
Barguil Warren,813,,,,
Degenkolb John,813,,,,
Azparren Xabier Mikel,813,,,,
Howson Damien,813,,,,
Cepeda Jefferson Alveiro,813,,,,
Castrillo Pablo,813,,,813,
Marsman Tim,813,,,,
Charmig Anthon,813,,,,
Turgis Anthony,813,9,,,
Louvel Matis,813,,,,
Philipsen Jasper,813,10,,,
Stuyven Jasper,813,2,,,
van Moer Brent,813,,,,
Vermeersch Florian,813,3,,,
van Dijke Tim,813,,,,
Biesterbos Frits,813,,,813,
Storer Michael,813,,,,
Bittner Pavel,813,,,813,
Oldani Stefano,813,,,,
Gaviria Fernando,813,,,,
Kanter Max,813,7,,,
Biermans Jenthe,813,,,,
Otruba Jakub,813,,,,
Skujiņš Toms,813,,,,
Neilands Krists,813,,,,
Merlier Tim,813,8,,,
Hoole Daan,813,,,,
Fretin Milan,826,,,826,
Cort Magnus,832,,,,
Mohorič Matej,836,,,,
Tratnik Jan,836,,,,
Simmons Quinn,836,,,836,
Kirsch Alex,836,,,,
Stewart Jake,836,,,,
Pedersen Mads,836,12,,,
Girmay Biniam,836,14,,,
de Kleijn Arvid,836,,,,
Bauhaus Phil,836,,,,
van den Berg Julius,836,,,,
van den Broek Frank,836,16,2,,
Ackermann Pascal,836,,,,
Gradek Kamil,836,,,,
Velasco Simone,836,,,,
Molenaar Alex,836,25,5,,
Allegaert Piet,836,,,,
van Mechelen Vlad,860,,,860,
Wright Fred,860,,,,
Ganna Filippo,883,,,,
van Lerberghe Bert,891,,,,
Hagenes Per Strand,902,,,902,
Wærenskjold Søren,906,5,,,
Trentin Matteo,929,,,,
Artz Huub,929,,,929,
Ballerini Davide,944,4,,,
Haller Marco,968,,,,
Slock Liam,993,,,,
Affini Edoardo,1007,,,,
O'Brien Kelland,1069,,,,
Kooij Olav,1088,,,1088,
Bol Cees,1088,,,,
Veistroffer Baptiste,1105,,,,
De Lie Arnaud,1105,,,1105,
