renner,general,points,mountain,youth,winner
Merlier Tim,0,84,,,1
Kooij Olav,0,50,,0,
Philipsen Jasper,0,56,,,
Girmay Biniam,0,45,,,
Fretin Milan,0,30,,0,
Turgis Anthony,0,26,,,
Kanter Max,0,36,,,
Russo Clément,0,22,,,
Pedersen Mads,0,40,,,
Artz Huub,0,18,,0,
Pluimers Rick,0,16,,,
Wright Fred,0,14,,,
Biermans Jenthe,0,12,,,
van der Poel Mathieu,0,10,,,
Ackermann Pascal,0,8,,,
Stuyven Jasper,0,6,,,
Vermeersch Florian,0,4,,,
Evenepoel Remco,0,2,,,
Asgreen Kasper,0,,,,
Stannard Robert,0,,,,
Paret-peintre Aurélien,0,,,,
Schmid Mauro,0,,,,
Teunissen Mike,0,,,,
Stewart Jake,0,,,,
Delettre Alexandre,0,,,,
Johannessen Tobias Halland,0,,,,
Cort Magnus,0,,,,
Pidcock Tom,0,,,,
Meurisse Xandro,0,,,,
Hermans Quinten,0,,,,
Haller Marco,0,,,,
Mohorič Matej,0,,,,
Rickaert Jonas,0,,,,
Bol Cees,0,,,,
Seixas Paul,0,,,0,
Prodhomme Nicolas,0,,,,
van Asbroeck Tom,0,1,,,
Tiberi Antonio,0,,,0,
Hoole Daan,0,,,,
Grégoire Romain,0,,,0,
Skjelmose Mattias,0,,,,
Vingegaard Jonas,0,,,,
Affini Edoardo,0,,,,
Simmons Quinn,0,4,,0,
Braz Afonso Clément,0,,,,
Voisard Yannis,0,,,,
Jegat Jordan,0,,,,
Guernalec Thibault,0,,,,
Politt Nils,0,,,,
Pogačar Tadej,0,,,,
Matthews Michael,0,,,,
Lipowitz Florian,0,,,,
Mcnulty Brandon,0,,,,
Charmig Anthon,0,,,,
Hindley Jai,0,,,,
Yates Adam,0,,,,
Germani Lorenzo,0,,,0,
del Toro Isaac,0,,,0,
van Wilder Ilan,0,,,,
Caruso Damiano,0,,,,
van Dijke Tim,0,,,,
Benoot Tiesj,0,,,,
Quinn Sean,0,,,,
Ayuso Juan,0,,,0,
Kuss Sepp,0,,,,
Carapaz Richard,0,,,,
Piganzoli Davide,0,,,0,
van Moer Brent,0,,,,
Hessmann Michel,0,,,0,
Riccitello Matthew,0,,,0,
van Gils Maxim,0,,,,
Großschartner Felix,0,,,,
Castrillo Pablo,0,,,0,
Kirsch Alex,0,,,,
Skujiņš Toms,0,,,,
Gate Aaron,0,,,,
Martin Guillaume,0,,,,
Gradek Kamil,0,,,,
Engelhardt Felix,0,,,,
Vercher Mattéo,0,,,0,
Delbove Joris,0,,,,
Vacek Mathias,0,,1,0,
Debruyne Ramses,0,2,,0,
Louvel Matis,0,,,,
Askey Lewis,0,,,0,
Bittner Pavel,0,,,0,
Barguil Warren,0,,,,
van den Berg Julius,0,,,,
Howson Damien,0,,,,
Gee-west Derek,0,,,,
Planckaert Edward,0,,,,
Hagenes Per Strand,0,,,0,
Oliveira Nelson,0,,,,
Velasco Simone,0,,,,
Vervaeke Louis,0,,,,
Parra José Félix,0,,,,
Pacher Quentin,0,,,,
García Pierna Raúl,0,,,0,
Romo Javier,0,,,,
Tratnik Jan,0,,,,
Allegaert Piet,0,,,,
Page Hugo,0,,,0,
Cattaneo Mattia,0,,,,
Ballerini Davide,0,9,,,
Verona Carlos,0,,,,
O'connor Ben,0,,,,
Wærenskjold Søren,0,,,,
Johannessen Anders Halland,0,,,,
Martinez Lenny,0,,,0,
Bauhaus Phil,0,,,,
Degenkolb John,0,,,,
Craps Lars,0,,,0,
van Eetvelt Lennert,0,,,0,
Durbridge Luke,0,,,,
Frigo Marco,0,,,,
Marsman Tim,0,,,,
Thomas Benjamin,0,,,,
Valgren Michael,0,,,,
Armirail Bruno,0,,,,
Le Berre Mathis,0,,,0,
Plapp Luke,0,,,,
Baudin Alex,0,,,0,
Balderstone Abel,0,,,,
Bernal Egan,0,,,,
Abrahamsen Jonas,0,,,,
Skaarseth Anders,0,,,,
Walker Max,0,,,0,
Aranburu Alex,0,,,,
Healy Ben,0,,,,
Rubio Einer,0,,,,
Higuita Sergio,0,,,,
Kwiatkowski Michał,0,,,,
Zimmermann Georg,0,,,,
Arensman Thymen,0,,,,
Foss Tobias,0,,,,
Tarling Joshua,0,,,0,
Hirschi Marc,0,,,,
Campenaerts Victor,0,,,,
Vinokurov Nicolas,0,,,0,
Breuillard Nicolas,0,,,,
Cepeda Jefferson Alveiro,0,,,,
Izagirre Ion,0,,,,
van den Broek Frank,0,,,,
van Mechelen Vlad,0,,,0,
Tejada Harold,206,,,,
Storer Michael,206,,,,
Berwick Sebastian,206,,,,
Godon Dorian,206,,,,
Vauquelin Kévin,206,,,0,
Azparren Xabier Mikel,233,,,,
Gaviria Fernando,233,5,,,
Oldani Stefano,233,,,,
Dhondt Robbe,256,,,256,
van Baarle Dylan,299,7,,,
Berckmoes Jenno,299,6,,256,
Slock Liam,299,8,,,
Paret-peintre Valentin,337,,,337,
Denz Nico,337,,,,
Biesterbos Frits,337,,,337,
Ganna Filippo,438,,,,
Veistroffer Baptiste,466,25,2,,
Wellens Tim,466,,,,
Märkl Niklas,466,,,,
Nicolau Joel,466,,,,
Alaphilippe Julian,466,,,,
Steinhauser Georg,466,,,466,
Jorgenson Matteo,466,,,,
Verstrynge Emiel,466,,,466,
Neilands Krists,466,3,,,
Dillier Silvan,466,,,,
Otruba Jakub,466,,,,
Eenkhoorn Pascal,466,,,,
Costiou Ewen,466,,,466,
Bennett George,466,,,,
