renner,cq,rank,team,cq_naam
Braz Afonso Clément,295,215,Groupama - FDJ United,BRAZ AFONSO Clément
Cepeda Jefferson Alveiro,281,230,Movistar Team,CEPEDA HERNANDEZ Jefferson Alveiro
Caruso Damiano,280,231,Bahrain - Victorious,CARUSO Damiano
Johannessen Anders Halland,280,232,Uno-X Mobility,JOHANNESSEN Anders Halland
Meurisse Xandro,279,235,Pinarello Q36.5 Pro Cycling Team,MEURISSE Xandro
Steinhauser Georg,279,237,EF Education - EasyPost,STEINHAUSER Georg
Verstrynge Emiel,274,243,Alpecin - Premier Tech,VERSTRYNGE Emiel
Cort Magnus,273,244,Uno-X Mobility,CORT NIELSEN Magnus
Biesterbos Frits,271,246,Team Picnic PostNL,BIESTERBOS Frits
Benoot Tiesj,270,247,Decathlon CMA CGM Team,BENOOT Tiesj
Harper Chris,268,251,Pinarello Q36.5 Pro Cycling Team,HARPER Chris
Biermans Jenthe,260,255,Cofidis,BIERMANS Jenthe
Parra José Félix,257,257,Caja Rural - Seguros RGA,PARRA CUERDA Jose Felix
van Gils Maxim,253,264,Red Bull - BORA - hansgrohe,VAN GILS Maxim
van Dijke Tim,251,270,Red Bull - BORA - hansgrohe,VAN DIJKE Tim
Romo Javier,249,274,Movistar Team,ROMO OLIVER Javier
Vercher Mattéo,248,275,TotalEnergies,VERCHER Matteo
Foss Tobias,244,280,Netcompany INEOS,FOSS Tobias Svendsen
Slock Liam,240,288,Lotto Intermarché,SLOCK Liam
Castrillo Pablo,235,295,Movistar Team,CASTRILLO ZAPATER Pablo
Breuillard Nicolas,233,298,TotalEnergies,BREUILLARD Nicolas
de Kleijn Arvid,232,300,Tudor Pro Cycling Team,DE KLEIJN Arvid
Bennett George,227,306,NSN Cycling Team,BENNETT George
van Moer Brent,223,315,Pinarello Q36.5 Pro Cycling Team,VAN MOER Brent
Nicolau Joel,220,319,Caja Rural - Seguros RGA,NICOLAU BELTRAN Joel
van den Broek Frank,218,323,Team Picnic PostNL,VAN DEN BROEK Frank
Debruyne Ramses,209,342,Alpecin - Premier Tech,DEBRUYNE Ramses
Campenaerts Victor,205,348,Team Visma | Lease a Bike,CAMPENAERTS Victor
Balderstone Abel,203,351,Caja Rural - Seguros RGA,BALDERSTONE ROUMENS Abel
Bauhaus Phil,202,353,Bahrain - Victorious,BAUHAUS Phil
Ackermann Pascal,202,354,Team Jayco AlUla,ACKERMANN Pascal
Tarling Joshua,194,367,Netcompany INEOS,TARLING Joshua
van Eetvelt Lennert,193,370,Lotto Intermarché,VAN EETVELT Lennert
Gate Aaron,188,378,XDS Astana Team,GATE Aaron
Eenkhoorn Pascal,186,380,Soudal Quick-Step,EENKHOORN Pascal
Rubio Einer,181,389,Movistar Team,RUBIO REYES Einer Augusto
Vervaeke Louis,180,392,Soudal Quick-Step,VERVAEKE Louis
Gaviria Fernando,178,396,Caja Rural - Seguros RGA,GAVIRIA RENDON Fernando
Bol Cees,172,409,Decathlon CMA CGM Team,BOL Cees
Oldani Stefano,170,417,Caja Rural - Seguros RGA,OLDANI Stefano
Cattaneo Mattia,168,422,Red Bull - BORA - hansgrohe,CATTANEO Mattia
Hoole Daan,168,424,Decathlon CMA CGM Team,HOOLE Daan
Asgreen Kasper,167,426,EF Education - EasyPost,ASGREEN Kasper
Neilands Krists,165,431,NSN Cycling Team,NEILANDS Krists
Le Berre Mathis,163,433,TotalEnergies,LE BERRE Mathis
Artz Huub,160,441,Lotto Intermarché,ARTZ Huub
Rickaert Jonas,155,447,Alpecin - Premier Tech,RICKAERT Jonas
van Baarle Dylan,154,450,Soudal Quick-Step,VAN BAARLE Dylan
van Mechelen Vlad,149,465,Bahrain - Victorious,VAN MECHELEN Vlad
Haller Marco,148,467,Tudor Pro Cycling Team,HALLER Marco
Louvel Matis,147,473,NSN Cycling Team,LOUVEL Matîs
Skaarseth Anders,137,494,Uno-X Mobility,SKAARSETH Anders
